,"Менеджер: Соколова Милана
Email: milanas@megamind.ru
Телефон: +8 (925) 621-75-43
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,набор для ремонта шин (альтернативный способ доставки),"Материал: пластик, металл 
Размер: 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"1,3","138,8",40-45,,,,4 500,3,13-15,
,,,,2000,"1,3","136,5",,,,,,,,
,,,,3000,"1,3","136,2",,,,,,,,
 ,налобный фонарик,"Материал: алюминий, пластик
Размер: фонарик - 8 см*3,5 см*4,3 см
Упаковка: заводская упаковка
Примечание от фабрики: батарея -1×1800 Люмен,
источник света-белый свет, переключение -индукционный сенсорный переключатель, режим сильного свечения без подзарядки около 5 часов, среднего свечения - 9 часов, напряжение - 3.7, водонепроницаемый уровень IPX4, время использования без подзарядки около 5 часов, зарядка от USB", Дизайн: нанесение лого на ремень вязанием,1000,"8,3","884,3",67-72,,,,15 000,9,19-21,
,,,,2000,"8,3","883,5",,,,,,,,
,,,,3000,"8,3","883,2",,,,,,,,
 ,сумка ,"Материал: кожзам
Размер: 45 см*26см*14 см
Упаковка: хб-мешочек
Примечание от фабрики: могут сделать плотную ручку из кожзама, пример в доп фото, дизайн внутри - один карман на молнии и один накладной карман внутри", Дизайн: нанесение лого тиснением 30*15 см,1000,"21,6","2337,3",72-77,,,,38 000,9,19-21,
,,,,2000,"21,3","2308,1",,,,,,,,
,,,,3000,"20,7","2251,1",,,,,,,,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: сток,1000,"1,0","104,0",45-50,,,,3 500,5,15-17,
,,,,2000,"0,9","100,0",,,,,,,,
,,,,3000,"0,9","96,6",,,,,,,,
