,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Чемодан 1

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 55*25*35 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Основной корпус коробки изготовлен из сырья ABS+PC и 3 слоев композитных структурных панелей, устойчивых к сжатию, для повышения прочности. Процесс нанесения мелкозернистого узора более сложный, глянцевый и текстурированный.", Дизайн: сток,30000,"95,7","10294,9",85-90,,,,24 500,6,16-18,
,,,,40000,"92,5","9951,8",105-110,,,,,,,
 ,"Чемодан 1

(доставка контейнером)","Материал: АБС+ПС
Размер: 55*25*35 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Основной корпус коробки изготовлен из сырья ABS+PC и 3 слоев композитных структурных панелей, устойчивых к сжатию, для повышения прочности. Процесс нанесения мелкозернистого узора более сложный, глянцевый и текстурированный.", Дизайн: сток,30000,"77,4","7968,8",115-120,,,,24 500,6,16-18,
,,,,40000,"68,0","7004,9",135-140,,,,,,,
 ,"Чемодан 1

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 55*25*35 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Основной корпус коробки изготовлен из сырья ABS+PC и 3 слоев композитных структурных панелей, устойчивых к сжатию, для повышения прочности. Процесс нанесения мелкозернистого узора более сложный, глянцевый и текстурированный."," Дизайн: лого 2 цвета+выкрас в пантон чемодана, колёсиков, фурнитуры (фабрика предупредает, что из-за разных материалов, цвет может немного отличаться)",30000,"98,3","10560,8",95-100,,,,260 000,45,55-57,
,,,,40000,"95,0","10208,8",115-120,,,,,,,
 ,"Чемодан 1

(доставка контейнером)","Материал: АБС+ПС
Размер: 55*25*35 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Основной корпус коробки изготовлен из сырья ABS+PC и 3 слоев композитных структурных панелей, устойчивых к сжатию, для повышения прочности. Процесс нанесения мелкозернистого узора более сложный, глянцевый и текстурированный."," Дизайн: лого 2 цвета+выкрас в пантон чемодана, колёсиков, фурнитуры (фабрика предупредает, что из-за разных материалов, цвет может немного отличаться)",30000,"79,8","8222,8",125-130,,,,260 000,45,55-57,
,,,,40000,"70,4","7250,4",145-150,,,,,,,
 ,"Чемодан 2

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 56*24*36 см
Упаковка: заводская упаковка
Примечание от фабрики: чемодан с откидным отсеком, подстаканником, боковыми крючками", Дизайн: сток,30000,"97,3","10559,6",95-100,,,,26 000,8,18-20,
,,,,40000,"94,1","10207,6",95-100,,,,,,,
 ,"Чемодан 2

(доставка контейнером)","Материал: АБС+ПС
Размер: 56*24*36 см
Упаковка: заводская упаковка
Примечание от фабрики: чемодан с откидным отсеком, подстаканником, боковыми крючками
", Дизайн: сток,30000,"69,7","7181,6",125-130,,,,26 000,8,18-20,
,,,,40000,"60,6","6243,8",125-130,,,,,,,
 ,"Чемодан 2

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 56*24*36 см
Упаковка: заводская упаковка
Примечание от фабрики: чемодан с откидным отсеком, подстаканником, боковыми крючками
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"98,9","10719,1",105-110,,,,80 000,35,45-47,
,,,,40000,"95,6","10361,8",105-110,,,,,,,
 ,"Чемодан 2

(доставка контейнером)","Материал: АБС+ПС
Размер: 56*24*36 см
Упаковка: заводская упаковка
Примечание от фабрики: чемодан с откидным отсеком, подстаканником, боковыми крючками
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"71,2","7333,9",135-140,,,,80 000,35,45-47,
,,,,40000,"62,1","6391,1",135-140,,,,,,,
 ,"Чемодан 3

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 55*34*23 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: сток,30000,"41,0","4548,6",60-65,,,,13 000,5,15-17,
,,,,40000,"39,7","4401,8",60-65,,,,,,,
 ,"Чемодан 3

(доставка контейнером)","Материал: АБС+ПС
Размер: 55*34*23 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: сток,30000,"17,6","1810,9",90-95,,,,13 000,5,15-17,
,,,,40000,"18,0","1852,2",90-95,,,,,,,
 ,"Чемодан 3

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 55*34*23 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"42,1","4658,5",70-75,,,,14 000,12,22-24,
,,,,40000,"40,7","4508,2",70-75,,,,,,,
 ,"Чемодан 3

(доставка контейнером)","Материал: АБС+ПС
Размер: 55*34*23 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"18,7","1926,1",100-105,,,,14 000,12,22-24,
,,,,40000,"19,1","1970,7",100-105,,,,,,,
 ,"Чемодан 4

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 41*23*44 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: сток,30000,"47,4","5207,9",95-100,,,,14 000,5,15-17,
,,,,40000,"45,9","5039,9",95-100,,,,,,,
 ,"Чемодан 4

(доставка контейнером)","Материал: АБС+ПС
Размер: 41*23*44 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: сток,30000,"24,3","2501,7",125-130,,,,14 000,5,15-17,
,,,,40000,"24,9","2563,3",125-130,,,,,,,
 ,"Чемодан 4

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 41*23*44 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"50,1","5482,6",105-110,,,,30 500,18,28-30,
,,,,40000,"48,4","5305,8",105-110,,,,,,,
 ,"Чемодан 4

(доставка контейнером)","Материал: АБС+ПС
Размер: 41*23*44 см
Упаковка: заводская упаковка
Примечание от фабрики: 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"27,1","2789,5",135-140,,,,30 500,18,28-30,
,,,,40000,"27,8","2859,5",135-140,,,,,,,
 ,"Чемодан 5

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 36*23*58 см
Упаковка: заводская упаковка
Примечание от фабрики: в стоимость образца входит выкрас коробки, фурнитуру можно будет выкрасить только на тираже ", Дизайн: сток,30000,"65,1","7172,4",70-75,,,,19 000,5,15-17,
,,,,40000,"63,0","6941,0",70-75,,,,,,,
 ,"Чемодан 5

(доставка контейнером)","Материал: АБС+ПС
Размер: 36*23*58 см
Упаковка: заводская упаковка
Примечание от фабрики: в стоимость образца входит выкрас коробки, фурнитуру можно будет выкрасить только на тираже 
", Дизайн: сток,30000,"27,1","2791,3",100-105,,,,19 000,5,15-17,
,,,,40000,"26,2","2695,7",100-105,,,,,,,
 ,"Чемодан 5

(альтернативный способ доставки)","Материал: АБС+ПС
Размер: 36*23*58 см
Упаковка: заводская упаковка
Примечание от фабрики: в стоимость образца входит выкрас коробки, фурнитуру можно будет выкрасить только на тираже 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"66,4","7309,8",85-90,,,,26 000,15,25-27,
,,,,40000,"64,3","7073,9",85-90,,,,,,,
 ,"Чемодан 5

(доставка контейнером)","Материал: АБС+ПС
Размер: 36*23*58 см
Упаковка: заводская упаковка
Примечание от фабрики: в стоимость образца входит выкрас коробки, фурнитуру можно будет выкрасить только на тираже 
", Дизайн: лого 2 цвета+выкрас в пантон,30000,"28,5","2931,0",115-120,,,,26 000,15,25-27,
,,,,40000,"27,5","2831,2",115-120,,,,,,,
