,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,шоппер,"36*40*5см
ручки 54*2,5см
одноцвтеная шелкография
210 гр хлопок",100,"4,9","447,6",50-55,10000,17 дней (фото / видео 7 дней),
,,,300,"4,3","391,0",,,,
,,,500,"4,0","365,7",,,,
,,,800,"3,7","341,3",,,,
,Фартук ,"Материал  - плотная водонепроницаемая ткан. Раззмер  - 75*65.  Брендирование - выкрас по цветам фабрики, лого 1 цвет на фабртуке ",100,"13,8","1259,1",45-50 дней ,6277,17 дней (фото / видео 7 дней),
,,,300,"13,5","1236,5",,,,
,,,500,"9,9","901,2",,,,
,,,800,"8,9","811,8",,,,
,Докерка,"Материал  - хлопок. Раззмер  - 56-68.  Брендирование - лого на бирке 1 цвет. Цвета фабричные - коричневый, бежевый, голубой, черный ",300,"8,1","740,8",50-55 дней ,"6028,24",17 дней (фото / видео 7 дней),
,,,500,"5,7","523,1",,,,
,,,800,"5,5","502,9",,,,
,,выкрас по цветам фабрики ,100,"21,6","1973,5",55-60 дней ,"8202,43",17-22 дня (фото / видео 7 дней),
,,,300,"12,4","1136,8",,,,
,,,500,"8,7","794,9",,,,
,,,800,"8,4","766,8",,,,
,Футболка ,"Материал  - хлопок, плотность 180гр  Раззмер  -  free size.  Брендирование - лого 1 цвет на спине ",100,"12,3","1125,8",45-50 дней ,"6308,09",17 дней (фото / видео 7 дней),
,,,300,"10,4","947,5",,,,
,,,500,"8,9","812,2",,,,
,,,800,"7,9","725,4",,,,
,Лонгслив,"Материал  - хлопок 95%, спандекс 5%, плотность 210гр  Раззмер  -  free size.  Брендирование - лого 1 цвет на  рукаве ",100,"17,8","1632,2",45-50 дней ,"6401,37",17 дней (фото / видео 7 дней),
,,,300,"15,9","1453,8",,,,
,,,500,"14,4","1318,6",,,,
,,,800,"13,2","1210,6",,,,
