,"Менеджер: Магасумов Арсений
Email: arseny@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Джибитсы,"Материал: ПВХ
Размер: 3х3 см
Упаковка: подложка, опп
Примечание от фабрики: по макету клиента

"," Дизайн: по макету клиента, закрепление на картонную подложку",100 наборов ,"8,2","696,3",40-45,"8,4","709,8",30-35,31 200 ,7,17-19,
 ,Ланьярд,"Материал: полиэферное волокно
Размер: длина 120 см, ширина 8 мм
Цвета: по макету клиента
Упаковка: индивидуальный пакет", Дизайн: выкрас в цвет по макету клиента ,"2000 (2 цвета по 1000, минималка)","2000 - 3,52

300 - 17,49","2000 - 299,07

300 - 1486,82",40-45,"2000 - 3,80

300 - 17,83","2000 - 323,06

300 -  1515,54",30-35,12 000,9,19-21,
,,," Дизайн: выкрас в цвет по макету клиента, бирка с лого",,"2000 - 4,64

300 - 20,24","2000 - 394,56

300 - 1720,66",,"2000 - 4,97

300 - 20,58","2000 - 422,33

300 - 1749,28",,,,,
 ,Ланьярд,"Материал: полиэферное волокно
Размер: длина 120 см, ширина 8 мм
Цвета: по макету клиента
Упаковка: индивидуальный пакет", Дизайн: бирка с лого ,300 (2 цвета по 150 шт),"5,3","450,2",40-45,"5,7","482,1",30-35,12 000,9,19-21,
,,," Дизайн:  шелкография (одноцвет) на держателе (доп фото, черный конец) ",,"4,3","366,8",,"4,7","398,8",,,,,
 ,Ремувка,"Материал: ПВХ, металл
Размер: 14*4 см
Упаковка: опп-пакет
Примечание от фабрики: 
Печать на поверхности одноцвет", Дизайн: Уф-печать лого,300,"3,0","250,9",35-40,"3,4","290,0",25-30,3 600,5,15-17,
,,,,,,,,,,,,,,
 ,Сумка,"Материал: мембрана
Размер: по макету клиента
Упаковка: опп
Примечание от фабрики: 
Цвет - металлик, из ракладки фабрики "," Дизайн: кастом по макету клиента, шелкография",300,"12,74","1 083,06",60-70,"13,93","1 184,04",50-60,8 600,10,20-22,
,,,,,,,,,,,,,,
 ,Бирка багажная,"Материал: пвх
Цвет: оранжевый/голубой, как на фото
Размер: примерно 9 см
Упаковка: опп

", Дизайн: открытие формы на рельефный логотип,100,"4,18","354,97",35-40,"4,35","370,12",25-30,6 000,5,15-17,
,,,,,,,,,,,,,,
 ,Бирка багажная,"Материал: ПУ
Цвет: оранжевый, как на фото
Размер: 11*7 см
Упаковка: опп

", Дизайн: тиснение,100,"2,82","239,38",37-45,"2,93","248,73",27-35,6 000,7,17-19,
,,,,,,,,,,,,,,
 ,Картхолдер,"Материал: натуральная кожа
Размер: 7,5*10,5 см
Цвета: на видео
Упаковка: индивидуальный пакет", Дизайн: нет,100,"9,7","822,8",40-45,"9,9","837,2",30-35,7 900,5,15-17,видео
,,, Дизайн:  тиснение,300,"8,4","712,0",,"8,6","726,4",,,,,
 ,Брелок,"Материал: металл
Размер: 4х4 см
Упаковка: опп-пакет", Дизайн:  по макету клиента,500 (минимальный тираж),"2,1","181,9",40-45,"2,3","192,1",30-35,11 700,13,23-25,
,,,,,,,,,,,,,,
 ,Ремувка,"Материал: ПВХ, металл
Размер: 12*2,5 см
Упаковка: опп-пакет
Примечание от фабрики: 
Печать на поверхности одноцвет
Выкрас ремувки в пантон
Выркас фурнитуры в пантон", Дизайн: Уф-печать лого,300,"2,4","198,1",35-40,"2,8","236,8",25-30,3 600,5,15-17,
,,,,,,,,,,,,,,
 ,Ремувка,"Материал: ПВХ, металл
Размер: 12*2,5 см
Упаковка: опп-пакет
Примечание от фабрики: 
Печать на поверхности одноцвет", Дизайн: Уф-печать лого,300,"2,3","191,5",35-40,"2,7","230,1",25-30,3 600,5,15-17,
,,,,,,,,,,,,,,
 ,Ремувка,"Материал: ПВХ, металл
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: 
Печать на поверхности одноцвет", Дизайн: Уф-печать лого,300,"3,0","248,0",35-40,"3,4","286,7",25-30,3 600,5,15-17,
,,,,,,,,,,,,,,
 ,Ремувка,"Материал: жаккард
Размер: 15*3 см
Упаковка: опп-пакет
Примечание от фабрики: 
Жаккардовая вязка. В точности дизайн не повторить, так как по краям проходит шов, он будет одного цвета с основой ремувки", Дизайн: Уф-печать лого,300,"3,0","250,5",40-45,"3,4","282,5",30-35,3 800,10,20-22,
