,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Силиконовый кошелек,"Материал: пищевой силикон
Размер: 120*90*25 мм
Примерный вес: 54 г
Цвета: голубой, розовый, зеленый, сиреневый
Нанесение: цв печать в один цвет
Упаковка: опп пакет",500,"3,30","308,56",45-50кд,"7 567,92",22-24кд,
,Бутылка на ремне,"Материал: полипропилен, полистирол
Размер: 10.3*5.2*21.6 см
Примерный вес: 300 г
Объём: 750 мл
Нанесение: цв печать в один цвет
Упаковка: опп пакет

Удаление заводского логотипа с бутылки от 2000 штук.",500,"6,31","612,30",40-45кд,"16 726,82",19-21кд,
,"Металлические значки по инд дизайну (указана примерная цена и сроки на один дизайн, точная стоимость после предоставления макета)","Материал: металлический сплав
Примерный размер: 4*4 см
Примерный вес: 50 г
Упаковка: прикреплен на картонке

Изготовление индивидуальной формы для значка размером 4*4 см
",500,"2,26","212,0",45-50кд,"29 630,87",25-30кд,
,"Брелок (цена и срок примерные, точные могут быть рассчитаны после предоставления макетов)","Материал: мягкая резина, пвх
Размер: 16 х 3,5 х 4 см
Состав брелка: ремувка, светящаяся фигурка и карточка",3000,"3,6","341,87 ₽",55-60кд,27 513 ₽,25-27кд,
,"Конструктор ""Астронавт"" под полное изготовление (цена и срок примерные, точные могут быть рассчитаны после предоставления макетов)","Материал: пластик
Размер коробки: примерно 11.5*4.5*16см
Размер готовой фигурки: примерно 10,6*7*7см
Со светящимся элементом
Количество деталей: в зависимости от модели от 387 до 472",3000,"4,4",с,55-60кд,43 945 ₽ - цена включает разработку фабрикой дизайна для изготовления конструктора + единоразовый образец (после утверждения макета фабрики поменять что-либо на готовом образце или на тираже невозможно),30-32кд,
,"Конструктор ""Астронавт"" из наличия","Материал: пластик
Размер: в ассортименте, будет зависеть от выбранного конструктора
Упаковка: в коробку 16*11,5*4,5см","500

1000","3,26

3,09","316,59 ₽

300,24 ₽","30-35кд (если на момент заказа весь товар будет в наличии)

45-50кд (примерные сроки изготовления оставшейся партии, будет зависеть от загруженности производства на момент заказа)",2 530 ₽,17-19кд,
,"Стикеры с эпоксидной смолой (цена и срок примерные, точные могут быть рассчитаны после предоставления макетов)","Материал: пвх + эпоксидная смола
Способ нанесения: цветная печать + заливка смолой
Размер стикеров: примерно 3*3см，5*6см，3*1.5см，7*1.5см，5.5*5.7см，7*0.5см
Подложка: прозрачный лист
Упаковка: в пакетик",500,"2,1","208,89 ₽",32-37кд,18 598 ₽,21-23кд,
,"Значки металлические (цена и срок примерные, точные могут быть рассчитаны после предоставления макетов)","Материал: цинковый сплав
Способ нанесения: заливка эмалью
Размер: примерно 2*3см
Застежка: бабочка
Цена указана за 1 дизайн 200шт (после предоставления макета тираж может измениться) ИТОГО 3 дизайна",600,"3,2","302,03 ₽",45-50кд тираж 600шт,11 515 ₽,24-26кд,
