,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Носки вязка  спорт резинка ,"Материал: текстиль 
Размер: единый 
Упаковка: индивидуальный пакетик
Логотип - вязка 
Состав 75% хлопок 20% полиэстер 5 % эластан",500,"2,2","204,3","2,27","212,62",35-40,25-30,"6161,17",15-17,
,,,1000,"2,0","191,1","2,13","199,43",,,,,
,Носки печать ,"Материал: текстиль 
Размер: единый 
Упаковка: индивидуальный пакетик
Нанесение - печать 
На печать (эффект, который на фото, минималка 2000 пар)
Состав 75% хлопок 20% полиэстер 5 % эластан",2000,"1,8","171,4","1,92","179,7",45-50,35-40,"12826,31",20-22,
,Прозрачный зонт,"Зонт-трость с 8 спицами
Материал купола: пластик POE
Каркас из полиэстерового волокна
Материал ручки: пвх
Диаметр купола: 88 см
Нанесение: полноцветное 
Индивидуальная упаковка в пластиковый прозрачный пакет
",1000,"6,2","578,0","7,4",690,45-50,35-40,60200,32-35,
,Дождевик,"Дождевик на кнопках с шнурками на капюшоне и широкими рукавами
Цвет: синий
Материал: EVA
Длина без капюшона: 119 см
Нанесение полноцветное на капюшон и спину
Индивидуальная упаковка в пластиковый пакет",1000,"3,9","359,0","4,4",411,45-50,35-40,8600,22-25,
,Зонт с проявляющимся рисунком,"Полуавтоматический зонт с 8 спицами
Каркас из стекловолокна
Материал ручки: пвх
Диаметр купола: 106 см
Нанесение: проявляющийся рисунок на половине поверхности купола (через секцию)
Индивидуальная упаковка в пластиковый прозрачный пакет
",500,"10,0","929,0","11,5","1 074,00",45-50,35-40,9200,22-25,
,,,1000,"9,4","876,0","10,9","1 012,00",,,,,
,Дождевик с проявляющимся от воды рисунком,"Дождевик на кнопках с шнурками на капюшоне и широкими рукавами
Цвет: синий
Материал: EVA
Длина без капюшона: 119 см
Нанесение проявляющегося рисунка на капюшон и спину
Индивидуальная упаковка в пластиковый пакет",3000,"7,1","659,0","7,7",712,45-50,35-40,19700,22-25,
