,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики: сшивка по кускам"," Дизайн: пвх шеврон, 3 пвх ремувки",300,"45,743","4208,35",65-70,"48,240","4438,06",55-60,"15 000,00",22 дня (фото / видео 12 дней),
,,,,,,,,,,,,,
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики: сшивка по кускам"," Дизайн: пвх шеврон, 3 тканевые ремувки с печатью",300,"48,340","4447,26",65-70,"50,684","4662,92",55-60,"15 000,00",22 дня (фото / видео 12 дней),
,,,,,,,,,,,,,
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики: прострочка сверху"," Дизайн: пвх шеврон, 3 пвх ремувки",300,"38,962","3584,54",60-65,"41,858","3850,95",50-55,"15 000,00",22 дня (фото / видео 12 дней),
,,,,,,,,,,,,,
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики: прострочка сверху"," Дизайн: пвх шеврон, 3 тканевые ремувки с печатью",300,"41,559","3823,45",60-65,"44,302","4075,80",50-55,"15 000,00",22 дня (фото / видео 12 дней),
,,,,,,,,,,,,,
,Набор для коктелей ,"Материал: стекло, шипцы пластик
Размер:  ведно для льда 1000мл,  стаканы по 300мл",Дизайн:  лого графировка на каждом товаре ,350 наборов ,"23,2","2133,4",55-60 дней ,"30,67","2821,54",50-55 дней ,"8275,8",17-22 дня (5 дней фото/видео),
,,"Набор с металическими ципцами, размер 19,5х1.7",,350 наборов ,"24,1","2213,0",,"31,5","2901,2",,,,
,,"Набор с металическими ципцами, размер 11х1.6",,350 наборов ,"23,6","2173,2",,"31,1","2861,35",,,,
,Фоома для льда ,"Материал: силикон 
Размер:  21.8*10.6*1.7cm, 15шт или 8шт  отделений для льда 
Примечание от фабрики: минималка от 500шт , ",Дизайн:  цвет и фигурки под дизайн клиента ,500,"4,1","451,2",45-50 дней ,"5,1","469,13",40-45 дней ,"3181,85 (стоковый )",15-17 дней ,
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики: сшивка по кускам", Дизайн: пвх шеврон,300,"42,281","3889,81",65-70,"44,981","4138,26",55-60,"15 000,00",22 дня (фото / видео 12 дней),
,,,,,,,,,,,,,
 ,рюкзак,"Материал: полиэстер + PU
Упаковка: инд пакет
Примечание от фабрики:  прострочка сверху", Дизайн: пвх шеврон,300,"35,500","3266,00",60-65,"38,599","3551,14",50-55,"15 000,00",22 дня (фото / видео 12 дней),
