,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Бутылка,"Материал: нержавеющая сталь 
Размер: 500 мл, 22х7.5 см
Упаковка: индивидуальная коробка "," Дизайн: выкрас (pantone 2717C), печать с двух сторон ",500,"8,8","879,2",35-40,"10,2","1022,9",25-30,"7 550,00",15-20,
,,,,1000,"8,7","877,9",,"10,2","1021,4",,,,
 ,Бутылка ,"Материал: нержавеющая сталь 
Размер:  500 мл, 18.5х6.8 см
Упаковка: индивидуальная коробка "," Дизайн: выкрас (pantone warm gray 2c), печать с двух сторон ",1000,"8,4","844,2",35-40,"9,2","914,3",25-30,"14 670,00",17-20 ,
 ,Брелок акриловый,"Материал: акрил, нержавеющая сталь + цинковый сплав 
Размер: 70х20 мм
Упаковка: индивидуальный пакет "," Дизайн: прозрачный матовый подвес, УФ-печать 3 цвета ",100,"4,8","478,1",35-40,5,"500,6",25-30,"5 190,00",15-20,
,,,,300,4,"401,2",,"4,2","423,6",,,,
,,,,500,"3,4","341,1",,"3,6","363,5",,,,
,,,,1000,"3,1","308,9",,"3,3","331,5",,,,
 ,Органайзер ,"Материал: ПВХ
Размер: 50
Упаковка: 
Примечание от фабрики: "," Дизайн: выкрас (pantone 430C), печать лого",500,"1,5","148,9",40-45,"1,7","167,7",30-35,"8 760,00",17-20,
,,,,1000,"1,4","145,9",,"1,6","164,6",,,,
 ,Брелок на пружинке,"Материал: акрил, полиэстер 
Размер: 70х20 мм
Упаковка: индивидуальный пакет "," Дизайн: матовый подвес с выкрасом в пантон и УФ-печатью, выкрас пружинки в пантон  ",100,"7,9","797,1",40-45,"8,3","834,6",30-35,"5 190,00",15-20,
,,,,300,"7,2","715,8",,"7,5","753,3",,,,
,,,,500,"5,9","597,9",,"6,3","635,4",,,,
,,,,1000,"5,7","567,5",,"6,1","604,8",,,,
