,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Сумка из паракорда,"Материал: шнур полиэстер
Размер: длина 160 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка согласно фото из ТЗ, дно сумки плетеное, петля для карабина плетеная, карабин, пластиковый фастекс

Стоимость ориентировочная, окончательная после изготовления образца", Дизайн: настройка цвета в соответствии с цветовой картой,300,"8,0","736,6",45-50 ,"8,55","787,04",35-40,"5 500,00","7-9 - фото/видео

12-14 - доставка в Москву",
 ,Термобутылка,"Материал: нержавеющая сталь, покрытие софт-тач
Размер: 500 мл
Упаковка: фабричная коробка
Цвет: розовый, оранжевый, зеленый", Дизайн: шелкография в один цвет,300,"6,4","609,0",40-45,"7,54","726,34",30-35,"8 800,00","5-7 - фото/видео

12-14 - доставка в Москву",
 ,Термобутылка,"Материал: нержавеющая сталь
Размер: 500 мл
Упаковка: фабричная коробка
Цвет: фиолетовый, розовый, оранжевый", Дизайн: шелкография в один цвет,300,"6,8","647,0",40-45,"8,04","775,68",30-35,"8 500,00","5-7 - фото/видео

12-14 - доставка в Москву",
 ,Термобутылка,"Материал: нержавеющая сталь
Размер: 540 мл
Упаковка: фабричная коробка
Цвет: оранжевый, фиолетовый, розовый", Дизайн: шелкография в один цвет,300,"8,5","809,5",40-45,"10,11","976,03",30-35,,"5-7 - фото/видео

12-14 - доставка в Москву",
 ,Термобутылка,"Материал: нержавеющая сталь, покрытие софт-тач
Размер: 500 мл
Упаковка: фабричная коробка
Цвет: оранжевый, фиолетовый, розовый, сине-зеленый", Дизайн: шелкография в один цвет,300,"7,1","671,0",40-45,"8,25","792,13",30-35,,"5-7 - фото/видео

12-14 - доставка в Москву",
 ,Калькулятор,"Материал: пластик
Размер: 15х9,5 см
Упаковка: фабричная коробка
Цвет: зеленый, голубой, розовый, фиолетовый", Дизайн: шелкография,1000,"4,5","429,9",50-55,"5,13","494,26",40-45,"16 000,00","10-12 - фото/видео

12-14 - доставка в Москву",
 ,Калькулятор,"Материал: пластик
Размер: 16х11,5 см
Упаковка: фабричная коробка
Цвет: зеленый, голубой, розовый, фиолетовый", Дизайн: шелкография,1000,"5,6","540,4",50-55,"6,51","629,15",40-45,"16 300,00","10-12 - фото/видео

12-14 - доставка в Москву",
 ,Булавка,"Материал: нержавеющая сталь, краска
Размер: 38 мм
Упаковка: без индивидуальной упаковки
Цвет:  фиолетовый

Настройка цвета по пантону от 200 тыс.шт", Дизайн: без кастомизации,2000-3000,,,,"0,11","11,02",17-20,"2 300,00",12-14 - доставка в Москву,
 ,Булавка,"Материал: нержавеющая сталь, краска
Размер: 45 мм
Упаковка: без индивидуальной упаковки
Цвет:  фиолетовый

Настройка цвета по пантону от 200 тыс.шт", Дизайн: без кастомизации,2000-3000,,,,"0,14","13,32",17-20,"2 300,00",12-14 - доставка в Москву,
 ,Булавка,"Материал: нержавеющая сталь, краска
Размер: 55 мм
Упаковка: без индивидуальной упаковки
Цвет:  фиолетовый

Настройка цвета по пантону от 200 тыс.шт", Дизайн: без кастомизации,2000-3000,,,,"0,16","15,61",17-20,"2 300,00",12-14 - доставка в Москву,
 ,Калькулятор,"Материал: пластик
Размер: 15,5х11х2 см
Упаковка: фабричная коробка
Цвет: зеленый, голубой, розовый, оранжевый", Дизайн: шелкография,1000,"5,5","553,42 ₽",50-55,"6,28","640,98",40-45,"17 200,00","10-12 - фото/видео

12-14 - доставка в Москву",
 ,Тряпка для очков,"Материал: микрофибра
Размер: 12х4 см
Упаковка: прозрачный пакет
", Дизайн: сублимация с двух сторон 4+4,3000,"0,2","19,14 ₽",45-50,"0,22","21,8",35-40,"4 800,00","5-7 - фото/видео

12-14 - доставка в Москву",
 ,Калькулятор,"Материал: пластик
Размер: 8,5 x 5,4 х 1 см
Упаковка: прозрачный пакет
Цвет: прозрачный, фиолетовые кнопки", Дизайн: шелкография,1000,"1,8","181,61 ₽",50-55,"2,01","204,36 ₽",40-45,"10 700,00","7-10 - фото/видео

12-14 - доставка в Москву",
 ,Калькулятор,"Материал: пластик
Размер: 10 х 6,5 х 1 см
Упаковка: блистер
Цвет: фиолетовый", Дизайн: шелкография,1000,"1,8","176,91 ₽",55-60,"1,97","201,00 ₽",45-50,"19 300,00","10-12 - фото/видео

12-14 - доставка в Москву",
 ,Термостакан 1,"Материал: нержавеющая сталь, покрытие софт-тач
Размер: 11,5х8х6 см, 350 мл
Упаковка: фабричная коробка
Цвет: согласно пантону"," Дизайн: шелкография, один цвет",500,,,,"7,05","731,28",30-35,"8 400,00","3-5 - фото/видео

12-14 - доставка в Москву",
