,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак 1," Вариант из материала, как делали для ВК
В черном и красном цвете
Предложить варианты фурнитуры и нанесения","Материал: прорезиненный пвх
Размер: 48*31*20 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- нанесение логотипа TPU печать
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"27,4","2324,9",95-105,"30,7","2612,4",85-95,16 000,20,30-32,
,,,,,50 000,"25,9","2202,4",95-105,"29,2","2479,6",85-95,,,,
,,,,,80 000,"24,1","2044,7",105-115,"27,2","2311,7",95-105,,,,
,,,,,100 000,"22,9","1947,8",105-115,"25,9","2204,5",95-105,,,,
 ,Рюкзак 2,"Зимние, как для вк
В черном и красном цвете","Основной материал: PU + полиэстер
Подклад: хлопок
Наполнитель: PP-хлопок 200g
Размер: 28см х 43см х 16.5см
Ширина ручки: 2cм
Ширина лямок: 5см
Пуллер: 3-4см
Молния: Тракторная металлическая, тесьма черная
Упаковка: инд пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- шильд с логотипом
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"23,1","1962,9",75-80,"26,0","2209,4",65-70,36 500,15,25-27,
,,,,,50 000,"22,2","1882,9",90-95,"25,0","2120,6",80-85,,,,
,,,,,80 000,"21,2","1803,7",105-110,"23,9","2032,5",95-105,,,,
,,,,,100 000,"20,3","1725,1",120-125,"22,9","1945,2",110-115,,,,
 ,Рюкзак 3,"из нейлона, близкий к рефам
*черный
*красный
еще один реф по ссылке https://store.yandex.ru/product/1857b","Материал: оксфорд 900D
Размер: 32*48*17,5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- стропа с жаккардовой вязкой логотипа
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"21,8","1852,2",75-80,"25,6","2176,5",65-70,36 500,15,25-27,
,,,,,50 000,"20,9","1776,2",90-95,"24,6","2088,9",80-85,,,,
,,,,,80 000,"20,0","1700,9",105-110,"23,6","2002,0",95-105,,,,
,,,,,100 000,"19,1","1626,3",120-125,"22,5","1915,9",110-115,,,,
 ,Рюкзак 4,"из нейлона, близкий к рефам
*черный
*красный
еще один реф по ссылке https://store.yandex.ru/product/1857b","Материал: нейлон
Размер: 45*31*19 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- шильд с логотипом
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"18,1","1538,3",75-80,"21,2","1797,7",65-70,36 500,15,25-27,
,,,,,50 000,"17,2","1463,6",90-95,"20,2","1713,8",80-85,,,,
,,,,,80 000,"16,4","1390,4",105-110,"19,2","1631,3",95-105,,,,
,,,,,100 000,"15,5","1318,6",120-125,"18,2","1550,2",110-115,,,,
 ,Рюкзак 5,"из нейлона, близкий к рефам
*черный
*красный
еще один реф по ссылке https://store.yandex.ru/product/1857b","Материал: нейлон
Размер: 43*29,5*17 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- шильд с логотипом
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"24,5","2081,9",75-80,"27,8","2362,1",65-70,14 000,15,25-27,
,,,,,50 000,"23,5","1997,7",85-90,"26,7","2267,8",75-80,,,,
,,,,,80 000,"22,5","1914,2",105-110,"25,6","2174,3",95-100,,,,
,,,,,100 000,"21,4","1822,3",115-120,"24,4","2072,4",105-110,,,,
 ,Рюкзак 6,Вариант с референса,"Материал: нейлон, пвх
Размер: 32*16*43 см
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, для расчета точной стоимости необходима проработка образца"," Дизайн: индивидуальный пошив
- шильд с логотипом
- выбор цвета материала
- ПВХ пуллеры с выкрасом в пантон и логотипом",25 000,"11,6","984,8",75-80,"14,0","1189,1",65-70,20 000,15,25-27,
,,,,,50 000,"11,2","949,6",85-90,"13,5","1146,6",75-80,,,,
,,,,,80 000,"10,8","914,4",105-110,"13,0","1104,1",95-100,,,,
,,,,,100 000,"10,3","879,3",115-120,"12,5","1061,7",105-110,,,,
