,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Менеджер,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Большая сумка-холодильник из
переработанного канваса",Аня,"Материал: полиэстер, PEVA (не переработанный)
Размер: 26 х 19 х 28 см
Упаковка: инд пакет
Примечание от фабрики: для уточнения стоимости необходима проработка образца "," Дизайн: печать лого, 1 цвет",5000,"13,6","1151,5",70-75,"15,8","1342,7",60-65,10 500,10,20-22,
,,,,,10000,"13,2","1117,6",,"15,4","1308,8",,,,,
,,,,,20000,"12,3","1041,6",,"14,7","1245,6",,,,,
 ,"Охлаждающий
бокс Polarbox или аналог",Света Л,"Материал: PP
Размер: 6л, 25 х 15 х 12.7 см (внутренний), 32.3 х 20.7 х 19.8 см (внешний)
Упаковка: инд коробка
Примечание от фабрики: для уточнения стоимости необходима проработка образца"," Дизайн: печать лого, шелкография (можно выкрасить в пантон, входит в стоимость)
",5000,"30,1","2556,2",65-70,"39,9","3388,5",55-60,11 200,10,20-22,
,,,,,10000,"28,9","2453,5",,"38,4","3259,8",,,,,
,,,,,20000,"27,7","2352,3",,"36,9","3132,6",,,,,
,,,," Дизайн: объемный логотип (можно выкрасить в пантон, входит в стоимость)
",5000,"30,9","2626,4",70-75,"40,7","3458,7",60-65,15 200,12,22-24,
,,,,,10000,"29,7","2521,5",,"39,2","3327,8",,,,,
,,,,,20000,"28,5","2418,2",,"37,6","3198,5",,,,,
 ,"Плед для пикника Soft & Dry, синий",Саша,"Материал: полиэстер с водоотталкивающим покрытием
Размер: 150*180 cм
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,5000,"18,7","1585,6",45-50,"21,9","1857,7",35-40,12 394,7,17-19,
,,,,,10000,"18,0","1533,6",50-55,"21,1","1796,6",40-45,,,,
,,,,,20000,"15,2","1287,5",50-55,"17,3","1473,3",40-45,,,,
 ,"Плед для пикника Soft & Dry, синий",Саша,"Материал: полиэстер с водоотталкивающим покрытием
Размер: 150*180 cм
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого+выкрас в цвет клиента,5000,"21,4","1820,2",45-50,"25,2","2138,1",35-40,12 394,10,20-22,
,,,,,10000,"21,4","1820,1",50-55,"25,2","2138,0",40-45,,,,
,,,,,20000,"18,6","1584,1",50-55,"21,4","1819,4",40-45,,,,
 ,"Плед для пикника Soft & Dry, синий",Саша,"Материал: полиэстер с водоотталкивающим покрытием
Размер: 150*180 cм
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: с лого, просчет с учетом долгой доставки жд и авиа",5000,"14,6","1239,3",50-55,"17,2","1461,9",40-45,12 394,7,17-19,
,,,,,10000,"14,1","1198,9",55-60,"16,6","1414,1",45-50,,,,
,,,,,20000,"12,4","1050,9",55-60,"14,2","1203,0",45-50,,,,
 ,"Плед для пикника Soft & Dry, синий",Саша,"Материал: полиэстер с водоотталкивающим покрытием
Размер: 150*180 cм
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: с лого+выкрас в цвет клиента, просчет с учетом долгой доставки жд и авиа",5000,"16,7","1415,6",50-55,"19,7","1675,7",40-45,12 394,10,20-22,
,,,,,10000,"16,7","1415,5",55-60,"19,7","1675,6",45-50,,,,
,,,,,20000,"15,1","1284,7",55-60,"17,4","1477,2",45-50,,,,
