,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Беспроводная зарядка для часов Apple/Samsung,"Материал: ABS пластик
Размер: 71.5*34.6*9.7мм
Упаковка: Стандартная заводская картонная коробка для каждой единицы товара 
Примечание от фабрики: Два раъема: USB и Type-C. Возможна гравировка логотипа (от 400 штук), а также нанесение путем шелкографии (от 1000 штук)", Дизайн: Цвет черный или  белый. Гравировка логотипа клиента в один цвет ,400,"6,6","591,22",45-50,"6,7","603,89",35-40,7 340,5,15-17,
,,,,,,,,,,,,,,
 ,Блок питания GAN 65W 2C1A,"Материал: ABS+PC
Размер: 6,1*6,1*3,1см
Упаковка:   OPP пакет, есть возможность сделать кастомную коробку за 70р/шт
Примечание от фабрики: Выкрас в Pantone воможен от 3000 штук", Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет ,1000,"16,3","1481,00",60-65,"16,8","1529,00",50-55,42 350,10,20-22,
,,," Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет, выкрас корпуса в пантон",5000,"15,9","1436,00",65-70,"16,3","1483,00",55-60,,,,
,,,,23100,"16,0","1 308,00 ₽",90-95,"16,5","1 351,63 ₽",80-85,,,,
 ,Блок питания GAN 100W 2C2A,"Материал: ABS+PC
Размер: 6,9*6,9*3,1см
Упаковка:   OPP пакет, есть возможность сделать кастомную коробку за 70р/шт
Примечание от фабрики: Выкрас в Pantone воможен от 3000 штук", Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет ,1000,"35,6","3224,00",60-65,"36,5","3311,00",50-55,42 350,10,20-22,
,,," Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет, выкрас корпуса в пантон",5000,"34,2","3091,00",65-70,"35,0","3178,00",55-60,,,,
 ,Блок питания GAN 140W 2C2A,"Материал: ABS+PC
Размер: 6,9*6,9*3,1см
Упаковка:   OPP пакет, есть возможность сделать кастомную коробку за 70р/шт
Примечание от фабрики: Выкрас в Pantone воможен от 3000 штук", Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет ,1000,"47,5","4292,00",60-65,"48,4","4383,60",50-55,42 350,10,20-22,
,,," Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет, выкрас корпуса в пантон",5000,"44,5","4027,00",65-70,"45,5","4119,00",55-60,,,,
 ,Блок питания GAN 140W 3C1A,"Материал: ABS+PC
Размер: 6,9*6,9*3,1см
Упаковка:   OPP пакет, есть возможность сделать кастомную коробку за 70р/шт
Примечание от фабрики: Выкрас в Pantone воможен от 3000 штук", Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет ,1000,"48,4","4371,00",60-65,"49,3","4463,00",50-55,42 350,10,20-22,
,,," Дизайн: Цвет черный или  белый. Печать или гравировка логотипа один цвет, выкрас корпуса в пантон",5000,"44,5","4027,00",65-70,"45,5","4119,00",55-60,,,,
 ,Кабель плетеный USB-C - USB-C 100W,"Материал:  Нейлон, прорезиненный коннектор
Размер: 1,2m
Упаковка: OPP пакет, есть возможность сделать кастомную коробку за 70р/шт
Примечание от фабрики: Возможен другой размер (1,5м)"," Дизайн: Любой цвет по Pantone. Гравировка или печать логотипа один цвет , открытие формы",1000,"4,5","380,75",50-55,"4,7","398,70",40-45,120 000,15,25-27,
,,,,5000,"3,9","332,93",55-60,"4,1","349,39",45-50,,,,
,,,,23100,"3,39","309,00",85-90,"3,4","318,15",75-80,,,,
 ,Кабель плетеный USB-C - USB-C 140W,"Материал:  Нейлон, прорезиненный коннектор
Размер: 1,2m
Упаковка:  OPP пакет, есть возможность сделать кастомную коробку за 70р/шт 
Примечание от фабрики: Возможны другие размеры (от 1м)", Дизайн: Цвет черный/белый/розовый/бирюзовый. Гравировка логотипа клиента в один цвет ,1000,"3,3","299,00",50-55,"3,5","316,00",40-45,3 350,15,25-27,
,,," Дизайн: Цвет черный/белый/розовый/бирюзовый. Гравировка логотипа клиента в один цвет , выкрас в Пантон",5000,"3,2","288,00",55-60,"3,3","305,00",45-50,,,,
 ,Беспроводная зарядка 3 в 1 ,"Материал: ABS пластик
Размер: 58*58*29мм
Упаковка: Стандартная заводская картонная коробка для каждой единицы товара 
Примечание от фабрики: Два раъема: USB и Type-C. Возможен выкрас в Пантон и нанесение логотипа(от 3000 штук) Необходима Декларация соответствия (14500руб.) и Сертификат соответствия (85000руб.). Не входит в стоимость", Дизайн: Цвет черный/белый/розовый/бирюзовый. ,400,"15,75","1436,00",50-55,"15,85","1461,21",45-50,8 400,9,19-21,
,,," Дизайн: Цвет черный/белый/розовый/бирюзовый. Гравировка логотипа клиента в один цвет , выкрас в Пантон, нанесение логотипа",3000,"15,3","1392,00",,"15,50","1416,83",,,,,
,Магнитный держатель для телефона с magsafe,"Материал: Аллюминиевый сплав, силикон
Размер: 17*7*1,3 см
Упаковка: Стандартная заводская картонная коробка для каждой единицы товара 
","Дизайн: Серебряный цвет, нанесение логотипа клиента методом лазерной гравировки",400,"6,67","587,15",32-37,"7,00","615,12",22-27,3 200,5,15-17,
,,,,,,,,,,,,,,
 ,Зарядка 3 в 1,"Материал: Аллюминиевый сплав, силикон
Размер: 24,3*6,1*1 см, в сложенном состоянии 8,3*2,9см 
Упаковка: Стандартная заводская картонная коробка для каждой единицы товара 
Необходима Декларация соответствия (14500руб.) и Сертификат соответствия (85000руб.). Не входит в стоимость","Дизайн: Серебряный цвет, нанесение логотипа клиента методом лазерной гравировки",400,"20,76","1 843,36 ₽",55-60,"21,64","1 928,54 ₽",50-55,10 000,5,15-17,
