,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Переплетеный обвес,"Материал: полиэстер, металл
Размер: длина в сложенном состоянии 60см, диаметр 7мм
Упаковка: без упаковки"," Дизайн: выкрас в пантон шнура (2 цвета), PU бирка с тиснением/печатью",50 000,,,,"1,4","121,0",45-50,9 600,10,20-22,
,,,,100 000,,,,"1,4","117,0",50-55,,,,
,,,,150 000,,,,"1,3","113,1",60-65,,,,
 ,Шнур для телефона,"Материал: полиэстер, металл, PU
Размер: длина в сложенном состоянии 67см, диаметр 8мм
Упаковка: ZIP пакет
Примечание от фабрики: возможна частичная отгрузка (мощность производства 2000шт в день)"," Дизайн: выкрас в пантон 1 цвет, тиснение лого на PU вставке",50 000,,,,"2,3","196,0",50-55,22 000,12,22-24,
,,,,100 000,,,,"2,2","190,0",60-65,,,,
,,,,150 000,,,,"2,1","180,0",70-75,,,,
 ,Плетеный обвес,"Материал: полиэстер, металл
Размер: длина в сложенном состоянии 60см, диаметр 5мм
Упаковка: без упаковки"," Дизайн: выкрас в пантон шнура (2 цвета), PU бирка с тиснением/печатью",50 000,,,,"1,3","113,0",45-50,9 600,10,20-22,
,,,,100 000,,,,"1,3","110,0",50-55,,,,
,,,,150 000,,,,"1,2","105,7",60-65,,,,
