,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кубик-рубик,"Материал: пластик
Размер: 5,9 см
Упаковка: сток пакетик", Дизайн: нанесение логотипа на одну сторону,1000,"1,4","123,0",40-45,"1,7","155,4",30-35,22 200,15,25-27,
,,, Дизайн: нанесение по индивидуальному макету со всех сторон кубика,1500,"1,4","122,4",,"1,7","154,8",,,,,
,"Фоторамка
","Материал: ПВХ, акриловое стекло
Размер: 20 х 30 см
Упаковка: сток пакетик
Цвет: серебро, золото и др (на фото)", Дизайн: стандартный,500,"5,7","480,5","40-45
","7,3","619,3","30-35
",6 700,5,10-12,
,,,,1000,"5,6","478,7",,"7,3","617,5",,,,,
 ,Фоторамка,"Материал: ПВХ, акриловое стекло
Размер: 21 х 29,7 см (А4)
Упаковка: сток пакетик
Цвет: серебро, золото и др (на фото)", Дизайн: сток,50,"5,5","498,8",40-45,"7,1","641,7",30-35,6 700,5,10-12,
,,,,500,"5,2","469,6",,"6,8","612,5",,,,,
,,,,1000,"5,4","481,3",,"6,9","624,2",,,,,
 ,Значок,"Материал: цинковый сплав
Размер: 25х25 мм
Застежка: цанга
Упаковка: индивидуальный пакет"," Дизайн: индивидуальный дизайн, заливка эмалью",50,"4,6","416,8",35-40,"4,7","420,2",25-30,7 950,7,17-19,
,,,,300,"2,0","177,8",,"2,0","181,2",,,,,
,,,,1000,"1,6","142,3",,"1,6","145,6",,,,,
 ,Коробка,"Материал: пластик + ложемент из бархатной бумаги
Размер: 31х31х22 мм (внешний), 26х26х18 мм (внутренний)
Упаковка: индивидуальный пакет
Примечание от фабрики: ложемент черного или красного цвета, изменение цвета от 1000 шт, +3,4 руб к цене", Дизайн: сток,50,"0,6","52,0",25-30,"0,6","55,2",15-20,1 470,1,11-13,
,,,,300,"0,3","23,7",,"0,3","26,9",,,,,
,,," Дизайн: печать лого, 1 цвет",1000 (мин),"0,4","34,2",30-35,"0,4","37,4",20-25,5 770,3,13-15,
 ,Коробка,"Материал: пластик + ложемент из бархатной бумаги
Размер: 42х42х19 мм (внешний), 38х38х16 мм (внутренний)
Упаковка: индивидуальный пакет
Примечание от фабрики: ложемент черного или красного цвета, изменение цвета от 1000 шт, +3,4 руб к цене", Дизайн: сток,50,"0,6","56,2",25-30,"0,7","60,2",15-20,1 470,1,11-13,
,,,,300,"0,3","27,8",,"0,4","31,9",,,,,
,,," Дизайн: печать лого, 1 цвет",1000 (мин),"0,4","38,3",30-35,"0,5","42,4",20-25,5 770,3,13-15,
 ,Наушники,"Материал: пластик, экокожа
Размер: 22.5 х 20.7 х 5.2 см
Упаковка: цветная коробка 
Характеристики: 
- Диапазон воспроизводимых частот: от 20 Гц до 20 кГц
- Версия Bluetooth: 5.0 
- Время работы от аккумулятора: до 40 часов
- Быстрая зарядка: 5 минут зарядки обеспечивают до 2 часов воспроизведения
- Полное время зарядки: 2–2,5 часа", Дизайн: сток,50,"9,9","916,7",35-40 (долгое),"10,9","1021,0",20-25 (долгое),4650 (сток),2,12-14,
,,,,300,"9,3","865,8",,"10,3","966,8",,,,,
,,, Дизайн: лого,1000 (мин для лого),"8,6","805,4",55-60 (долгое),"9,7","909,7",40-45 (долгое),14 450,7,17-19,
