,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Менеджер ,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Раздатка,,,,,,,,,,,,,
 ,Стикер,Арина ,"Размер  5 см , круглая или фигурная резка винил. 
Полноцветная печать","Материал: винил
Размер: 5 см
Упаковка: OPP пакет
Примечание от фабрики: нужен перерасчет по дизайну ", Дизайн: полная запечатка с одной стороны,20000,"0,9","73,8",35-40,5 500,7,17-19,
 ,Брелок,Света Ч,"Мягкие брелоки с карабином в стилистике стенда.
Тема ""профессии""","Материал: ПВХ
Размер: около 4*5*4 см
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимсоть примерная, необходим макет для точного просчета", Дизайн: индивидуальная форма и дизайн,20000,"1,9","159,0",35-40,14 000,5,15-17,
 ,Руки-хлопалки,Арина ,"Синего цвета , лого 1 цвет ","Материал: пластик 
Размер: 13*27 см 
Упаковка: 
Примечание от фабрики: ", Дизайн: нанесение в 1 цвет ,20000,"1,1","94,8",35-40 ,5 000,4,14-16,
 ,Значки,Света Ч,"Металлические/Пластик, размер до 4 см, булавка","Материал: цинковый сплав, эмаль, фурнитура - булавка
Размер: до 4 см
Упаковка: индивидуальный пакетик", Дизайн: индивидуальный дизайн и форма,20000,"0,8","64,1",35-40,12 000,7,17-19,
 ,Золотые руки болельщиков,Арина ,"Найти решение выполнить ""золотые руки болельщика""","Материал: резина
Размер: S/M/L на выбор
Упаковка: OPP пакет
Примечание от фабрики: нанесение не делают", Дизайн: из наличия,20000,"2,1","176,6",20-25,4 500,5,15-17,
 ,Карман для карты ,Света Ч,"Пластик, полноцветная печать ","Материал: пластик
Размер: 110*68 мм
Упаковка: без индивидуальной упаковки", Дизайн: индивидуальная печать с двух сторон,20000,"0,7","61,7",25-30,2 400,3,13-15,
 ,Карман для карты ,Света Ч,"Пластик, полноцветная печать ","Материал: ПВХ
Размер: 91*63 мм
Упаковка: без индивидуальной упаковки", Дизайн: индивидуальная печать с двух сторон,20000,"0,4","37,7",30-35,34 500,7,17-19,
 ,Антистресс ,Света Ч,"Тема ""Профессии"" , стоковый вариант, лого 1 цвет","Материал: PU
Размер: ок. 80*60*60 мм
Упаковка: индивидуальный пакет
"," Дизайн: стоковая форма, нанесение логотипа 1 цвет",20000,"1,5","130,8",45-50,12 000,5,15-17,
 ,Шопперы промо,Света Ч,"Промо вариант, лого 1 цвет с одной стороны","Материал: спанбонд 
Размер: 38*42 см
Упаковка: без индивидуальной упаковки"," Дизайн: выбор цвета материала из раскладки, нанесение логотипа 1+0 шелкография",20000,"0,8","68,6",35-40,7 500,3,13-15,
Призы,,,,,,,,,,,,,
 ,Футболка,Арина ,"Плотность неменее 180 гр, печать 1 цвет площадь А3 ","Материал: 180 гр хлопок 
Размер: s,m,l 
Упаковка: инд. пакет 
Примечание от фабрики: точная стоимость после макета", Дизайн: запечатка 297 x 420  мм,5000,"8,9","757,7",35-40 ,6 000,7,17-19,
 ,Панама,Арина ,"Белая, печать 1 цвет по всей поверхности
Можно предложить сублимационную печать ","Материал: хлопок 300 гр
Размер: стандартный 
Упаковка: OPP пакет
Примечание от фабрики: точная стоимость после макета", Дизайн: сублимационная печать с одной стороны в 1 цвет,5000,"6,4","545,5",40-45,14 500,10,20-22,
 ,Кепка,Света Ч,"Белая/ синяя 
лого 1 цвет ","Материал: хлопок
Размер: 56-58 см
Упаковка: индивидуальный пакет"," Дизайн: 
- выбор цвета материала 
- логотип 1 цвет вышивка",5000,"4,2","355,2",40-45,7 900,7,17-19,
 ,Стакан с крышкой пластиковый,Арина ,"объем 450 мл, полноцветная печать ","Материал: пластик
Размер: 600 мл
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета"," Дизайн: нанесение лого, шелкография, 1 цвет (полноцветную запечатку фабрика не делает на этих стаканах)",5000,"3,7","317,0",30-35,10 000,5,15-17,
 ,Ремувка,Света Ч,Пластик/ жаккаард 2 цвета ,"Материал: жаккард 
Размер: 12 см
Упаковка: без индивидуальной упаковки", Дизайн: вязка 2 цвета,5000,"1,0","87,6",30-35,4 800,5,15-17,
 ,Картхолдер,Света Ч,"На 3 карты, кожзам, тиснение с 1 стороны","Материал: кожзам
Размер: 75*110 мм, 3 отделения для карт
Упаковка: индивидуальный пакет", Дизайн: тиснение логотипа с 1 стороны,5000,"1,9","157,1",30-35,7 900,5,15-17,
 ,Сумка-чехол под телефон,Арина ,По референсу,"Материал: пвх 
Размер: 15,5*21*5 
Упаковка: инд. пакет 
Примечание от фабрики: ", Дизайн: шелкография 1 цвет ,5000,"5,0","425,5",30-35 ,5 500,2,12-14,
