,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,коффер 1,"Материал: бамбуковое волокно (время разложения -3-4 года)
Размер: 10,5*8,5 см, 400 мл
Упаковка: белая картонная коробка
Примечание от фабрики: смогут выкрасить саму кружку+силиконовую крышку и держатель, смогут добавить разный дизайн на кол-во 500 шт"," Дизайн: нанесение печати на кружку, выкрас в цвет силиконовых частей",500,"5,4","586,8",62-67 ,,,,29 000,12,22-24,
 ,коффер 2 ,"Материал: 304 нержавеющая сталь, пластик
Размер: 11 см*8 см*6 см
Объем: 360 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести рисунок на кол-во 500 штук, покрытие у кружек - soft-touch", Дизайн: нанесение рисунка или лого на кружку,500,"8,5","900,2",62-67 ,,,,"25 500,00",14,24-26,
 ,коффер 3 ,"Материал: 304 нержавеющая сталь, пластик
Размер: 11 см*8 см*6 см
Объем: 360 мл
Упаковка: заводская упаковка
Примечание от фабрики: смогут нанести разный рисунок на кол-во 300 штук", Дизайн: нанесение рисунка или лого на кружку,500,"7,6","815,8",52-57 ,,,,"8 000,00",9,19-21,
,"Шоппер
Шелкография+ пленка","Материал: хлопок
Размер: 30х40х5 см
Упаковка: ОРР пакет
Примечание от фабрики: настройка цвета в соответствии с картой цветов"," Дизайн: шелкография в один цвет, голографическая или металлизированная пленка, нанесение на одной стороне",,"7,3","747,5",60-65,,,,"17 700,00",10,20-22,
,"Шоппер
Вышивка","Материал: хлопок
Размер: 30х40х5 см
Упаковка: ОРР пакет
Примечание от фабрики: настройка цвета в соответствии с картой цветов", Дизайн: вышивка в один цвет до 3 тыс стежков,,"7,6","777,7",60-65,,,,"17 700,00",10,20-22,
,"Шоппер
Полная запечатка","Материал: смесовая ткань
Размер: 30х40х5 см
Упаковка: ОРР пакет
Примечание от фабрики: настройка цвета в соответствии с картой цветов", Дизайн: цифровая печать ,,"7,8","807,8",60-65,,,,"17 700,00",10,20-22,
,Зонт,"Материал: полиэстер
Размер: 21 дюйм, 8 спиц
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета в соответствии с картой цветов"," Дизайн: логотип, проявляющийся от воды",,"11,1","1177,0",60-65,,,,"27 950,00",7,17-19,
