,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.) АВИА:,Цена за шт. (руб.) АВИА:,Цена за шт. ($.) ЖД:,Цена за шт. (руб.) ЖД:,Срок тиража АВИА,Срок тиража ЖД,Образец ,Срок образца,Доп. фото
,рюкзак,,100,"22,779","2027,32","20,286","1805,41",40-45,50-55,12000,25 дней (фото / видео 10-15 дней),
,,,300,"22,363","1990,31","19,870","1768,40",,,,,
,,,500,"22,049","1962,36","19,556","1740,46",,,,,
,,,1000,"21,741","1934,98","19,248","1713,08",,,,,
,стеганный плед,,1000,"27,548","2451,79","22,372","1991,08",45-50,55-60,15000,22 дня (фото / видео 7-10 дней),
,,,1500,"27,398","2438,38","22,221","1977,68",,,,,
,,,3000,"26,446","2353,65","21,421","1906,50",,,,,
,рюкзак,"подклад 135 гр, стальной карабин
Рюкзак стёганный. Основной материал  100% пэ, плотность от 100 г/м2 с PU или  PVC  и WR покрытием  для влагозащиты и грязеооталкивающими свойствами. Прокладочный малериал - синтепон из переработанного  pet пластика (или аналог), плотность около 100 гр/м2. Рюкзак с отделением для ноутбука или планшета. Два внутренних кармана: для мелочей и усиленный карман для ноутбука (25*25 см), два внешних боковых кармана для бутылки воды или зонта. Лямки и спинка усиленные. Центральная застежка на реверсную молнию, слайдер металлический в цвет молнии, пуллер шнур с термоусалкой брендированный. Брендирование ПВХ логотипом соглано макету. Лямки рюкзака с регулировкой, Цвет изделия: согласно цветовой карте сезона. Упаковка: индивидуальный пакет. Навеска: картонный хантег с лого и штрих-кодом.

Размер: 30*40*12 см",1000,"36,900","3284,12","33,047","2941,17",55-60,65-70,15000,22 дня (фото / видео 7-10 дней),
,,,1500,"36,605","3257,87","32,752","2914,93",,,,,
,,,3000,"35,242","3136,58","31,502","2803,72",,,,,
,рюкзак,"подклад 230 гр, стальной карабин
Рюкзак стёганный. Основной материал  100% пэ, плотность от 100 г/м2 с PU или  PVC  и WR покрытием  для влагозащиты и грязеооталкивающими свойствами. Прокладочный малериал - синтепон из переработанного  pet пластика (или аналог), плотность около 100 гр/м2. Рюкзак с отделением для ноутбука или планшета. Два внутренних кармана: для мелочей и усиленный карман для ноутбука (25*25 см), два внешних боковых кармана для бутылки воды или зонта. Лямки и спинка усиленные. Центральная застежка на реверсную молнию, слайдер металлический в цвет молнии, пуллер шнур с термоусалкой брендированный. Брендирование ПВХ логотипом соглано макету. Лямки рюкзака с регулировкой, Цвет изделия: согласно цветовой карте сезона. Упаковка: индивидуальный пакет. Навеска: картонный хантег с лого и штрих-кодом.

Размер: 30*40*12 см",1000,"41,920","3730,86","38,261","3405,19",55-60,65-70,15000,22 дня (фото / видео 7-10 дней),
,,,1500,"41,625","3704,62","37,966","3378,94",,,,,
,,,3000,"40,114","3570,18","36,563","3254,09",,,,,
,чехол для ноутбука,,1000,"14,387","1280,43","13,083","1164,40",55-60,65-70,12000,22 дня (фото / видео 7-10 дней),
,,,1500,"14,211","1264,81","12,923","1150,14",,,,,
,,,3000,"14,086","1253,62","12,782","1137,59",,,,,
,коврик для йоги,,1000,"14,703","1308,53","11,056","984,00",45-50,55-60,20000,22 дня (фото / видео 7-10 дней),
,,,1500,"14,264","1269,50","10,725","954,50",,,,,
,,,3000,"13,826","1230,49","10,394","925,05",,,,,
,футболка,,1000,"15,117","1345,42","14,473","1288,11",45-50,55-60,13000,22 дня (фото / видео 7-10 дней),
,,,1500,"14,429","1284,15","13,785","1226,83",,,,,
,,,3000,"13,052","1161,60","12,408","1104,28",,,,,
,свитшот,,1000,"35,151","3128,44","32,564","2898,18",45-50,55-60,13000,22 дня (фото / видео 7-10 дней),
,,,1500,"34,905","3106,59","32,318","2876,33",,,,,
,,,3000,"34,415","3062,89","31,827","2832,63",,,,,
,свитшот,,1000,"33,963","3022,70","31,376","2792,44",45-50,55-60,13000,22 дня (фото / видео 7-10 дней),
,,,1500,"33,717","3000,85","31,130","2770,59",,,,,
,,,3000,"33,226","2957,15","30,639","2726,89",,,,,
