,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Карман для бейджа,"Материал: ПВХ
Размер: 6.2 х 10.1 см
Упаковка: индивидуальный пакет
", Дизайн: сток,100,"0,8","67,7",35-40,"0,8","71,9",25-30,1 980,3,13-15,
,,,,200,"0,7","59,2",,"0,7","63,4",,,,,
,,,,500,"0,6","54,1",40-45,"0,7","58,3",30-35,,,,
,,,,1000,"0,6","49,8",,"0,6","54,0",,,,,
,,,,2000,"0,5","43,6",,"0,5","47,9",,,,,
,,,,5000,"0,5","43,1",,"0,5","47,3",,,,,
 ,Ланъярд,"Материал: полиэстер
Размер: 90 х 2.5 см
Упаковка: индивидуальный пакет
Фурнитура: поворотный карабин, серебристый

*цены могут быть уточнены после производства образца", Дизайн: термотрансфер (градиент),100,"1,1","96,5",35-40,"1,2","107,2",25-30,1 980,3,13-15,
,,,,200,"1,0","86,1",,"1,1","96,8",,,,,
,,,,500,"0,9","76,5",,"1,0","87,2",,,,,
,,,,1000,"0,8","70,4",,"0,9","81,1",,,,,
,,,,2000,"0,7","64,6",,"0,8","75,3",,,,,
 ,Карман для бейджа,"Материал: акрил
Размер: 7.3 х 9.6 см
Упаковка: индивидуальный пакет
", Дизайн: сток,100,"0,7","63,5",30-35,"0,8","68,2",20-25,1 860,3,13-15,
,,,,200,"0,6","55,0",,"0,7","59,7",,,,,
,,,,500,"0,6","49,9",,"0,6","54,6",,,,,
,,,,1000,"0,5","48,2",,"0,6","52,9",,,,,
,,,,2000,"0,5","44,7",,"0,6","49,4",,,,,
,,,,5000,"0,5","44,2",,"0,5","48,9",,,,,
 ,Карман для бейджа,"Материал: PC
Размер: 7.3 х 9.6 см
Упаковка: индивидуальный пакет
", Дизайн: сток,100,"0,9","80,6",30-35,"1,0","86,1",20-25,1 780,3,13-15,
,,,,200,"0,8","72,1",,"0,9","77,6",,,,,
,,,,500,"0,7","67,0",,"0,8","72,5",,,,,
,,,,1000,"0,7","60,1",,"0,7","65,6",,,,,
,,,,2000,"0,7","59,2",,"0,7","64,7",,,,,
,,,,5000,"0,7","58,7",,"0,7","64,2",,,,,
