,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: акрил
Размер: 5*2,5*0,2см
Упаковка: OPP пакет
Примечание от фабрики: каникулы до 10.02", Дизайн: тампопечать лого 1 цвет,200 000,"1,1","116,0",60-65,"1,2","127,0",50-55,7 900,7,17-19,
,Блокнот,"Материал: картон, бумага
Размер: А6
Упаковка: OPP пакет
80 листов, пружина
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов"," Дизайн: лого на обложке, кастомизация внутренних страниц",1000,"5,5","603,0",65-70,"7,0","775,0",55-60,18 900,10,20-22,
,Блокнот,"Материал: картон, бумага
Размер: А5
Упаковка: OPP пакет
80 листов, пружина
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов"," Дизайн: лого на обложке, кастомизация внутренних страниц",500,"6,2","680,0",65-70,"7,7","852,0",55-60,18 900,10,20-22,
,Термокружка,"Материал: нержавеющая сталь 201
Размер: 18,8*7см
Объем: 450мл
Цвет: синий
Упаковка: белая коробка ", Дизайн: шелкография 2 цвета,1500,"5,0","541,0",50-55,,,,8 800,10,20-22,
,Термокружка,"Материал: нержавеющая сталь 201
Размер: 18,8*7см
Объем: 450мл
Цвет: белый
Упаковка: белая коробка ", Дизайн: шелкография 1 цвет,1500,"5,0","535,0",50-55,,,,,,10-12,
,Антисептик-спрей,"Материал: пластик, спиртосодержащий раствор
Размер: 50 мл
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов", Дизайн: шелкография в один цвет или наклейка,1500,"2,5","273,9",50-55,,,,17 200,7,17-19,
,Кубарик,"Материал: бумага
Размер: 75x75 мм, 100 листов в наборе
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов"," Дизайн: печать логотипа на каждом листе, брендированная коробка",2000,"0,9","101,0",50-55,,,,11 200,5,15-17,
,Флешка,"Материал: пластик
Емкость: 16 ГБ
Упаковка: прозрачный пакет
Примечание от фабрики: две модели, цена одинаковая", Дизайн: шелкография в один цвет либо лазерная гравировка,1500,"3,6","367,3",45-50,,,,5 200,5,15-17,
,Антистресс Шар,"Материал: PU
Размер: 7 см
Упаковка: прозрачный пакет
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов", Дизайн: тампопечать в один цвет,1000,"1,0","109,9",50-55,,,,11 200,7,17-19,
