,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото,,
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",,,
 ,Ретрактор,"Материал: металл, пластик
Диаметр: 3 см
Упаковка: заводская упаковка", Дизайн: лазерная гравировка,1000,"1,5","155,7",50-55 кд,,,,"7 000,00","7-9 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Ретрактор,"Материал: металл, пластик
Диаметр: 3 см
Упаковка: заводская упаковка

Круглый ретрактор с зажимом сзади. 
Открытие формы включено в стоимость образца.", Дизайн: лазерная гравировка,1000,"1,5","158,6",50-55 кд,,,,"50 000,00","13-15 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Ланъярд,"Материал: полиэстер
Размер: 900*20 мм
Упаковка: заводская упаковка", Дизайн: термотрансферная печать с двух сторон,1000,"0,9","96,6",50-55 кд,,,,"3 500,00","7-9 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Кармашек с покрытием софт тач,"Материал: пластик, силикон
Размер: 11*7 см
Упаковка: заводская упаковка", Дизайн: шелкография,1000,"1,5","149,8",45-50 кд,,,,"10 000,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Прозрачный кармашек ,"Материал: пвх
Размер: 110*150 мм
Упаковка: заводская упаковка

Кармашек под изготовление (размер можно поменять, но цена может измениться).

Открытие формы включено в стоимость образца.", Дизайн: изготовление по макету клиента,1000,"0,5","52,6",50-55 кд,,,,"10 000,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/692763956407.html?spm=a26352.13672862.offerlist.36.35c71e62NkFpms&cosite=-&tracelog=p4p&_p_isad=1&clickid=b6e1daf898ec438ea23cc94108b35863&sessionid=707508aebd2cd33876cb825044cb1f12,
 ,Прозрачный кармашек ,"Материал: пвх
Размер: 150x105 мм
Внутренний размер: 132*98 мм
Упаковка: заводская упаковка

Размеры в доп фото. По наличию необходимо уточнять.

", Дизайн: сток,1000,"0,4","45,3",32-37 кд,,,,"2 000,00","3-5 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/692763956407.html?spm=a26352.13672862.offerlist.36.35c71e62NkFpms&cosite=-&tracelog=p4p&_p_isad=1&clickid=b6e1daf898ec438ea23cc94108b35863&sessionid=707508aebd2cd33876cb825044cb1f12,
 ,Ланъярд+ретрактор с зажимом+кармашек софт тач ,"Материал: металл, пластик, полиэстер, силикон
Размер ланъярда: 900*20 мм
Диаметр ретрактора: 3 см
Размер кармашка: 11*7 см
Упаковка: заводская упаковка

"," Дизайн: термотрансферная печать с двух сторон на ланъярде, лазерная гравировка на ретракторе, шелкография на кармашке",1000,"4,5","465,3",55-60 кд,,,,"60 000,00","15-18 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Ланъярд+ретрактор с зажимом+прозрачный кармашек под изготовление,"Материал: металл, пластик, полиэстер, пвх
Размер ланъярда: 900*20 мм
Диаметр ретрактора: 3 см
Размер кармашка: 110*150 мм
Упаковка: заводская упаковка

"," Дизайн: термотрансферная печать с двух сторон на ланъярде, лазерная гравировка на ретракторе, прозрачный кармашек по макету клиента",1000,"3,7","377,4",55-60 кд,,,,"60 000,00","15-18 кд фото и видео

12-14 кд доставка в Мск",,,
 ,Тетрадь на кольцах,"Материал: бумага, металл
Размер: 21X14（A5）
Упаковка: заводская упаковка

Покрытие софт тач.
48 страниц в линейку, молочного цвета."," Дизайн: печать на обложке, черная печать на каждой странице снизу",1000,"2,7","288,8",45-50 кд,,,,"9 000,00","7-9 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/718619045354.html?spm=a26352.b28411319.offerlist.5.27c11e62l4g4kx,
 ,Тетрадь,"Материал: бумага
Размер: 21X14（A5）
Упаковка: заводская упаковка

24 страницы в линейку, молочного цвета."," Дизайн: печать на обложке, черная печать на каждой странице снизу",1000,"1,7","173,4",45-50 кд,,,,"8 000,00","7-9 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/732988377073.html?spm=a26352.13672862.offerlist.167.2db51e62Pw03ii,
 ,вечный карандаш,"Материал: алюминиевый сплав
Размер: 14,5 см
Упаковка: OPP-пакетик
Комментарии от фабрики: в комплекте 5 доп наконечников", Дизайн: нанесение гравировкой лого с одной стороны,1000,"2,0","204,4",49-59 кд,,,,"4 900,00",6-8 кд (фото и видео); 12-14 кд (доставка в Москву),,,
 ,ручка,"Материал: алюминиевый сплав
Размер: примерно 14,5 см
Упаковка: OPP-пакетик
Примечание от фабрики: могут сделать синие или черные чернила", Дизайн: нанесение гравировкой лого с одной стороны,1000,"1,0","99,3",49-59 кд,,,,"4 900,00",6-8 кд (фото и видео); 12-14 кд (доставка в Москву),,,
 ,коробка подарочная для ручки и вечного карандаша,"Материал: картон, ложемент ЭВА
Размер: примерно 17см*2см*3  см
Упаковка: заводская упаковка
Примечание от фабрики: ложемент ЭВА, специальные места для ручек"," Дизайн: нанесение многоцветного лого на коробку, могут подобрать цвет коробки ",1000,"6,4","679,9",53-63 кд,,,,"22 500,00",6-8 кд (фото и видео); 12-14 кд (доставка в Москву),,https://detail.1688.com/offer/815168459103.html?spm=a26352.b28411319.offerlist.17.59721e62YP6tCG&cosite=-&tracelog=p4p&_p_isad=1&clickid=3f619d57ffa24a649b96b3e3c1a1547e&sessionid=ac3cc388a5ba1b698d8a2999cae081e3,
 ,набор коробка+ручка+вечный карандаш,"Материал: картон, ложемент ЭВА, металл, алдюминиевый сплав
Размер: примерно 17см*2см*3  см
Упаковка: заводская упаковка
Примечание от фабрики: ложемент ЭВА, специальные места для ручек"," Дизайн: нанесение многоцветного лого на коробку, могут подобрать цвет коробки, нанесение гравировкой лого на ручку и вечный карандаш в одном месте",1000,"11,5","1214,7",55-65 кд,,,,"29 000,00",10-12 кд (фото и видео); 12-14 кд (доставка в Москву),,,
 ,папка для документов ,"Материал: кожзам
Размер ланъярда: 43.5*28.5*36.5 см
Упаковка: заводская упаковка
Комментарии от фабрики: папка для бумаг, 2 кармашка под визитки, кожзам мягкий, гладкий, листы кремового цвета с лого, 4 ушка для ручки, папка на магнитах как образец, смогут сделать по референсу с видео, нужна декларация соответствия, примерная стоимость 15000 рублей, не учтена в стоимости", Дизайн: лого на листы,1000,"20,8","2479,7",57-62 кд,,,,"25 000,00",7-9 кд (фото и видео); 12-14 кд (отправка в Москву),,https://detail.1688.com/offer/640136856264.html?spm=a261y.7663282.recommendOffer.4.6f3810a3Zp2HBl,
 ,папка для документов с беспроводной зарядкой,"Материал: кожзам, беспроводная зарядка на 8000 мА/ч
Размер ланъярда: 43.5*28.5*36.5 см
Упаковка: заводская упаковка
Комментарии от фабрики: папка для бумаг, 2 кармашка под визитки, кожзам мягкий, гладкий, листы кремового цвета с лого, 4 ушка для ручки, беспроводная зарядка на месте черной ткани образца, папка на магнитах как образец, в компекте шнурок для зарядки, нужна декларация соответствия, примерная стоимость 15000 рублей, не учтена в стоимости", Дизайн: лого на листы,1000,"37,1","4369,5",57-67 кд,,,,"24 000,00",11-13 кд (фото и видео); 12-14 кд (отправка в Москву),,https://detail.1688.com/offer/798977073268.html?spm=a2615.7691479.wp_pc_common_header_topoffer.0,https://detail.1688.com/offer/799386704886.html?spm=a2615.7691479.wp_pc_common_header_topoffer.0
 ,папка для документов с беспроводной зарядкой,"Материал: кожзам, беспроводная зарядка на 8000 мА/ч
Размер ланъярда: 43.5*28.5*36.5 см
Упаковка: заводская упаковка
Комментарии от фабрики: папка для бумаг, 2 кармашка под визитки, кожзам мягкий, гладкий, листы кремового цвета с лого, 4 ушка для ручки, беспроводная зарядка на месте черной ткани образца, папка на магнитах как образец, в компекте шнурок для зарядки, нужна декларация соответствия, примерная стоимость 15000 рублей, не учтена в стоимости"," Дизайн: 
2 вида логотипа, разбивка на тираж - 500 шт. каждого логотипа ",1000,"39,1","4519,5",57-67 кд,,,,"24 000,00",11-13 кд (фото и видео); 12-14 кд (отправка в Москву),,https://detail.1688.com/offer/798977073268.html?spm=a2615.7691479.wp_pc_common_header_topoffer.0,https://detail.1688.com/offer/799386704886.html?spm=a2615.7691479.wp_pc_common_header_topoffer.0
