,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,повербанк  ,"Материал: PC+ABS
Размер: 75*66.5*24.5mm
Упаковка: инд пакет
Примечание от фабрики: мощность - 10 000mah
", Дизайн: сток,300,"12,6","1074,5",30-35,"13,4","1138,1",20-25,"6 073,39",2,12-14,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,500,"12,5","1059,8",30-35,"13,2","1123,4",20-25,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,1000,"12,3","1045,6",35-40,"13,1","1109,2",25-30,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Дизайн: лого 1 цвет ,300,"12,7","1082,9",30-35,"13,5","1146,5",20-25,"6 073,39",3,13-15,
,,,,500,"12,6","1072,2",30-35,"13,4","1135,8",20-25,,,,
,,,,1000,"12,5","1058,1",35-40,"13,2","1121,7",25-30,,,,
,,,Дизайн: лого 3 цвета на все три вида тиража ,300,"12,7","1082,9",30-35,"13,5","1146,5",20-25,"6 073,39",5,15-17,
,,,,500,"12,6","1072,2",30-35,"13,4","1135,8",20-25,,,,
,,,,1000,"12,5","1058,1",35-40,"13,2","1121,7",25-30,,,,
,,,Дизайн: выкрас самого пауэра в цвет клиента,2000,"13,2","1123,1",40-45,"14,0","1193,0",30-35,"22 513,51",8,18-20,
,,,,,,,,,,,,,,
 ,повербанк  5000mah,"Материал: PC+ABS
Размер: 147х68х19 mm
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: сток,300,"6,9","587,3",30-35 ,"7,4","625,4",20-25,"4 760,59",5,15-17,
,,,,,,,,,,,,,,
,,,,500,"6,7","572,6",30-35 ,"7,2","610,7",20-25,,,,
,,,,,,,,,,,,,,
,,,,1000,"6,6","558,4",35-40,"7,0","596,6",25-30,,,,
,,,,3000,"6,3","532,4",35-40,"6,7","570,6",25-30,,,,
,,, Дизайн: лого 1 цвет ,300,"7,1","599,7",30-35 ,"7,5","637,9",20-25,,,,
,,,,,,,,,,,,,,
,,,,500,"6,9","585,0",30-35 ,"7,3","623,2",20-25,,,,
,,,,,,,,,,,,,,
,,,,1000,"6,7","570,9",35-40,"7,2","609,0",25-30,,,,
,,,,3000,"6,4","544,9",35-40,"6,9","583,0",25-30,,,,
,,,Дизайн: лого 3 цвет ,300,"7,4","624,6",35-40,"7,8","662,7",25-30,,,,
,,,,500,"7,0","597,4",35-40,"7,5","635,6",25-30,,,,
,,,,1000,"6,9","583,3",35-40,"7,3","621,5",25-30,,,,
,,,,3000,"6,6","557,3",35-40,"7,0","597,2",25-30,,,,
,,,Дизайн:  выкрас аккумулятора в 1 цвет ,1000,"8,3","707,6",40-45,"8,8","747,5",30-35,,,,
,,,,3000,"7,3","619,5",40-45,"7,8","659,4",3-45,,,,
,,,,,,,,,,,"5784,49 (сток)",2,10-12,
 ,Блютуз мышка ,"Материал: PC+ABS
Размер: 60х41х16 mm
Упаковка: коробка 
Примечание от фабрики:  функции - тачпад, лазерный указатель, диктофон", Дизайн: сток,300,"52,6","4467,2",40-45 ,"53,3","4530,8",30-35 ,,,,
,,,,,,,,,,,,,,
,,,,500,"52,3","4444,9",40-45 ,"53,0","4508,5",30-35 ,,,,
,,,,,,,,,,,,,,
,,,,1000,"52,1","4428,2",40-45,"52,8","4491,8",30-35,,,,
,,, Дизайн: лого 1 цвет ,300,"54,0","4591,5",40-45 ,"54,8","4655,1",30-35 ,,,,
,,,,,,,,,,,,,,
,,,,500,"53,8","4569,3",40-45 ,"54,5","4632,9",30-35,,,,
,,,,,,,,,,,,,,
,,,,1000,"53,6","4552,6",40-45 ,"54,3","4616,2",30-35,,,,
,,, Дизайн: лого 3 цвета ,300,"64,3","5461,9",40-45 ,"65,0","5525,4",30-35,,,,
,,,,,,,,,,,,,,
,,,,500,"64,0","5439,6",40-45 ,"64,7","5503,2",30-35,,,,
,,,,,,,,,,,,,,
,,,,1000,"63,8","5422,9",40-45 ,"64,6","5486,5",30-35,,,,
