,"Менеджер: 
Email: 
Телефон: ",,"Червоненко Светлана
sveta.ch@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Доставка Быстрое АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Картхолдер,"Материал: кожзам
Размер: 105*65 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: возможна частичная отгрузка, но минимально запускается станок на 200 шт для индивидуальной формы","Дизайн: 
- индивидуальный пошив
- выбор цвета материала из раскладки
- печать с 2 сторон 1 цвет",300,"3,3","277,2","83 151,00",30-35,"3,4","285,3","85 596,00",20-25,"4,0","339,8","101 934,00",15-17,9800 - 1 дизайн,5,15-17,
,,,,500,"3,1","259,2","129 600,00",,"3,2","267,4","133 675,00",,"3,8","321,8","160 900,00",,,,,
,,,,1000,"2,8","236,2","236 160,00",,"2,9","244,1","244 110,00",,"3,5","297,3","297 270,00",,,,,
 ,Картхолдер,"Материал: силикон
Размер: 111×69×5.5 мм
Упаковка: индвидуальный пакетик
Примечание от фабрики: невозможна частичная отгрузка, печать делается на линии за раз на всем тираже
Срок открытия формы не входит в срок производства тиража, при запуске без сигнального образца необходимо оплатить стоимость открытия формы и иметь ввиду срок ее изготовления","Дизайн: 
- индивидуальная форма
- печать с двух сторон согласно макету",1000,"2,6","220,4","220 430,00",35-40,"2,8","238,0","238 020,00",25-30,"4,4","366,0","366 030,00",20-22,"32000 - форма на форму, 11800 - форма на печать / 1 дизайн",10,20-22,
 ,Картхолдер,"Материал: акрил
Размер: 105*65 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: возможна частичная отгрузка","Дизайн: 
- запечатка с 2 сторон",300,"1,6","135,7","40 722,00",30-35,"1,7","146,0","43 785,00",20-25,"2,6","214,2","64 254,00",15-17,3800 - 1 дизайн,5,15-17,
,,,,500,"1,6","131,0","65 510,00",,"1,7","141,2","70 615,00",,"2,5","209,5","104 725,00",,,,,
,,,,1000,"1,5","126,9","126 860,00",,"1,6","137,1","137 070,00",,"2,4","205,3","205 300,00",,,,,
 ,Картхолдер,"Материал: кожзам
Размер: ок. 105*65 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: ","Дизайн: 
- индивидуальный пошив
- выбор цвета материала из раскладки
- печать с 2 сторон 1 цвет",300,"6,6","550,4","165 111,00",35-40,"6,7","558,5","167 556,00",25-30,"7,3","613,0","183 894,00",20-22,9 800,5,15-17,
,,,,500,"5,8","490,1","245 045,00",40-45,"5,9","498,0","249 020,00",30-35,"6,6","551,2","275 600,00",25-27,,,,
,,,,1000,"5,4","450,1","450 140,00",42-47,"5,5","457,7","457 700,00",32-37,"6,1","508,3","508 270,00",27-29,,,,
 ,Картхолдер,"Материал: силикон
Размер: 111×69×5.5 мм
Упаковка: индвидуальный пакетик
Примечание от фабрики: невозможна частичная отгрузка, печать делается на линии за раз на всем тираже","Дизайн: 
- индивидуальная форма согласно произведенному образцу
- два цвета по 500 шт.
- печать с двух сторон согласно макету",1000,"2,6","220,4","220 430,00",50-55,"2,8","238,0","238 020,00",40-45,"4,4","366,0","366 030,00",25-27,"32000 - форма на форму, 11800 - форма на печать / 1 дизайн",10,20-22,
