,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Бутылка 

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",7000,"4,2","375,4",50-55,,,,12 500,11,21-23,
 ,"Бутылка

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",7000,"4,0","363,3",50-55,,,,12 500,11,21-23,
,,,,,,,,,,,,,,
 ,"Бутылка

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"4,3","387,6",50-55,,,,12 500,11,21-23,
 ,"Бутылка

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"4,2","375,5",50-55,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",7000,"3,0","268,3",50-55,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",7000,"2,8","256,1",50-55,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"3,1","275,6",50-55,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"2,9","263,5",50-55,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: корпус чашки: ПК для пищевых продуктов,
уплотнительное кольцо: пищевой силикон, крышка для стакана: ПП+ПК для пищевых продуктов
Размер: 17*6 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, матовое покрытие, без ремувки

за ремувку к цене за единицу необходимо добавить 12,2 рублей

Стоимость сертификатов в стоимость за единицу не включена.", Дизайн: стоковый синий цвет+печать лого в 1 цвет,7000,"3,0","266,1",65-70,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: корпус чашки: ПК для пищевых продуктов,
уплотнительное кольцо: пищевой силикон, крышка для стакана: ПП+ПК для пищевых продуктов
Размер: 17*6 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, матовое покрытие, без ремувки

за ремувку к цене за единицу необходимо добавить 12,2 рублей

Стоимость сертификатов в стоимость за единицу не включена.", Дизайн: стоковый синий цвет+печать лого в 1 цвет,5200,"3,0","267,8",65-70,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: корпус чашки: ПК для пищевых продуктов,
уплотнительное кольцо: пищевой силикон, крышка для стакана: ПП+ПК для пищевых продуктов
Размер: 17*6 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, без ремувки

за ремувку к цене за единицу необходимо добавить 12,2 рублей

Стоимость сертификатов в стоимость за единицу не включена.", Дизайн: стоковый синий цвет+печать лого в 1 цвет,7000,"2,8","253,9",65-70,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: корпус чашки: ПК для пищевых продуктов,
уплотнительное кольцо: пищевой силикон, крышка для стакана: ПП+ПК для пищевых продуктов
Размер: 17*6 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, без ремувки

за ремувку к цене за единицу необходимо добавить 12,2 рублей

Стоимость сертификатов в стоимость за единицу не включена.", Дизайн: стоковый синий цвет+печать лого в 1 цвет,5200,"2,8","254,0",65-70,,,,12 500,11,21-23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
С выкрасом в пантон,,,,,,,,,,,,,,
 ,"Бутылка

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"4,3","392,4",55-60,,,,12 500,11,21-23,
 ,"Бутылка

560 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 23*6,5 см
Объём: 560 мл
Упаковка: заводская упаковка
Примечание от фабрики:  посчитана бутылка объемом 560 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"4,2","380,3",55-60,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, с ремувкой


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"3,1","280,5",55-60,,,,12 500,11,21-23,
 ,"Бутылка

400 мл","Материал: пищевой полипропилен, АС, силикон
Размер: 18*6,5 см
Объём: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: посчитана бутылка объемом 400 мл, прозрачная, без ремувки


Стоимость сертификатов в стоимость за единицу не включена.","Дизайн: выкрас бутылки как на визуале клиента, печать в 1 цвет
",5200,"3,0","268,3",55-60,,,,12 500,11,21-23,
