,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Открывашка,"Материал: нержавеющая сталь
Цвет: выкрас в пантон
Толщина: 0,2 мм
Размер: 8 х 4 см","Дизайн: выкрас корпуса с обеих сторон в пантон 387С, гравировка лого в сером цвете",500,"1,5","138,3",40-45 дней,"1,8","157,1",30-35 дней,13 500,17-19 дней,
,,,,,,,,,,,,,
 ,Перчатки 1,"Материал: полиэфирное волокно, спандекс
Размер: M, L, XL
Примечание от фабрики: сделают в светло-сером цвете по примеру цвета ткани на фото","Дизайн: брендирование на большом и указательном пальцах, жаккардовая бирка",500,"4,8","434,4",35-40 дней,"5,1","464,5",25-30 дней,13 000,15-17 дней,
,,,,,,,,,,,,,
,Перчатки 2,"Материал: полиэстер
Размер: one size
Примечание от фабрики: серый цвет (сток)","Дизайн: брендирование на большом и указательном пальцах, лого на месте лого фабрики",500,"6,4","588,4",45-50 дней,"7,4",672.5,35-40 дней,10 500,24-26 дней,
,,,,,,,,,,,,,
,Перчатки 3,"Материал: флис
Размер: S-XL
Примечание от фабрики: могут выкрасить в пантон","Дизайн: брендирование на большом и указательном пальцах, жаккардовая бирка",1000,"7,6","697,7",70-75 дней,"7,9","718,3",60-65 дней,26 500,20-22 дня,
,,,,,,,,,,,,,
,Бутылка,"Материал: алюминий
Размер: 500 мл, 20х7.1 см
Примечание от фабрики: крышка только черного цвета","Дизайн: термотрансфер, с двух сторон",100,"4,5","412,5",30-40 дней,"5,6","514,1",20-30 дней,4 320,15-20 дней,
,,,,300,"4,4","401,2",,"5,5","502,8",,,,
,,,,500,"4,3","398,9",,"5,4","500,5",,,,
,Бутылка,"Материал: алюминий 
Размер: 500 мл, 21х6.6 см 
Примечание от фабрики: крышка только черного цвета","Дизайн: гравировка, с двух сторон",500,"3,6","327,8",40-45 дней,"4,6","418,9",30-35 дней ,6 400,15-20 дней,
,Термос 1,"Материал: нержавеющая сталь
Размер: 600 мл
","Дизайн: корпус термоса - серебряный, выкрас кнопки в пантон, нанесение лого, выкрас ободка в пантон",100,"8,3","757,7",32-35 дней,"10,3","940,3",22-25 дней,12 500,17-19 дней,
,,,,300,"8,2","746,3",,"10,1","929,0",,,,
,,,,500,"8,1","744,1",,"10,1","926,7",,,,
,Термос 2,"Материал: нержавеющая сталь
Размер: 480 мл
","Дизайн: корпус термоса - серебряный, выкрас кнопки в пантон, нанесение лого",3000,"10,8","986,1",50-55 дней,"13,2","1214,5",40-45 дней,50 000,17-22 дня,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Термос 3,"Материал: нержавеющая сталь
Размер: 1000 мл
Примечание от фабрики: подходит для холодной и теплой воды","Дизайн: сток + аэрозольная краска, цвета: красный, синий, черный, зеленый",100,"5,0","454,7",35-40 дней,"6,1","553,7",25-30 дней,15 000,15-17 дней,
,,,,300,"4,9","443,4",,"6,0","542,3",,,,
,,,,500,"4,8","441,1",,"5,9","540,1",,,,
,Термос 4.1,"Материал: нержавеющая сталь
Размер: 1000 мл
Примечание от фабрики: подходит для холодной и теплой воды",Дизайн: сток,100,"4,9","443,4",35-40 дней,"6,1","557,6",25-30 дней,20 000,14-16 дней,
,,,,300,"4,6","421,5",,"5,9","535,7",,,,
,,,,500,"4,6","416,6",,"5,8","530,7",,,,
,Термос 4.2,"Материал: нержавеющая сталь
Размер: 1000 мл
Примечание от фабрики: подходит для холодной и теплой воды",Дизайн: сток + лого одного цвета,100,"7,7","708,9",35-40 дней,"9,0","823,1",25-30 дней,20 000,14-16 дней,
,,,,300,"5,9","538,3",,"7,1","652,5",,,,
,,,,500,"5,3","482,9",,"6,5","597,1",,,,
,Карабин 1,"Материал: алюминий
Размер: 50 х 24 мм
",Дизайн: сток,100,"0,4","35,2",30-35 дней,"0,4","36,7",20-25 дней,6 000,15-17 дней,
,,,,300,"0,3","23,8",,"0,3","25,4",,,,
,,,,500,"0,3","21,6",,"0,3","23,1",,,,
,Карабин 2,"Материал: сплав
Размер: 50 х 25 мм
",Дизайн: сток,100,"0,7","64,7",30-35 дней,"0,9","81,9",20-25 дней,5 000,14-16 дней,
,,,,300,"0,6","53,4",,"0,8","70,6",,,,
,,,,500,"0,6","51,1",,"0,8","68,3",,,,
,Карабин 3,"Материал: цинковый сплав
Размер: 43.6 х 21.9 мм
","Дизайн: сток, матовое покрытие",100,"1,0","92,3",32-37 дней,"1,2","110,0",27-32 дня,5 000,17-19 дней,
,,,,300,"0,9","81,0",,"1,1","98,2",,,,
,,,,500,"0,9","78,7",,"1,1","95,9",,,,
,Карабин 4,"Материал: алюминий
Размер:  85 х 50 мм
",Дизайн: цвет сток + возможность нанесения лого,100,"0,7","63,0",35-40 дней,"0,7","64,6",25-30 дней,9 500,20-22 дня,
,,,,300,"0,6","51,7",,"0,6","53,3",,,,
,,,,500,"0,6","49,4",,"0,6","51,0",,,,
,Карабин 5,"Материал: алюминий 
Размер: 60 х 33 х 6 мм
","Дизайн: выкрас замка в пантон, гравировка лого, матовое покрытие",5000,"0,6","47,8",50-55 дней,"0,6","51,3",40-45 дней,20 000,20-22 дня,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Карабин 6,"Материал: алюминий
Размер: 46 х 23.8 мм
","Дизайн: сток, матовое покрытие, лого фабричное на одной стороне, на обратной можно нанести свое",3000,"0,5","46,4",35-40 дней,"0,6","52,7",25-30 дней,10 000,13-15 дней,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Зонт ,"Материал: текстиль
Размер: 21 х 8 см
Примечание от фабрики: открывается вручную","Дизайн: цифровая печать верхнего элемента в пантон, выкрас в пантон ткань зонта + лого + жаккардовая бирка 3 х 3 см",100,"13,6","1247,1",40-45 дней,"16,2","1488,0",30-35 дней,12 000,13-15 дней,
,,,,,,,,,,,,,
,,,,300,"12,9","1182,7",,"15,5","1423,6",,,,
,,,,,,,,,,,,,
,,,,500,"12,6","1153,9",,"15,2","1394,8",,,,
