,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Солевая лампа-увлажнитель с камнями в комплекте,"Материал: АБС пластик
Размер диффузора: 185,5*234мм
Упаковка: Индивидуальная подарочная коробка по макету клиента
Примечание от фабрики: подарочную коробку можно сделать максимум 4 цвета, размер коробки 19,5*19,5*24см
Необходимо оформление ДС+СС (примерная стоимость 100 тыс. рублей) не входит в стоимость
В комплекте вилка по российскому стандарту"," Дизайн: Печать одноцветного логотипа клиента, кастомная коробка",500,"57,13","5 040,13 ₽",55-60,,,,21 800,13,23-25,
,,,,700,"54,40","4 798,98 ₽",55-60,,,,,,,
,,,,1000,"51,67","4 558,22 ₽",55-60,,,,,,,
 ,Солевая лампа-увлажнитель с камнями в комплекте,"Материал: АБС пластик
Размер диффузора: 154,2*154,2*180,7 мм
размер коробки 20,5*18*23см
Упаковка: Стандартная заводская коробка
Примечание от фабрики:
Необходимо оформление ДС+СС (примерная стоимость 100 тыс. рублей) не входит в стоимость
В комплекте вилка по российскому стандарту", Дизайн: Лазерная гравировка логотипа,500,"45,70","4 104,19 ₽",40-45,,,,14 500,5,15-17,
,,,,700,"44,30","3 898,98 ₽",40-45,,,,,,,
,,, Дизайн: Лазерная гравировка логотипа либо шелкография логотипа один цвет,1000,"43,14","3 796,37 ₽",40-45,,,,,,,
 ,Дженга,"Материал: Дерево
Размер брусочка: 7.5*2.5*1.5cm
Всего 48 брусочков.
Размер стандартной заводской упаковки: 8х8х25,5см
Примечание от фабрики:
", Дизайн: Шелкография логотипа один цвет.выкрас дженги в два цвета,500,"25,48","2 286,68 ₽",55-60,,,,37 000,14,24-26,
,,,,700,"24,21","2 172,34 ₽",55-60,,,,,,,
,,,,1000,"22,94","2 058,01 ₽",55-60,,,,,,,
