,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб "," Дизайн: по макету клиента, тканевая бирка",515000,"2,9","248,7",150-155,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб "," Дизайн: по макету клиента, ПВХ бирка",515000,"3,0","251,2",150-155,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",240000,"3,9","331,0",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",240000,"3,9","333,5",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",285000,"4,2","360,1",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,3","362,3",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",515000,"2,8","236,8",150-155,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",515000,"2,8","239,1",150-155,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",240000,"3,7","315,4",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",240000,"3,7","317,8",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",285000,"4,1","344,4",135-140,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,1","346,7",135-140,,,,6 500,18,28-30,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб "," Дизайн: по макету клиента, тканевая бирка",515000,"3,1","259,3",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб "," Дизайн: по макету клиента, ПВХ бирка",515000,"3,1","261,9",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",240000,"4,0","337,2",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",240000,"4,0","339,7",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",285000,"4,8","411,8",115-120,,,,6 500,18,28-30,
,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,9","414,1",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",515000,"3,0","252,1",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",515000,"3,0","254,5",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",240000,"3,1","262,6",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",240000,"3,1","265,2",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, тканевая бирка",285000,"4,8","406,1",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

Открытие формы и изготовление образца подвеса из пластика и металла - 150000 руб"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,8","408,5",115-120,,,,6 500,18,28-30,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ОТДЕЛЬНО КОСМЕТИЧКИ,,,,,,,,,,,,,,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

 "," Дизайн: по макету клиента, тканевая бирка",515000,"2,7","220,0",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 130x100x70 мм
Упаковка: опп пакет
Примечание от фабрики: 

 "," Дизайн: по макету клиента, ПВХ бирка",515000,"2,8","222,6",130-135,,,,6 500,18,28-30,
