,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.",
 ,Набор для вина с шахматами,"Материал: дерево (бамбук), металл (нержавеющая сталь)
Размер: 27 х 22.6 х 6.5 см
Упаковка: цветная коробка по макету клиента
Ложемент: ЭВА + бархатное покрытие
Примечание от фабрики: Состав набора: деревянные шахматы 32 шт, 
штопор-открывалка, кольцо-каплеуловитель 1 шт, термометр, лейка-аэратор с пробкой 1 шт, пробка стопор 2 шт, резак для фольги 1 шт, штопор-рычаг 1 шт, запасной винт 2 шт"," Дизайн: печать квадратного шахматного поля, печать лого, кастом ложемента, брендирование цветной коробки",200,"35,6","3024,5",40-45,"41,5","3529,4",30-35,
,,,,500,"32,9","2795,3",,"38,8","3300,2",,
,,"Материал: дерево (бамбук), металл (нержавеющая сталь)
Размер: 27 х 22.6 х 6.5 см
Упаковка:  белая коробка
Ложемент: стоковый, пена
Примечание от фабрики: Состав набора: деревянные шахматы 32 шт, 
штопор-открывалка, кольцо-каплеуловитель 1 шт, термометр, лейка-аэратор с пробкой 1 шт, пробка стопор 2 шт, резак для фольги 1 шт, штопор-рычаг 1 шт, запасной винт 2 шт"," Дизайн: печать квадратного шахматного поля, печать лого - шелкография


ложемент из ЭВА: +80 руб
цветная коробка по макету: +200 руб (зависит от макета)
квадратное поле: бесплатно",200,"32,3","2748,0",40-45,"38,3","3252,9",30-35,
,,," Дизайн: печать квадратного шахматного поля, печать лого - шелкография


ложемент из ЭВА: безоплатно
цветная коробка по макету: +80 руб (зависит от макета)
квадратное поле: бесплатно",500,"32,0","2716,3",,"37,9","3221,2",,
 ,Лампа,"Материал: дерево, акрил 
Размер: 75 х 90 х 90 мм
Упаковка: белая стоковая коробка 
Примечание от фабрики: подарочная коробка - плюс 50 руб. к стоимости позиции", Дизайн: лого (лазерная резьба по дереву),2000,20,"1737,5",65-70,"22,1","1932,2",55-60,
,,,,,"18,2","1570,6",80-85 (жд долгое),"20,2","1756,1",65-70 (авиа долгое),
,,Упаковка: белая стоковая коробка , Дизайн: лого (лазерная резьба по дереву),200,21,"1819,8",55-60,23,"2014,5",45-50,
,,,,,19,"1652,9",70-75 (долгое),"21,2","1838,3",55-60 (долгое),
