,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Чемодан,"Материал: пластик
Размер: 46*32*20см
Упаковка: прозрачный пакет, транспортная коробка, обрешетка
Цвет: см.фото 
Примечание от фабрики: на ребристой поверхности не будут держаться стикеры/патчи", Дизайн: УФ печать 1 цвет,50,"76,7","6523,0",40-45,,,,16 000,4,14-16,
,,,,100,"76,5","6506,0",40-45,,,,,,,
 ,Чемодан,"Материал: пластик
Размер: 55,5*34,2*21,3
Упаковка: прозрачный пакет, транспортная коробка, обрешетка
Цвет: см.фото ", Дизайн: УФ печать 1 цвет,50,"149,9","12745,0",40-45,,,,27 300,4,14-16,
,,,,100,"149,7","12728,0",40-45,,,,,,,
,Чемодан,"Материал: пластик
Размер: 57*35*21.5см
Упаковка: прозрачный пакет, транспортная коробка, обрешетка
Цвет: серебристый / черный", Дизайн: УФ печать 1 цвет,50,"83,5","7095,0",40-45,,,,20 200,4,14-16,
,,,,100,"83,3","7078,0",40-45,,,,,,,
 ,Стикерпак,"Материал: мелованная бумага
Размер: А5
Упаковка: без
Примечание от фабрики: цены указаны примерно, точные после предоставления макета", Дизайн: По макету клиента,100,"1,0","84,0",35-40,,,,3 800,4,14-16,
 ,Стикерпак,"Материал: ПВХ
Размер: А5
Упаковка: без
Примечание от фабрики: цены указаны примерно, точные после предоставления макета", Дизайн: По макету клиента,100,"1,1","91,0",35-40,,,,3 800,4,14-16,
 ,Патчи,"Материал: ПВХ / тканевые на клеевой основе
Размер: индивидуально
Упаковка: без
Примечание от фабрики: цены указаны примерно, точные после предоставления макета
MOQ 1000шт на 1 дизайн", Дизайн: По макету клиента,1000,"1,18-2,36",100-200,45-50,,,,14 400,10,20-22,
