,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Веер из шёлковой ткани,"Материал: шёлковая ткань и бамбук
Размер: в сложенном виде длина - 21 см, в развернутом - 37 см
Упаковка: индивидуальный пакет
Примечание от фабрики: деревянную часть веера можно сделать светло-коричневой, темно-коричневой или черной", Дизайн: нанесение рисунка на ткань с одной стороны,500,"3,8","322,6",45-50,"3,9","333,6",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"3,6","311,5",50-55,"3,8","322,1",40-45,,,,
,,,,1500,"3,5","301,5",55-60,"3,6","311,8",45-50,,,,
 ,Веер из искусственного шёлка,"Материал: искусственный шёлк и бамбук
Размер: в сложенном виде длина - 21 см, в развернутом - 37 см
Упаковка: индивидуальный пакет
Примечание от фабрики: деревянную часть веера можно сделать светло-коричневой, темно-коричневой или черной", Дизайн: нанесение рисунка на ткань с одной стороны,500,"4,2","361,2",45-50,"4,3","370,9",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"4,1","348,9",50-55,"4,2","358,3",40-45,,,,
,,,,1500,"3,9","337,8",55-60,"4,0","347,0",45-50,,,,
 ,Веер из хлопка,"Материал: хлопковая ткань и бамбук
Размер: в сложенном виде длина - 21 см, в развернутом - 37 см
Упаковка: индивидуальный пакет
Примечание от фабрики: деревянную часть веера можно сделать светло-коричневой, темно-коричневой или черной", Дизайн: нанесение рисунка на ткань с одной стороны,500,"4,8","410,9",45-50,"4,9","420,6",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"4,6","397,2",50-55,"4,7","406,6",40-45,,,,
,,,,1500,"4,5","384,6",55-60,"4,6","393,8",45-50,,,,
 ,Чехол для веера,"Материал: хлопок
Размер: 23,5 х 4 см
Упаковка: индивидуальный пакет
Примечание от фабрики: ", Дизайн: нанесение рисунка или лого на ткань,500,"1,1","91,7",45-50,"1,1","97,0",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"1,0","87,4",50-55,"1,1","92,5",40-45,,,,
,,,,1500,"1,0","84,2",55-60,"1,0","89,1",45-50,,,,
 ,Веер с чехлом,"Материал: шелк, хлопок и дерево
Размер: 23,5 х 4 см
Упаковка: чехол для веера
Примечание от фабрики: ", Дизайн: нанесение рисунка на веер с одной стороны и нанесение рисунка или лого на ткань на чехол,500,"4,8","414,3",45-50,"5,0","430,6",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"4,6","398,8",50-55,"4,8","414,6",40-45,,,,
,,,,1500,"4,5","385,7",55-60,"4,7","401,0",45-50,,,,
,Веер с чехлом,"Материал: искусственный шелк, хлопок и дерево
Размер: 23,5 х 4 см
Упаковка: чехол для веера
Примечание от фабрики: ", Дизайн: нанесение рисунка на веер с одной стороны и нанесение рисунка или лого на ткань на чехол,500,"5,3","452,9",45-50,"5,4","467,9",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"5,1","436,3",50-55,"5,2","450,8",40-45,,,,
,,,,1500,"4,9","422,0",55-60,"5,1","436,1",45-50,,,,
 ,Веер с чехлом,"Материал: хлопок и дерево
Размер: 23,5 х 4 см
Упаковка: чехол для веера
Примечание от фабрики: ", Дизайн: нанесение рисунка на веер с одной стороны и нанесение рисунка или лого на ткань на чехол,500,"5,9","502,6",45-50,"6,0","517,6",35-40,"Образец качества - 3000

сигнальный образец - 10000",7,17-19,
,,,,1000,"5,7","484,5",50-55,"5,8","499,1",40-45,,,,
,,,,1500,"5,5","468,8",55-60,"5,6","482,9",45-50,,,,
 ,Веер,"Материал: хлопковая ткань и бамбук
Размер: в сложенном виде длина - 16,5 см, в развернутом - 29 см
Упаковка: индивидуальный ОРР пакет
Примечание от фабрики: Хлопковый чехол для веера включен в стоимость"," Дизайн: Гравировка логотипа клиента на деревянной части, выкрас веера в соответсвии с цветовоц палитрой Pantone, индивидкальный дизайн чехла для веера",500,"4,5","388,2",50-55,"4,7","408,1",40-45,17500 (Сигнальный образец),12,22-24,
,,,,1000,"4,0","345,2",50-55,"4,2","365,1",40-45,,,,
,,,,1500,"3,7","321,1",55-60,"3,9","341,1",45-50,,,,
