,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Таблетница,"Материал: PS+PP пластик
Размер: 6.5×6.5×2.3cm
Упаковка: Картонная коробка для каждой единицы товара
"," Дизайн: Выбор цвета из заводской палитры, нанесение одноцветного логотипа методом шелкографии",4000,"1,11","100,40 ₽",45-50,"1,26","114,71 ₽",35-40,4 600,7,17-19,
,,,,6000,"1,02","92,06 ₽",45-50,"1,17","106,36 ₽",35-40,,,,
,,,,8000,"0,96","87,30 ₽",45-50,"1,11","101,60 ₽",35-40,,,,
 ,Таблетница,"Материал: PS+PP пластик
Размер: 8×8×2.4cm
Упаковка: Картонная коробка для каждой единицы товара
"," Дизайн: Выбор цвета из заводской палитры, нанесение многоцветного логотипа методом шелкографии",4000,"3,20","287,48 ₽",55-60,"3,55","321,87 ₽",45-50,9 300,5,15-17,
,,,,6000,"3,14","282,66 ₽",55-60,"3,50","317,04 ₽",45-50,,,,
,,,,8000,"3,06","275,55 ₽",55-60,"3,42","309,94 ₽",45-50,,,,
 ,Таблетница,"Материал: Полипропилен
Размер: 6*4*1.3cm
Упаковка: OPP пакет
"," Дизайн: Выбор цвета из заводской палитры, печать логотипа один цвет",4000,"0,36","50,00 ₽",55-60,"0,41","37,39 ₽",45-50,5 300,9,19-21,
,,,,6000,"0,34","40,60 ₽",55-60,"0,39","35,71 ₽",45-50,,,,
,,,,8000,"0,32","29,00 ₽",55-60,"0,37","34,11 ₽",45-50,,,,
 ,Таблетница,"Материал: Силикон, ABS пластик
Размер: 14*3,6*1,6см
Упаковка: стандартная заводская картонная коробка для каждого изделия
Примечание от фабрики: Минимальный тираж для кастомизации коробки-5000 штук", Дизайн: Нанесение логотипа клиента тампопечатью один цвет,4000,"1,41","123,41 ₽",50-55,"1,61","142,49 ₽",40-45,13 400,5,15-17,
,,,,6000,"1,34","117,23 ₽",50-55,"1,53","135,75 ₽",40-45,,,,
,,,,8000,"1,27","111,34 ₽",55-60,"1,46","129,29 ₽",45-50,,,,
 ,Таблетница,"Материал: ABS пластик
Размер: 12*4,3*1,6см
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Нанесение логотипа клиента шелкографией многоцвет,4000,"1,56","136,27 ₽",50-55,"1,76","154,43 ₽",40-45,13 400,9,19-21,
,,,,6000,"1,49","129,71 ₽",50-55,"1,67","147,34 ₽",40-45,,,,
,,,,8000,"1,41","123,37 ₽",55-60,"1,59","140,47 ₽",40-45,,,,
 ,Таблетница,"Материал: ABS, силикон
Размер: 9,5*6*2см
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Нанесение логотипа клиента шелкографией многоцвет,4000,"1,44","133,51 ₽",50-55,"1,63","150,46 ₽",40-45,24 400,9,19-21,
,,,,6000,"1,37","128,39 ₽",50-55,"1,52","145,35 ₽",40-45,,,,
,,,,8000,"1,27","123,35 ₽",50-55,"1,42","140,30 ₽",40-45,,,,
 ,Таблетница,"Материал: ABS, силикон
Размер: 9,5*6*2см
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Нанесение логотипа клиента шелкографией многоцвет,4000,"1,94","171,88 ₽",50-55,"2,33","208,97 ₽",40-45,24 400,9,19-21,
,,,,6000,"1,85","164,27 ₽",50-55,"2,21","197,86 ₽",40-45,,,,
,,,,8000,"1,74","154,55 ₽",50-55,"2,08","187,11 ₽",40-45,,,,
