,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Док станция,"Материал: пластик
Размер: 11.4 х 10.4 х 4 см
Упаковка: индивидуальная коробка
Фабрика работает: с 10.02", Дизайн: сток,100,"11,0","1128,1",30-35,"11,9","1225,1",20-25,2 930,2,12-14,
,,," Дизайн: печать лого 2+0, шелкография",100,"13,3","1365,8",40-45,"14,2","1462,9",30-35,14 640,7,17-19,
 ,Кофер,"Материал: нержавеющая сталь
Размер: 400 мл, 153 х 63 х 83 мм
Упаковка: индивидуальная коробка
Примечание от фабрики: функция смешивания, емкость батареи 400 мАч, зарядка от type-C
Фабрика работает: с 10.02", Дизайн: сток,100,"9,9","1019,1",30-35,"11,5","1179,6",20-25,3 420,2,12-14,
,,," Дизайн: печать лого 2+0, шелкография",100,"10,2","1048,8",40-45,"11,7","1209,4",30-35,7 770,7,17-19,
 ,Зонт,"Материал: эпонж, стеклопластик, металл 
Размер: диаметр купола 115 см, 31 х 7 см в сложенном виде
Упаковка: чехол в цвет основного материала
Примечание от фабрики: 16 спиц, автомат
Фабрика работает: с 08.02"," Дизайн: печать 1+0, глянец",300,"15,1","1557,6",40-45,"17,3","1779,5",30-35,10 860,8,18-20,
 ,Док станция,"Материал: пластик
Размер: 88 х 80 х 23 мм
Упаковка: индивидуальная коробка
Примечания: беспроводная зарядка для 3 устройств", Дизайн: сток,3000,"21,5","1936,1",60-65,"22,1","1988,6",50-55,3 670,7,17-19,
,,," Дизайн: печать лого 2+0, шелкография",3000,"21,8","1962,4",,"22,4","2014,9",,9 510,,,
 ,Док станция,"Материал: пластик
Размер: 58 х 58 х 29 мм
Упаковка: индивидуальная коробка
Примечания: беспроводная зарядка для 3 устройств", Дизайн: сток,3000,"21,7","1948,1",60-65,"22,5","2028,1",50-55,3 910,7,17-19,
,,," Дизайн: печать лого 2+0, шелкография",3000,"21,9","1974,4",,"22,8","2054,4",,9 760,,,
 ,Док станция,"Материал: пластик, алюминий
Размер: 98.3 х 24.7 х 95.8 мм
Упаковка: индивидуальная коробка
Примечания: беспроводная зарядка для 3 устройств", Дизайн: лазерная гравировка логотипа,100,"28,1","2532,6",35-40,"29,4","2643,7",25-30,4 440,7,17-19,
,,,,300,"27,7","2494,9",,"29,0","2606,0",,,,,
