,"Менеджер: 
Email: 
Телефон: ",,"Гуляева Мария
mariag@megamind.ru
",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка АВИА,,,,Образец,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.",
,Ежедневник ,"Материал: Бумага 
Размер: 148*210 мм
Упаковка: Заводская упаковка 
Примечание от фабрики: 
Кол-во листов - 48, горизонтальная разлиновка ","Дизайн: доступные цвета см. доп фото, логотип 2 цвета ",500,"21,4","1928,4","964 210,00",30-35,10 000,12,
,,,,1000,"20,8","1877,6","1 877 580,00",30-35,,,
 ,Ежедневник ,"Материал: Бумага 
Размер: 150*220 мм
Упаковка: Заводская упаковка 
Примечание от фабрики: 
Кол-во листов - 48, горизонтальная разлиновка ","Дизайн: доступные цвета см. доп фото, логотип 2 цвета ",500,"21,2","1862,9","931 430,00",30-35,24 000,9,
,,,,1000,"19,4","1713,7","1 713 720,00",30-35,,,
 ,Ежедневник ,"Материал: Бумага 
Размер: 142*210 мм
Упаковка: Заводская упаковка 
Примечание от фабрики: 
Кол-во листов - 48, горизонтальная разлиновка ","Дизайн: доступные цвета см. доп фото, логотип 2 цвета ",500,"19,8","1746,1","873 070,00",30-35,24 000,9,
,,,,1000,"19,2","1695,3","1 695 290,00",30-35,,,
 ,Шоппер,"Материал: Хлопок 
Размер: 22*28 см 
Упаковка: Заводская упаковка
Примечание от фабрики: 
","Дизайн: доступные цвета см. доп фото, печать логотипа 2 цвета ",500,"9,2","771,2","385 575,00",35-40,10 000,13,
,,,,1000,"8,9","744,9","744 870,00",35-40,,,
 ,Шоппер,"Материал: Хлопок 
Размер: 30*13*27 см 
Упаковка: Заводская упаковка 
Примечание от фабрики: 

Цена ориентировочная, зависит от точного выбора цвета. 

Раскладка цветов предоставляется по конкретному запросу, например ""розовая палитра""","Дизайн: выкрас в цвета из каталога фабрики (примеры из синей и серой палитры см. доп. фото), печать логотипа 2 цвета ",500,"10,1","912,8","456 380,00",35-40,10 000,12,
,,,,1000,"9,7","886,5","886 480,00",35-40,,,
 ,Ежедневник ,"Материал: искусствененая кожа, бумага 
Размер: 148*210 мм
Упаковка: заводская упаковка 
Примечание от фабрики: 
Кол-во листов - 100","Дизайн: доступные цвета см. доп фото, тиснение логоитипа на ремешке (как на фото товара)",500,"13,2","1991,2","995 590,00",35-40,6 000,13,
,,,,1000,"12,9","1164,9","1 164 910,00",35-40,,,
 ,Подставка для телефона ,"Материал: металл 
Размер: 
Диаметр - 58 мм
Ширина - 4 мм
Упаковка: Заводская упаковка 
Примечание от фабрики: ","Дизайн: доступные цвета см. доп фото, нанесение логотипа (лазерная гравировка)",,"8,2","703,1","0,00",30-35,6 000,5,
,,,,,"7,6","652,2","0,00",30-35,,,
 ,Складной шоппер,"Материал: Полиэстер, абс пластик
Размер: 9*3,7см в сложенном виде, 33*40*10см в состоянии сумки
Упаковка: ОРР пакет
Примечание от фабрики: Настройка цвета невозможна","Дизайн: Нанесение логотипа на сумку, а также на ремувку",500,"5,35","476,46 ₽","238 230,35",35-40,8 900,7,
,,,,1000,"5,02","446,83 ₽","446 833,60",35-40,,,
 ,Шоппер-плед,"Материал: Полиестер, тайвак
Размер: 105*140 см
Упаковка: OPP пакет
Примечание от фабрики: возможно сделать любой другой размер, добавить мягкий слой"," Дизайн: Полноцветная запечатка кармана, выбор цвета из цветовой палитры фабрики, нансение логотипа клиента",500,"20,44","1 777,27 ₽","888 636,75",40-45,24 000,12,
,,,,1000,"19,22","1 671,13 ₽","1 671 128,00",40-45,,,
 ,Складной плед,"Материал: водонепроницаемая ткань Оксфорд
Размер: 150*100 см
Упаковка: OPP пакет
Примечание от фабрики: есть другие размеры: 150*180cm, 150*200cm, 195*200cm, 150*80cm, 50*50cm, 150*130cm"," Дизайн: Выбор цвета основной ткани. цвета верхней части и цвета обметки  из цветовой палитры фабрики, есть цвет, близкий к цвету клиента по брендбуку, печать логотипа клиента на верхней части один цвет",500,"21,66","1 962,64 ₽","981 317,92",35-40,10 400,7,
,,,,1000,"20,10","1 822,46 ₽","1 822 458,67",35-40,,,
 ,Термобутылка,"Материал: нержавеющая сталь
Объем: 550мл 
Упаковка: заводская",Дизайн: гравировка или шелкография логотипа,500,"15,4","1295,4","647 700,00",30-35,4 200,7,
,,,,1000,"15,0","1256,7","1 256 700,00",30-35,,,
 ,Вечный карандаш,"Материал: металл
Размер: 15,6*0,8см
Упаковка: OPP пакет",Дизайн: гравировка лого или круговая гравировка паттерна,500,"3,0","255,4","127 700,00",30-35,4 200,6,
,,,,1000,"2,9","242,0","242 000,00",30-35,,,
 ,Зарядный кабель- ланъярд 120см 60W,"Материал: Цинковый сплав,  полиэстер
Размер: 120 или 30 см в длину
Упаковка: ОРР пакет
Примечание от фабрики: Возможны раъемы Lightning и TypeC
Выкрас от 1000 штук (вариант 120см), 3000 штук (вариант 30см)","Дизайн: Гравировка логотипа на наконечнике, выкрас (от 1000 штук)",500,"8,52","747,57 ₽","373 783,50",35-40,9 400,14,
,,,,1000,"7,56","662,90 ₽","662 904,00",35-40,,,
 ,Сумка с отделением для бутылки,"Материал: полиэстер
Размер: 10*9*21см
Упаковка: ОРР пакет
Примечание от фабрики:","Дизайн: Выкрас сумки, шелкография логотипа 2 цвета",500,"10,80","935,86 ₽","467 932,08",40-45,7 400,12,
,,,,1000,"10,17","880,81 ₽","880 813,33",40-45,,,
 ,Коффер,"Материал: Нержавеющая сталь 304
Размер: 350мл
Упаковка: белая картонная коробка
Примечание от фабрики: ", Дизайн: Полноцветная запечатка по макету клиента,500,"22,91","2 070,42 ₽","1 035 208,39",40-45,10 400,10,
,,,,1000,"21,27","1 923,90 ₽","1 923 899,56",40-45,,,
