,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
,Мини-сумка через плечо ,"Материал: 100% нейлон
Размер: 18 × 11 × 4 см
Упаковка:  индивидуальный пакет 
Нанесение на сумку - УФ 
Нанесение на стропу - сублимация ",2000,"10,5","969,5",55-60,"11,41","1050,16",45-50,16 000,18-20 ,
,,,3000,"10,01","920,6",55-60,"10,86","999,29",45-50,,,
,,,5000,"9,61","884,03",65-70,"10,45","961,76",55-60,,,
,,,10000,"8,75","805,21",75-80,"9,54","878,07",65-70,,,
,Брелок ,"Шнурок 10см в сложенном виде.
Плаксиглас навес  10*3 см 
Металл навес 3,5*3,5 см 
Упаковка инд пакетик 


Цены ориентировочные, подтвердим после образцов 
",2000,"3,4","313,5",55-60,"3,63","334,16",45-50,"4500 - образец вервеки 
5500 - образец акриловой части
8500 - шильд ",17-22,
,,,3000,"3,24","298,49",55-60,"3,46","318,16",45-50,,,
,,,5000,"3,07","282,1",60-65,"3,28","301,53",50-55,,,
,,,10000,"2,82","259,63",60-65,"3,02","277,85",50-55,,,
,Брелок ,"Шнурок 10см в сложенном виде.
Акриловый навес 10*3 см 
Металл навес 3,5*3,5 см 
Упаковка инд пакетик 

Цены ориентировочные, подтвердим после образцов 
",2000,"3,1","287,0",55-60,"3,34","307,61",45-50,"4500 - образец вервеки 
5500 - образец акриловой части
8500 - шильд ",17-22,
,,,3000,"2,91","268,13",55-60,"3,13","287,81",45-50,,,
,,,5000,"2,79","257,11",60-65,"3,01","276,54",50-55,,,
,,,10000,"2,57","236,21",60-65,"2,77","254,43",50-55,,,
,Обвес для телефона ,"Синяя стропа 
Нанесение: сублимация.
Фурнитура: черный металл. 
Вкладыш в телефон. 
Выкрас от 20 000 шт за единицу фурнитуры. 
Упаковка: инд пакет ",2000,"5,1","472,5",55-60,"5,43","499,82",45-50,16 000,17-22,
,,,3000,"5,04","463,64",55-60,"5,33","490,47",45-50,,,
,,,5000,"4,87","447,71",60-65,"5,15","474,21",50-55,,,
,,,10000,"4,48","412,55",65-70,"4,75","437,39",55-60,,,
,Шнур для телефона ,"Шнурок 
Пвх с лого одностороннее 
Фурнитура: черная (как в доп фото). 
Вкладыш в телефон. 

Упаковка: инд пакет ",2000,"5,0","455,3",55-60,"5,35","492,02",45-50,16 000,17-22,
,,,3000,"4,89","449,63",55-60,"5,28","449,63",45-50,,,
,,,5000,"4,83","443,94",60-65,"5,21","479,72",50-55,,,
,,,10000,"4,58","421,17",65-70,"4,95","455,12",55-60,,,
