,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Цена за шт. ($.) АВИА:,Цена за шт. ($.) АВИА:,Срок тиража ЖД ,Срок тиража авиа,Образец ,Срок образца,Доп. фото
,Полотенце,"Материал. - хлопок. Размер - 35x75cm, плотность 150гр Упаковка - индивидуальный пакет Нанесение - лого вышивка ",500,"5,0","463,0","5,6","520,7",40-45 дней ,30-35 дней ,"4098,33",15-20 дней ,
,,,1000,"4,6","431,3","5,2","489,0",,,,,
,,,3000,"4,4","410,2","5,0","467,9",45-50 дней ,35-40 дней ,,,
,,,5000,"4,3","406,0","5,0","463,7",,,,,
,Бейдж ,"Бейдж_металл, прямоугольная форма, магнит, именные, размер 60*20 мм. Без окошка лазерная гравировка; Цветовые характеристики - по Брендбуку. Брендирование: гравировка лого",100,"1,4","128,2","1,4","134,6",30-40 дней,20-30 дней,3970,15-20 дней ,
,,,300,"1,3","116,9","1,3","123,2",,,,,
,,,500,"1,2","111,9","1,3","118,3",,,,,
,,,1000,"1,2","107,5","1,2","113,9",,,,,
,,,3000,"1,1","100,9","1,2","107,3",,,,,
,,,5000,"1,0","92,6","1,1","99,1",,,,,
,Сумка,"МАТЕРИАЛ ручки - хлопок; джут, плотность 240 г/м² РАЗМЕРЫ42х38 см; ручки: 63х2,5 см ВЕС (1 ШТ.) 150 г. Нанесение полноцвет на лицевую сторону А4; Цветовые характеристики - по брендбуку. Брендирование: печать лого / паттерна",100,"3,3","306,8","3,7","344,2",35-40 дней,25-30 дней,4270,15-20 дней ,
,,,300,"3,1","287,4","3,5","324,7",,,,,
,,,500,"3,0","279,7","3,4","317,3",,,,,
,,,1000,"2,9","272,6","3,3","309,9",,,,,
,,,3000,"2,8","263,4","3,2","300,7",,,,,
,,,5000,"2,7","260,5","3,2","279,8",,,,,
