,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,мультитул (фабрика 1),"Материал: нержавеющая сталь
Размер: 8,4*5,3 см
Упаковка: OPP-пакетик
Примечание от фабрики: смогут изготовить цвет как на референсе (учтено в стоимости)", Дизайн: нанесение лого гравировкой и тампопечатью сверху,20000,"1,6","141,5",70-75,"1,8","163,1",60-65,7 000,7,17-19,
,,,,108000,"1,3","138,6",,"1,4","154,3",,,,,
 ,мультитул (фабрика 2),"Материал: нержавеющая сталь
Размер: 8,4*5,3 см
Упаковка: OPP-пакетик
Примечание от фабрики: смогут изготовить цвет как на референсе (учтено в стоимости)", Дизайн: нанесение лого гравировкой и тампопечатью сверху,20000,"1,8","163,9",70-75,"2,1","185,5",60-65,8 500,5,15-17,
,,,,108000,"1,5","159,7",70-75,"1,6","175,4",60-65,,,,
 ,мультитул+чехол (фабрика 1),"Материал: нержавеющая сталь, искусственная кожа
Размер: 8,4*5,3 см, чехол 9*6 см
Упаковка: OPP-пакетик
Примечание от фабрики: смогут изготовить цвет как на референсе (учтено в стоимости)"," Дизайн: нанесение лого гравировкой и тампопечатью сверху, нанесение шелкография на чехол",20000,"1,8","163,9",80-85,"2,1","185,5",70-75,8 500,7,17-19,
,,,,108000,"1,4","150,7",,"1,5","166,4",,,,,
 ,мультитул+чехол (фабрика 2),"Материал: нержавеющая сталь, искусственная кожа
Размер: 8,4*5,3 см, чехол 9*6 см
Упаковка: OPP-пакетик
Примечание от фабрики: смогут изготовить цвет как на референсе (учтено в стоимости)"," Дизайн: нанесение лого гравировкой и тампопечатью сверху,  нанесение шелкография на чехол",20000,"1,8","163,9",75-80,"2,1","185,5",65-70,9 800,5,15-17,
,,,,108000,"1,6","174,8",,"1,7","190,5",,,,,
 ,скотч,"Материал: скотч из BOPP
Размер: толщина 48 мм
Упаковка: заводская упаковка
Примечание от фабрики: стоимость открытия формы включено в стоимость за единицу", Дизайн: белый скотч с трехцветным лого,20000,"4,1","368,0",50-55,"5,0","451,9",45-50,18 000,11,21-23,
