,"Менеджер: Котелевская Анна
Email: annakot@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Набор елочных игрушек,"Материал: пластик
Размер: 6 см
Упаковка: набор по 4 штуки разных цветов"," Дизайн: 
- красная 
- металлическая
- белая с текстурой
- ярко-голубая с текстурой",5000,"1,7","156,2",75-80 дней,"2,63","242,2",65-70 дней,"2 500,00",20-25 дней,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,"Набор елочных игрушек

","Материал: пластик
Размер: 6 см
Упаковка: набор по 4 штуки разных цветов"," Дизайн: 
- красная 
- металлическая
- белая с текстурой
- ярко-голубая с текстурой",1000,"3,0","272,2",45-50 дней,"4,21","386,9",35-40 дней,"6 150,00",13-15 дней,
,,,,,,,,,,,,,
,Елочные игрушки,"Материал: пластик
Размер: 8 см
Примечание от фабрики: тираж в одном цвете и одном дизайне","Дизайн: 
- красная 
- металлическая
- белая с текстурой
- ярко-голубая с текстурой",1000,"1,1","98,2",60-65 дней,"1,58","145,0",50-55 дней,"4 800,00",23-25 дней,
 ,Набор матовых елочных игрушек,"Материал: пластик
Размер: 6 см
Упаковка: стоковая
Примечание от фабрики: тираж в одном цвете", Дизайн: ,3000,"1,7","151,8",35-40 дней,"2,96","272,3",25-30 дней,"3 900,00",20-22 дней,
,,,,,,,,,,,,,
 ,Набор бархатных елочных игрушек,"Материал: пластик
Размер: 8 см
Упаковка: стоковая, набор из 9 штук
Примечание от фабрики: наборы цветов только стоковые (как на доп. фото)", Дизайн: ,100,"11,3","1035,0",40-45 дней,"16,86","1551,1",30-35 дней,"2 800,00",13-15 дней,
,,,,300,"11,13","1023,7",,"16,74","1539,8",,,,
,,,,500,"11,02","1013,4",50-55 дней,"16,63","1529,6",40-45 дней,,,
,,,,1000,"10,94","1006,4",,"16,55","1522,5",,,,
 ,Кружка,"Материал: керамика
Размер: 9.6х7.3х7.6 см
Объем: 360 мл
Брендирование: выкрас в пантон 185С, покрытие софт-тач, лого на дне 1+0", Дизайн: ,1000,"7,3","647,1",50-55 дней ,"9,1","804,5",40-45 дней,"23 020,00",17-20 дней ,
 ,Метеостанция,"Материал корпуса: пластик
Цвет: белый
Размер: 14.8х4.3х7.8 см
Работает от батареек ААА
Функции: будильник, температура, влажность, календарь, погода
Сток", Дизайн: ,100,"8,3","737,6",25-30 дней ,"8,9","796,3",15-20 дней,"2 550,00",10-12 дней ,
,,,,300,"8,2","726,3",,"8,8","784,9",,,,
,,,,500,"8,1","724,1",,"8,8","782,7",,,,
,,,,1000,"8,1","722,3",,"8,8","780,9",,,,
,,Брендирование: печать лого,,300,"8,5","777,1",35-40 дней,"9,1","837,8",25-30 дней,4340,17-20 дней,
,,,,500,"8,4","774,8",,"9,1","835,5",,,,
,,,,1000,"8,4","773,2",,9,"833,8",,,,
 ,Умная гирлянда,"Длина: 3 м, 180 ламп
Работает от WiFi, есть приложение
В наборе крепления, 28 шт (в 2 раза больше чем в прошлом тираже)

", Дизайн: ,100,"32,9","3024,6",25-30 дней ,"35,7","3286,2",15-20 дней,"5 960,00",10-12 дней ,
,,,,300,"32,8","3013,3",,"35,6","3274,8",,,,
,,,,500,"32,7","3011,1",,"35,6","3272,8",,,,
,,,,1000,"32,7","3009,4",,"35,5","3270,8",,,,
 ,Флакон для духов,"Материал: стекло
Размер: 9.6х7.3х7.6 см
Объем: 30 мл
Брендирование: выкрас в пантон, крышка на выбор из стока", Дизайн: ,100,"2,1","190,9",35-40 дней ,"2,5","229,7",25-30 дней,"4 080,00",10-12 дней ,
,,,,300,"1,9","179,7",,"2,4","218,4",,,,
,,,,500,"1,9","177,4",,"2,3","216,1",,,,
,,,,1000,"1,8","170,4",,"2,3","209,1",,,,
