,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: паракорд, ПВХ, металл
Размер: длина шнурка 22-24 см, высота букв 2 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма букв (МАРКЕТИНГ), запайка конца шнурка силиконом, цвет шнурка на выбор из раскладки фабрики

Шнурок 4 мм раскладка

",500 (мин),"8,4","710,1",40-45,"8,6","730,3",30-35,51750 (включено открытие форм для 9 букв),12,22-24,
,Брелок,"Материал: паракорд, ПВХ, металл
Размер: длина шнурка 22-24 см, высота букв 2 см, ремувка 2 х 5-7 см
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости"," Дизайн: индивидуальная форма букв (МАРКЕТИНГ), ремувка с объемным лого, запайка конца шнурка силиконом, цвет шнурка на выбор из раскладки фабрики

Шнурок 4 мм раскладка

",500 (мин),"8,8","747,0",40-45,"9,0","767,2",30-35,55850 (включено открытие форм для 9 букв и ремувки),12,22-24,
Фурнитура от 7.07,,,,,,,,,,,,,,
 ,Вкладыш под чехол,"Материал: нержавеющая сталь
Размер: доп фото
Цвет: золото, серебро, черный
Упаковка: общий пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,50,-,,,"1,1","96,1",13-20 (экспресс),1 460,2,12-14,
,,,,100,,,,"0,9","79,1",,,,,
 ,Фиксатор двойной / одинарный,"Материал: нержавеющая сталь
Размер: доп фото (одинарный 9 х 19 мм)
Цвет: серебро, матовый
Упаковка: общий пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,50,-,,,"0,9","77,4",13-20 (экспресс),1 460,2,12-14,
,,,,100,,,,"0,7","60,4",,,,,
Расчет от 14.07,,,,,,,,,,,,,,
 ,Карабин,"Материал: алюминий
Размер: 59.5 х 30 мм
Цвет: золото, серебро, черный, серый
Упаковка: опп пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,50,-,,,"1,7","148,2",20-22 (экспресс),3 100,2,12-14,
,,,,100,,,,"1,4","128,4",,,,,
 ,Застежка,"Материал: цинковый сплав
Размер: в доп фото
Цвет: золото, серебро, черный, серый
Упаковка: опп пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,50,-,,,"1,4","127,7",20-22 (экспресс),2 750,2,12-14,
,,,,100,,,,"1,2","101,5",,,,,
Расчет от 18.07,,,,,,,,,,,,,,
 ,Регулятор для стропы,"Материал: цинковый сплав
Размер: в доп фото
Цвет: золото, серебро
Упаковка: опп пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,100,-,,,"1,6","143,9",20-22 (экспресс),2 750,2,12-14,
 ,Регулятор для стропы (аналог),"Материал: цинковый сплав
Размер: в доп фото
Цвет: золото, серебро, черный, серый
Упаковка: опп пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,100,-,,,"1,4","123,7",20-22 (экспресс),2 650,2,12-14,
 ,Фиксатор,"Материал: сплав
Размер: в доп фото
Цвет: в доп фото
Упаковка: опп пакет
Примечание от фабрики: необходимо подтверждение наличия перед заказом", Дизайн: сток,50,-,,,"1,3","109,9",20-22 (экспресс),2 550,2,12-14,
,,,,100,,,,1,"87,9",,,,,
,,,,300,,,,"0,8","71,6",,,,,
 ,Карабин под стропу ,"Материал: сплав
Цвет: серебро
Упаковка: опп пакет
Примечание от фабрики: утолщённый карабин с ремешком 1,5 см. Необходимо подтверждение наличия перед заказом", Дизайн: сток ,200,-,,,"1,8","160,2",20-22 (экспресс),2 890,2,12-14,
