,"Менеджер: Садова Алина Дмитриевна
Email: alinas@megamind.ru
Телефон: +7 (920) 663-50-75
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Кружка,"Материал: нерж.сталь 201 и 304
Размер: 220 мл
Упаковка: заводская упаковка
Примечание от фабрики: возможные цвета карабинов: синий, красный, серебристый", Дизайн: нанесение лого гравировкой,300,"5,0","442,6",50-55,,,,10 500,9,19-21,
,,,,500,"4,8","427,4",,,,,,,,
 ,Кружка,"Материал: нерж.сталь 201 и 304
Размер: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: возможные цвета карабинов: синий, красный, серебристый", Дизайн: нанесение лого гравировкой,300,"5,4","484,2",50-55,,,,10 500,9,19-21,
,,,,500,"5,2","467,8",,,,,,,,
 ,Кружка со складкной ручкой,"Материал: нерж.сталь 304
Размер: 330 мл
Упаковка: заводская упаковка
Примечание от фабрики: можно добавить деревянную крышку и мешочек для кружки (в стоимость не включены)", Дизайн: лого в один цвет гравировкой,300,"4,8","435,8",50-55,,,,13 000,12,22-24,
,,,,500,"4,6","420,8",,,,,,,,
 ,Кружка со складкной ручкой,"Материал: нерж.сталь 304
Размер: 330 мл
Упаковка: заводская упаковка
Примечание от фабрики: можно добавить деревянную крышку и мешочек для кружки (в стоимость не включены)", Дизайн: лого в один цвет шелкографией,300,"5,0","448,7",50-55,,,,18 000,15,25-27,
,,,,500,"4,8","433,3",,,,,,,,
 ,Кружка,"Материал: стекло, дерево
Размер: 300 мл
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение лого горячим  декоративным обжигом,300,"5,5","483,0",35-40,,,,3 500,5,15-17,
,,,,500,"5,2","480,2",,,,,,,,
 ,Кружка,"Материал: керамика c гальваническим покрытием
Размер: 400 мл
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение лого печатью,300,"11,4","1003,5",55-60,,,,16 000,11,21-23,
,,,,500,"10,9","957,4",,,,,,,,
 ,Кружка,"Материал: керамика c гальваническим покрытием
Размер:  450 мл
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: нанесение лого печатью,300,"13,1","1152,6",55-60,,,,16 000,11,21-23,
