,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Стакан,"Материал: пластик
Размер: 720мл
Упаковка: без индивидуальной упаковки
Примечание от фабрики: ", Дизайн: индивидуальный паттерн,500,"2,9","251,0",60-65,,,,22 000,15,25-27,
,,,,1000,"2,4","210,0",65-70,,,,,,,
 ,Эспандер,"Материал: силикон
Размер: 70*34*18мм
Упаковка: OPP пакет
Примечание от фабрики: возможные цвета: салатовый, голубой, синий, оранжевый, красный, черный. От 30 до 60 LB, каждый цвет соответсвует определенному LB", Дизайн: тампопечать или гравировка лого,500,"1,1","101,0",40-45,,,,7 100,6,16-18,
,,,,1000,"1,1","97,0",40-45,,,,,,,
 ,Мяч-антистресс,"Материал: PU
Размер: 6,3см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: нанесение макета клента термотрансфер,500,"0,95","81,17",40-45,,,,9 400,9,19-21,
,,,,1000,"0,92","78,22",40-45,,,,,,,
 ,Крышка с трубочкой,"Материал: пластик
Размер: Диаметр крышки- 5,7см
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: УФ печать лого,500,"1,2","101,0",35-40,,,,9 400,4,14-16,
,,,,1000,"1,1","93,0",35-40,,,,,,,
 ,"Кабель-ланъярд 120 см

USB Type C + USB Type C","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка                
Цвет: сток                                                       Примечание от фабрики: Минимальный заказ-1000 штук, минимальный заказ для выкраса нитей в Пантон-2000 штук", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части,от 1000,"3,7","396,8",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка + выкрас нитей в цвет клиента,от 2000,"3,7","396,8",50-55,,,,,,,
 ,"Кабель-ланъярд 30 см

USB Type C + Lightning","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка                
Цвет: сток                                                       Примечание от фабрики: Минимальный заказ-1000 штук, минимальный заказ для выкраса нитей в Пантон-2000 штук", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части,от 1000,"2,8","319,7",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка + выкрас нитей в цвет клиента,от 2000,"2,8","319,7",50-55,,,,,,,
 ,"Кабель-ланъярд 120 см

USB Type C + Lightning","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка                
Цвет: сток                                                       Примечание от фабрики: Минимальный заказ-1000 штук, минимальный заказ для выкраса нитей в Пантон-2000 штук", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части,от 1000,"3,8","421,9",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка + выкрас нитей в цвет клиента,от 2000,"3,8","421,9",50-55,,,,,,,
 ,Брелок-кликер,"Материал: пластик
Размер: 
Упаковка: OPP пакет
Примечание от фабрики: Минимальный заказ-1000 штук"," Дизайн: Нанесение кастомного дизайна клиента на кейкап, синий свитч",1000,"3,08","266,92 ₽",55-60,,,,54 000,15,25-27,
,,,,,,,,,,,,,,
 ,Брелок-кликер,"Материал: пластик
Размер: 
Упаковка: OPP пакет
Примечание от фабрики: Минимальный заказ-3000 штук "," Дизайн: ПВХ фигурка по макету клиента, кастомный звук при нажатии, синий свитч",3000,"3,16","274,65 ₽",55-60,,,,57 000,15,25-27,
,,,,,,,,,,,,,,
 ,Брелок,"Материал: ПВХ
Размер: 
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: кастомный дизайн клиента на одной стороне,500,"1,49","130,94 ₽",50-55,,,,12 000,9,19-21,
,,,,1000,"1,11","98,49 ₽",50-55,,,,,,,
 ,Брелок,"Материал: ПВХ
Размер: 
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: кастомный дизайн клиента на двух сторонах,500,"1,78","155,81 ₽",50-55,,,,24 000,9,19-21,
,,,,1000,"1,34","118,39 ₽",50-55,,,,,,,
 ,Подставка для кисти,"Материал: Хлопок
Размер: 
Упаковка: OPP пакет
Примечание от фабрики: Минимальный заказ-2000 штук", Дизайн: кастомный дизайн клиента,2000,"1,62","137,85",45-50,,,,13 400,5,15-17,
,,,,,,,,,,,,,,
 ,Наклейки,"Материал: бумага, пластик
Размер: комплект на картонной подложке 20*20 см (можно изменить)
Упаковка: OPP пакет
Примечание от фабрики:", Дизайн: кастомный дизайн клиента,500,"2,58","221,18 ₽",45-50,,,,4 200,5,15-17,
,,,,1000,"2,42","207,04 ₽",45-50,,,,,,,
