,"Менеджер: Богдан Фёдор
Email: fedorb@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Игрушка-лошадь,"Материал: Стекло
Размер: 7*0,3*8см
Упаковка: Пупырчатая упаковка для каждого изделия
Примечание от фабрики: "," Дизайн: Синий цвет игрушки, форма игруши в соответсвии с ТЗ клиента",4000,"3,11","269,79 ₽",70-75,,,,24 000,20,30-32,
,,,,,,,,,,,,,,
 ,Игрушка-лошадь,"Материал: Стекло
Размер: 7*3*8см
Упаковка: Пупырчатая упаковка для каждого изделия
Примечание от фабрики: "," Дизайн: Синий цвет игрушки, форма игруши в соответсвии с ТЗ клиента",4000,"3,70","324,82 ₽",70-75,,,,26 500,20,30-32,
,,,,,,,,,,,,,,
 ,Сервировочная доска,"Материал: дерево, акация или сосна
Размер: 27х20х2 см
Упаковка: прозрачный пакет
"," Дизайн: настройка формы, покрытие",4000,"13,46","1 203,74 ₽",60-65,,,,17 000,10,20-22,
 ,Сервировочная доска,"Материал: керамика
Размер: 27х20х1,5 см
Упаковка: фабричная коробка
Примечание от фабрики: без покрытия, белый цвет
Открытие фоормы включено в стоимость"," Дизайн: настройка формы,",4000,"14,56","1 297,35 ₽",65-70,,,,86 600,15,25-27,
 ,Наволочка,"Материал: хлопок
Размер: 40х40 см
Упаковка: прозрачный пакет
Примечание от фабрики: без возможности сделать образец"," Дизайн: полноцветная печать изображения по индивидуальному дизайну, в соответствии с синим макетом",100,"12,29","1 045,06 ₽",50-55,,,,--,--,--,
 ,Сервировочная дорожка,"Материал: хлопок
Размер: 144х39 см
Упаковка: прозрачный пакет
Примечание от фабрики: без возможности сделать образец"," Дизайн: полноцветная печать изображения по индивидуальному дизайну, в соответствии с синим макетом",100,"20,00","1 700,12 ₽",50-55,,,,--,--,--,
 ,"Набор салфеток, 2 шт","Материал: хлопок
Размер: 35х35 см
Упаковка: прозрачный пакет
Примечание от фабрики: без возможности сделать образец", Дизайн: вышивка 5*5 см золотом,100,"9,08","771,53 ₽",50-55,,,,--,--,--,
,,,,,,,,,,,,,,
,,,,100,"3,11","269,79 ₽",0,"0,0","0,0",,,,,
,,,,4000,"20,00","1 700,12 ₽",0,"0,0","0,0",,,,,
