,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Аудио-открытка «Кассета»

Альтернативная доставка","Материал: пластик
Размер: 10*6,2*1,5см
Упаковка: OPP пакет
Примечание от фабрики: время записи 60 секунд
Работает от 2 батареек ААА
Металлостикеры от 5000шт", Дизайн: бумажные наклейки с паттерном/лого,1000,"3,1","276,0",55-60,,,,4 600,5,15-17,
,,"Материал: пластик
Размер: 10*6,2см
Упаковка: OPP пакет
Примечание от фабрики: время записи 5 минут
Работает от 2 батареек ААА
Металлостикеры от 5000шт",,1000,"3,7","325,0",55-60,,,,,,,
,Зип-пакет,"Материал: MOPP+VMPET+PE
Размер: 14*13см
Упаковка: без упаковки
Примечание от фабрики: размер можно настроить, цена может отличаться", Дизайн: цифровая печать 2 цвета с 1 стороны,1000,"1,5","129,0",45-50,,,,14 300,7,17-19,
,Варежки,"Материал: дюспо
Упаковка: OPP пакет
Примечание от фабрики: необходимо оформление ДС+ЧЗ (ориентировочная стоимость 25 тыс.руб.)"," Дизайн: металлические патчи, карман, печать рисунка",1000,"18,1","1540,0",60-65,,,,"17400
（без металлических патчей)",10,20-22,
,Варежки,"Материал: полиуретановое волокно
Упаковка: OPP пакет
Примечание от фабрики: необходимо оформление ДС+ЧЗ (ориентировочная стоимость 25 тыс.руб.)"," Дизайн: металлические патчи, карман, печать рисунка",1000,"8,7","737,0",60-65,,,,"17400
（без металлических патчей)",17,27-29,
,Квест-карта с UV слоем,"Материал: мелованная бумага 130г
Размер: А3
Упаковка: без упаковки
Примечание от фабрики: "," Дизайн: печать, эелементы с флуоресцентными чернилами",1000,"2,1","177,0",45-50,,,,19 300,9,19-21,
,Фонарь,"Материал: алюминий
Размер: 133*28*25мм
Упаковка: заводская
В комплекте литиевая батарея и провод для подзарядки
LED UV 365NM", Дизайн: лазерная гравировка лого,1000,"9,9","849,0",50-55,,,,15 000,9,19-21,
,Фонарь,"Материал: алюминий
Размер: 90*35мм
Упаковка: заводская коробка
В комплекте литиевая батарея и провод для подзарядки
 UV 365NM", Дизайн: печать лого 1 цвет,1000,"6,6","575,0",50-55,,,,15 000,9,19-21,
,Пиньята,"Материал: картон, бумага
Размер: 45*40*12cm
Упаковка: без упаковки
Примечание от фабрики: Необходимо оформление СС (ориентировочная стоимость 85 тыс. руб.)", Дизайн: индивидуальная форма,1000,"26,6","2260,0",60-65,,,,14 500,12,22-24,
,Бита для пиньяты,"Материал: дерево
Длина: 21 дюйм (~54см)
Упаковка: OPP пакет", Дизайн: аквапринт узора+печать лого,1000,"15,1","1312,0",60-65,,,,29 100,12,22-24,
,Дженга,"Материал: Акрил, ПВХ пластик 
Размер: 75*75*270мм
Упаковка: Идвидуальная
Примечание от фабрики: "," Дизайн: Нанесение кастомных надписей тампопечатью, кастомный кейс",1000,"71,91","6 364,9 ₽",90-95,,,,40 000,20,30-32,
,Удостоверение агента,"Материал: Металл
Размер: 86*54*13мм
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Кастомный макет клиента,1000,"6,2","494,0",50-55,,,,11 000,15,25-27,
,Брелок с программируемым НФС чипом,"Материал: ПВХ
Размер: Индивидуально 
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Кастомный дизайн клиента,1000,"5,1","413,0",55-60,,,,9 500,18,28-30,
,Кейс,"Материал: Металл,пластик, шубер-картон
Размер: 36*31*12см
Упаковка: Индивидуально
Примечание от фабрики: ", Дизайн: Кастомный дизайн клиента,1000,"61,0","4900,0",60-65,,,,23 000,24,34-36,
,Бутылка,"Материал: нержавеющая сталь 304
Размер: 210*65мм
Упаковка: ОРР пакет
Примечание от фабрики: выкрас в цвет клиента от 3000 штук"," Дизайн: Выбор цвета из заводской палитры, Кастомные нанесения клиента",1000,"13,6","1074,0",55-60,,,,9 800,14,24-26,
,Держатель для телефона,"Материал: металл
Размер: 
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Кастомный дизайн клиента,1000,"9,8","790,0",50-55,,,,7 900,12,22-24,
