,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,,,,,
Фото,Наименование,Характеристики,Вес единицы,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Доставка ЭКСПРЕСС,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Флешка,"Материал: ПВХ
Размер: 30х60х10 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: 128 Гб, USB 3.1","0,03 кг", Дизайн: индивидуальная форма,"1500,0","14,4","1226,8",45-50,"14,6","1236,9",35-40,"13,7","1165,8",30-35,11 200,5,15-17,
,,"Материал: ПВХ
Размер: 30х60х10 мм
Упаковка: индивидуальный пакет
Примечание от фабрики: 128 Гб, USB 2.0",,,,"12,5","1066,2",,"12,7","1076,3",,"11,8","1005,2",,,,,
,Бочка-копилка,"Материал: жесть
Размер: 114х76 мм, толщина 0.23 мм
Упаковка: индивидуальный пакет
","0,115 кг"," Дизайн:  выкрас в пантон, печать лого","1000,0","4,4","371,5",55-60,"5,0","421,4",45-50,-,,,32 450,7,17-19,
,,"Материал: жесть
Размер: 110х80 мм, толщина 0.23 мм
Упаковка: индивидуальный пакет
","0,12 кг"," Дизайн:  выкрас в пантон, печать лого","1000,0","9,8","836,3",60-65,"10,5","888,3",50-55,,,,370 300,25,35-37,
 ,Насос,"Материал: пластик
Размер: 12.3х7.6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: емкость аккумулятора 2000 мАч, зарядка от type-C","0,655 кг", Дизайн: сток,"250,0","61,8","5249,0",25-30,"64,9","5513,3",15-20,-,-,-,10 290,5,15-17,
 ,Пневмотент,"Материал: 600D полиэстеровая оксфордская ткань
Двойное PU-покрытие
Огнестойкость (американский стандарт CPAI-84)
Защита от ультрафиолета (UV)
Водоотталкивающее покрытие (водонепроницаемость до 2000 мм)
Плотность ткани – около 260 г/м²
Размер: 3 х 3 м
Воздушные опоры (колонны):
Внутренний слой – TPU-трубка толщиной 0,3 мм
Внешний чехол – 600D ткань
Доступные цвета: белый и черный
Упаковка: сток мешок
Комплектация:
Сумка для переноски
Колышки и веревки
Примечание от фабрики: необходима проработка образца и подтверждение стоимости и возможностей фабрики по макету ",36,Дизайн: полная запечатка по макету термопечатью 3 стенки ,"1,0","2108,1","179187,7","40-45
(после подтверждения макета)","2187,3","185919,7","30-35
(после подтверждения макета)",200 000,15,25-27,200 000,15,25-27,
,,,,,"6,0","2088,5","177521,1","50-55
(после подтверждения макета)","2167,7","184253,1","40-45
(после подтверждения макета)",,,,,,,
