,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ЖД ($.):,Цена за шт. ЖД (руб.):,Цена за шт. Авиа ($.):,Цена за шт. Авиа (руб.):,Срок тиража ЖД,Срок тиража Авиа,Образец,Срок образца,Доп. фото
,Флэшка,"Объем: 64 Гб
Интерфейс: USB 2.0
Материал: пластик, металл
Нанесение: лазерная гравировка одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"5,0","467,0","5,1","476,0",32-37,22-27,2900,17-20,
,Флэшка с Led-логотипом,"Объем: 32 Гб
Интерфейс: USB 2.0
Материал: пластик, металл
Нанесение: лазерная гравировка одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"6,7","621,0","6,7","626,0",34-39,24-29,2900,14-17,
,Флэшка,"Объем: 64 Гб
Интерфейс: USB 2.0
Материал: пластик, металл
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"7,7","712,0","7,8","721,0",32-37,22-27,4000,17-20,
,Флэшка,"Объем: 32 Гб
Интерфейс: USB 2.0
Материал: металл
Нанесение: лазерная гравировка одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"4,5","413,0","4,6","422,0",32-37,22-27,2900,17-20,
,Usb-переходник,"
Материал: металл, пластик
Длина: 1,2 метра
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"4,0","366,0","4,2","390,0",32-37,22-27,3500,15-18,
,Сумка-органайзер,"Материал: полиэстер
Два отделения
Размер:24,5*18*3,5
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пластиковый пакет",1800-2000,"7,3","676,0","8,3","777,0",55-60,45-50,8800,19-22,
,Дорожный органайзер,"Материал: оксфорд
Два отделения
Размер:27*20*10 см
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пакет, возможна коробка",1800-2000,"8,5","793,0","10,0","933,0",40-45,30-35,9100,19-22,
,Сумка-органайзер,"Материал: жаккард
Два отделения
Размер:21*12,5*6 см
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пакет",1800-2000,"5,2","480,0","5,8","538,0",40-45,30-35,8500,19-22,
,Сумка-органайзер,"Материал: силикон
Одно отделение
Размер:20*12*3 см
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пакет",1800-2000,"4,3","402,0","5,0","467,0",40-45,30-35,8600,19-22,
,Сумка-органайзер,"Материал: оксфорд
Одно отделение с двумя внутренними карманами
Размер:17*11,5*5,5 см
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пакет",1800-2000,"2,7","244,0","2,9","270,0",40-45,30-35,8400,19-22,
,Чехол-органайзер,"Материал: EVA
Одно отделение
Размер:20*10*4 см
Нанесение: шелкография одним цветом
Упаковка: индивидуальный пакет",1800-2000,"2,7","246,0","3,2","296,0",40-45,30-35,8400,19-22,
,Power bank,"Дисплей-индикатор заряда
Встроенные кабели для зарядки
Функция быстрой зарядки
Фонарик
Батарея: 20000 мAч
Компактный размер: 89*79*27 мм
Нанесение логотипа одним цветом",1800-2000,"9,4","871,0","10,2","948,0",45-50,35-40,8700,19-22,
,Power bank,"Индикатор заряда
Функция беспроводной зарядки
Батарея: 10000 мAч
Размер: 135*73.5*19.5 мм
Нанесение логотипа одним цветом",1800-2000,"11,8","1103,0","12,3","1208,0",45-50,35-40,9100,19-22,
,Power bank,"Дисплей-индикатор заряда
Встроенные кабели для зарядки
Функции быстрой и беспроводной зарядки
Батарея: 10000 мAч
Размер: 69*19*148 мм
Нанесение логотипа одним цветом",1800-2000,"11,6","1076,0","12,7","1181,0",45-50,35-40,9100,19-22,
,Power bank,"Дисплей-индикатор заряда
Два USB-порта
Функция быстрой зарядки
Фонарик
Батарея: 10000 мAч
Размер: 64*22.5*146 мм
Нанесение логотипа одним цветом",1800-2000,"10,3","955,0","11,4","1060,0",45-50,35-40,9100,19-22,
,Power bank,"Карманный power bank 
Индикатор заряда
Встроенный штекер Lightning и кабель type-c
Функция быстрой зарядки
Батарея: 5000 мAч
Нанесение логотипа одним цветом",1800-2000,"7,5",696,"7,9","736,0",37-42,27-32,8500,19-22,
,Беспроводная зарядка,"Мощность: 15W
Функция быстрой зарядки
Зарядка: type-c
Без нанесения",1800-2000,"8,6",796,"8,8","821,0",35-40,25-30,2200,19-22,
