,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,ПЗУ (обычный) ,"Материал: аллюминиевый сплав
Размер: 125,5 х 62,2 х 11,2 мм
Вес: 200 г ± 15 г
Технические характеристики:
 10000 мАч / 3,7 V / 37 Wh
USB-C вход: DC5V/2.4A, 9V/2.0A, 12V/1.5A (18W)  
USB-C выход: DC5V/2.4A, 9V/2.22A, 12V/1.67A (20W) 
Упаковка: стоковая; по макету (с иконками) +12 руб",Дизайн: сток,1000,"24,7","2474,8",70-75 дней,"25,7","2572,7",60-65 дней,"8 400,00",16 дней,
,,,,2000,"24,1","2416,1",,"25,1","2514,0",,,,
,,,,3000,"23,7","2372,5",,"24,7","2470,4",,,,
,,,,5000,"23,2","2328,9",,"24,2","2426,8",,,,
,,,Дизайн: нанесение уф,2000,"24,5","2450,8",,"25,4","2548,7",,,19-22 дней,
,,,,3000,"24,0","2407,2",,"25,0","2505,1",,,,
,,,,5000,"23,6","2363,6",,"24,6","2461,5",,,,
,,,Дизайн: нанесение гравировки,2000,"24,3","2430,6",,"25,2","2528,5",,,,
,,,,3000,"23,8","2386,9",,"24,8","2484,8",,,,
,,,,5000,"23,4","2343,3",,"24,4","2441,2",,,,
 ,"ПЗУ (magsafe) 
","Материал: аллюминиевый сплав
Размер: 105 х 64.5 х 11 мм
Технические характеристики: 
5000mAh / 3.7V / 18.5Wh  
Type-C вход: DC5V/2.4A, 9V/2.0A (18W) 
Type-C выход: DC5V/2.4A, 9V/2.22A, 12V/1.67A (20W)  
Выход беспроводной зарядки: 15W / 10W / 7.5W / 5W  
Упаковка: стоковая; по макету (с иконками) +12 руб",Дизайн: сток,1000,"23,6","2359,8",70-75 дней,"24,3","2435,0",60-65 дней,"8 400,00",16 дней,
,,,,2000,"23,1","2315,6",,"23,9","2390,8",,,,
,,,,3000,"22,7","2271,9",,"23,4","2347,2",,,,
,,,,5000,"22,4","2242,8",,"23,1","2318,0",,,,
,,,Дизайн: нанесение уф,2000,"23,5","2350,3",,"24,2","2425,5",,,19-22 дней,
,,,,3000,"23,0","2306,6",,"23,8","2381,9",,,,
,,,,5000,"22,7","2277,5",,"23,5","2352,7",,,,
,,,Дизайн: нанесение гравировки,2000,"23,3","2330,0",,"24,0","2405,3",,,,
,,,,3000,"22,8","2286,4",,"23,6","2361,6",,,,
,,,,5000,"22,5","2257,2",,"23,3","2332,5",,,,
 ,"ПЗУ (magsafe) 
","Материал: аллюминиевый сплав
Размер: 105 х 64.5 х 11 мм
Технические характеристики: 
5000mAh / 3.7V / 18.5Wh  
Type-C вход: DC5V/2.4A, 9V/2.0A (18W) 
Type-C выход: DC5V/2.4A, 9V/2.22A, 12V/1.67A (20W)  
Выход беспроводной зарядки: 15W / 10W / 7.5W / 5W  
Упаковка: стоковая; по макету (с иконками) +12 руб",Дизайн: перенос характеристик на другую сторону ,2000,"23,8","2383,7",75-80 дней,"24,6","2461,1",65-70 дней,"8 400,00",19-22 дней,
,,,,3000,"23,3","2338,7",,"24,1","2416,2",,,,
,,,,5000,"23,0","2308,8",,"23,8","2386,2",,,,
,,,Дизайн: перенос характеристик на другую сторону + уф нанесение,2000,"24,2","2419,4",,"24,9","2496,8",,,,
,,,,3000,"23,7","2374,5",,"24,5","2451,9",,,,
,,,,5000,"23,4","2344,5",,"24,2","2421,9",,,,
,,,Дизайн: перенос характеристик на другую сторону + гравировка,2000,"23,9","2398,6",,"24,7","2476,0",,,,
,,,,3000,"23,5","2353,6",,"24,3","2431,1",,,,
,,,,5000,"23,2","2323,6",,"24,0","2401,1",,,,
