,"Менеджер: Попова Дарья
Email: daryap@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,ПЗУ,"Материал: пластик
Цвета: чёрный, белый
Примечание от фабрики: 10000 мAч, 10 Вт, Type-C, micro", Дизайн: шелкография на корпусе товара ,1898,"14,6","1500,4",55-60,"16,1","1653,3",45-50,10 000,10,20-22,
 ,Бутылка,"Материал: нержавеющая сталь (304 внутри, 201 снаружи)
Размер: 23,5*6,5 см
Цвета: белый, чёрный, розовый, фиолоетовый
Упаковка: белая коробка
Примечание от фабрики: 500 мл", Дизайн: лазерная гравировка на корпусе бутылки ,617,"10,5","1084,8",55-60,"11,1","1146,0",45-50,10 000,10,20-22,
 ,Бутылка,"Материал: нержавеющая сталь (304 внутри, 201 снаружи)
Упаковка: коробка
Цвета: белый, чёрный, розовый, синий, зелёный, оранжевый, серый, фиолетовый, красный 
Примечание от фабрики: 750 мл", Дизайн: лазерная гравировка/шелкография на корпусе бутылки ,617,"12,0","1232,7",55-60,"12,8","1314,3",45-50,10 400,10,20-22,
 ,Дождевик ,"Материал: ткань Оксфорд
Размер: M/L/XL/2XL/XL/4XL
Упаковка: Опп-пакет
Цвета: чёрный
Примечание от фабрики: есть капюшон, манжеты на резинке ", Дизайн: шелкография на лицевой стороне товара ,382,"10,7","1098,1",55-60,"11,4","1172,2",45-50,9 600,10,20-22,
 ,Ежедневник,"Материал: искуственная кожа
Размер: 21*14,5 см
Упаковка: ОПП-пакет
Цвета: чёрный, синий, коричневый, бордовый, голубой, красный
Примечание от фабрики: А5, 100 листов - 200 страниц", Дизайн: тиснение/тиснение золотом/тиснение серебром/ УФ-печать на обложке,2485,"4,7","488,7",55-60,"5,5","562,9",45-50,9 600,10,20-22,
 ,Планшет,"Материал: ПВХ
Размер: 31,5*22,5 см
Упаковка: опп-пакет
Примечание от фабрики: А4", Дизайн: печать на лицевой части товара ,155,"3,9","398,7",55-60,"4,6","472,9",45-50,9 600,10,20-22,
 ,Плед,"Материал: акрил 
Размер: 130*160 см
Упаковка: Опп-пакет
Цвета: чёрный, оранжевый, зелёный, хаки, синий, белый
Примечание от фабрики: ", Дизайн: нашивка на на самом изделии,150,"28,4","2924,6",55-60,"32,0","3295,4",45-50,14 900,10,20-22,
 ,Плед стёганный ,"Материал: флис, клетчатая ткань 210Т (водонепроницаемая) 
Размер: 145*200 см
Упаковка: сумка+пакет
Примечание от фабрики: ", Дизайн: вышивка на самом товаре ,370,"25,5","2623,0",55-60,"28,7","2956,7",45-50,12 000,10,20-22,
 ,Плед,"Материал: флис
Размер: 200*150 см
Упаковка: ОПП-пакет
Цвет: чёрный
Примечание от фабрики: ", Дизайн: вышивка на самом товаре ,300,"16,8","1726,0",55-60,"18,2","1874,3",45-50,12 000,10,20-22,
 ,Полотенце ,"Материал: микрофибра
Размер: 30*80 см
Упаковка: ОПП-пакет
Примечание от фабрики: цвет можно настроить ", Дизайн: вышивка на самом товаре ,549,"6,7","692,8",55-60,"7,8","804,1",45-50,12 400,10,20-22,
 ,Полотенце ,"Материал: махровое 
Размер: 40*80 см
Упаковка: ОПП-пакет
Цвет: чёрный
Примечание от фабрики: ", Дизайн: вышивка на самом товаре ,1967,"6,7","685,5",55-60,"7,4","759,7",45-50,12 100,10,20-22,
 ,Рюкзак,"Материал: Оксфард, подклада - полиэстер 
Размер: 50*18*33 см
Упаковка: ОПП-пакет
Цвет: чёрный
Примечание от фабрики: водонепроницаемый, с отсеком для ноутбука ", Дизайн: шелкография на лицевой части товара  ,659,"15,3","1570,7",55-60,"17,1","1756,1",45-50,10 600,10,20-22,
 ,Сумка-шоппер,"Материал: нейлон 
Размер: 50*40 см
Упаковка: ОПП-пакет
Цвет: чёрный
Примечание от фабрики: водоотталкивающая ткань, ручки надо будет кастомить ", Дизайн: шелкография на лицевой части товара  ,1094,"8,3","853,3",55-60,"9,4","964,5",45-50,10 000,10,20-22,
 ,Термос ,"Материал: нержавеющая сталь
Размер: 8,2*32,5 см
Упаковка: коробка
Цвет: чёрный
Примечание от фабрики: 1Л"," Дизайн: гравировка, либо шелкография на корпусе товара",460,"19,5","2012,9",55-60,"23,5","2420,7",45-50,12 700,7,17-19,
 ,Термстакан,"Материал: нержавеющая сталь
Размер: 18*7,8 см
Упаковка: коробка
Цвет: чёрный
Примечание от фабрики: 400 мл"," Дизайн: гравировка, либо шелкография на корпусе товара",1214,"9,3","958,2",55-60,"10,9","1121,4",45-50,10 400,7,17-19,
 ,Шоппер,"Материал: полиэстер
Размер: 46*35 см
Упаковка: сумка+опп-пакет
Примечание от фабрики: складывается в сумку-мешочек", Дизайн: шелкография на лицевой части товара  ,3149,"2,2","231,2",55-60,"2,4","249,8",45-50,9 200,7,17-19,
 ,Шеврон ,"Материал: ткань
Размер:  примерно 5*6 см
Упаковка: ОПП пакет
Примечание от фабрики: указана цена комплекта из 3 штук; шевроны к велкро шопперу ", Дизайн: инд. дизайн по макету клиента ,1000,"2,0","200,8","50-55 
","2,0","203,2",40-45,6 800,5,15-17,
,Шоппер,"Материал: полиэстер
Размер:  примерно  35*40*5 см 
Упаковка: ОПП-пакет
Цвет: чёрный
Примечание от фабрики: велкро на шоппере, поэтому открытие формы "," Дизайн: инд. дизайн по макету клиента, лого - шелкография ",1000,"10,1","1044,7","50-55 
","10,7","1100,3",40-45,19 900,10,20-22,
