,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ланъярд с пряжкой и карабином,"Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: цены ориентировочные, точные после предоставления макетов", Дизайн: жаккардовое плетение,100-150,"13,9","1195,0",50-55,,,,14 900,12,22-24,
,,,,2000,"9,3","806,0",60-65,,,,,,,
,Ланъярдс ретрактором,"Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: цены ориентировочные, точные после предоставления макетов", Дизайн: жаккардовое плетение,100-150,"15,3","1319,0",50-55,,,,17 400,12,22-24,
,,,,2000,"10,8","930,0",60-65,,,,,,,
,,,,,,,,,,,,,,
 ,"Ланъярд с пряжкой и карабином
Фабрика 1","Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: MOQ 200шт на 1 дизайн", Дизайн: жаккардовое плетение,200,"6,1","518,0",55-60,,,,14 900,12,22-24,
 ,"Ланъярд с ретрактором
Фабрика 1","Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: MOQ 200шт на 1 дизайн", Дизайн: жаккардовое плетение,200,"7,8","664,0",55-60,,,,17 400,12,22-24,
 ,"Ланъярд с пряжкой и карабином
Фабрика 2","Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: MOQ 500шт на 1 дизайн", Дизайн: жаккардовое плетение,500,"12,4","1057,0",50-55,,,,14 900,12,22-24,
 ,"Ланъярд с ретрактором
Фабрика 2","Материал: нейлон, металл, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: MOQ 500шт на 1 дизайн", Дизайн: жаккардовое плетение,500,"13,9","1181,0",50-55,,,,17 400,12,22-24,
 ,"Ланъярд с пластиковой фурнитурой
Фабрика 1","Материал: нейлон, пластик, полиэстер
Размер: 25*440мм (в сложенном виде)
Упаковка: OPP пакет
Примечание от фабрики: MOQ 200шт на 1 дизайн"," Дизайн: жаккардовое плетение, стоковые цвета фурнитуры",200,"5,5","468,0",55-60,,,,14 900,12,22-24,
,,," Дизайн: жаккардовое плетение, выкрас фурнитуры",,"6,3","535,0",60-65,,,,19 900,15,22-24,
