,"Менеджер: 
Email: 
Телефон: ",,"Тищук Анастасия
tishuk.a@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д."
 ,Елочная игрушка,"Материал: костяной фарфор
Размер: 8,5 см
Упаковка: транспортировочная
Примечание от фабрики: цена ориентировочная за штуку", Дизайн: белье,250,"6,93

","581,85", 145 463,есть на складе(примерно. доставкой 30-35 дней),"7,69","646,17", 161 543,есть на складе(примерно с доставкой 20-25 дней),"16,000",20,30-32
,,, Дизайн: белье,45,"7,61","639,42
", 28 774,есть на складе(примерно. доставкой 30-35 дней),"8,36","701,85", 31 583,есть на складе(примерно с доставкой 20-25 дней),,,
,,, Дизайн: белье,500,"6,63
","556,65
", 278 325,"（примерно 400 шт в наличии), если нет в наличии 50-60 дней","7,37","619,08", 309 540,"（примерно 400 шт в наличии), если нет в наличии 40-50 дней",,,
,,," Дизайн: белье с ниткой
цвет серебро",650,,,,,"7,41","623,18", 405 067,"Производство: 30 - 35 дней
Доставка АВИА: 15 - 20 дней",,,
,,, Дизайн: цветная деколь,1000,"8,62","723,94", 723 940,85-90,"9,38","787,69", 787 690,75-80,,,
,,, Дизайн: цветная+золотая деколь,1000,"9,58
","804,98", 804 980,85-90,"10,34","868,60", 868 600,75-80,,,
,,, Дизайн: цветная деколь,450,"10,06","845,22", 380 349,60-75,"10,81","907,65", 408 443,50-65,,,
,,, Дизайн: цветная+золотая деколь,450,"10,96","920,35", 414 158,60-75,"11,70","982,78", 442 251,50-66,,,
