,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Брелок,"Материал: металл
Размер: 5х5 см
Упаковка: стоковая",2000,"3,8","346,3",40-45 дней,"4,31","396,77",30-35 дней,"8 900,00",17-19 дней,
,,,,,,,,,,,,
 ,Ремень с ПВХ вставками,"Материал: полиэстер, ПВХ
Размер: длина 1,2 м; диаметр 8мм
Упаковка: стоковая",500,"4,8","445,2",40-45 дней,"5,16","474,48",30-35 дней,"4 100,00",14-16 дней,
,,,,,,,,,,,,
 ,Навес 1 ,"Материал: полиэстер
Упаковка: стоковая",500,"3,1","285,1",40-45 дней,"3,7","338,83",30-35 дней,"7 300,00",20-22 дней,
,,,,,,,,,,,,
 ,Навес 2,"Материал: полиэстер
Размер: 13 х 9 см
Цвет: синий, серый
Нанесение логотипа на круглый брелок
Упаковка: стоковая",500,"3,8","353,5",30-35 дней,"4,06","373,53",20-25 дней,"11 100,00",19-20 дней,
,,,,,,,,,,,,
 ,Навес 3,"Материал: полиэстер
Упаковка: стоковая",500,"3,8","349,2",30-35 дней,"4,54","418,05",40-45 дней,"15 200,00",20-22 дней,
