,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шнурок для наушников,"Материал: нейлон
Размер: 80 см
Упаковка: сток пакет
Примечание от фабрики: минималка для брендирования 1000 шт"," Дизайн: нанесение лого, шелкография 1 цвет",1000,- (слишком маленький вес),,40-45,"2,4","209,6",25-30,8 500,7,17-19,
,,,,5000,"1,9","160,3",,"1,9","164,5",30-35,,,,
 ,Держатель для наушников,"Материал: силикон
Размер: 3.2 х 0.9 см
Упаковка: сток пакет
Примечание от фабрики: минималка для брендирования 1000 шт"," Дизайн: нанесение лого, шелкография 1 цвет",1000,- (слишком маленький вес),,,"1, 1","95,6",25-30,4 850,3,13-15,
,,,,5000,,,,1,"86,8",30-35,,,,
 ,Держатель для наушников,"Материал: силикон
Размер: длина - 70 см
Упаковка: OPP пакет
Примечание от фабрики:
*минимальный тираж для нанесения лого - 300 шт 
*в держателях установлены магниты, которые скрепляют концы"," Дизайн: нанесение лого, шелкография 1 цвет (лого должет быть очень маленьким, так как маленькая площадь нанесения); цвет из наличия (нужно уточнять по наличию перед заказом)",300,"0,9","79,2",35-40,"1,1","90,7",25-30,4 500,5,15-17,
,,,,500,"0,9","73,2",35-40,"1,0","84,7",25-30,,,,
,,,,1000,"0,8","69,4",40-45,"1,0","80,5",30-35,,,,
 ,Держатель для наушников 3,"Материал: силикон, полиэстер
Размер: длина - 80 см
Упаковка: OPP пакет
Примечание от фабрики:
*есть два варианта по цвету - красный и черный", Дизайн: только из наличия (фабрика не делает персональный дизайн для этого варианта держателя),100,"4,6","393,2",30-35,"4,8","409,1",20-25,3 000,3,13-15,
,,,,300,"4,0","343,4",30-35,"4,2","359,0",20-25,,,,
,,,,500,"4,0","337,1",35-40,"4,2","352,5",25-30,,,,
,,,,1000,"3,6","301,9",35-40,"3,7","316,8",25-30,,,,
 ,Шнурок для наушников,"Материал: силикон, полиэстер
Размер: длина 1 м, толщина шнурка 6 мм
Упаковка: OPP пакет
Примечание от фабрики: можно выбрать шнурок из раскладки фабрики
*силиконовые держатели из наличия, есть несколько цветов на выбор (в доп фото)", Дизайн: шнурок из раскладки фабрики,5000,"2,4","201,7",40-45,"2,8","233,5",30-35,4 500,7,17-19,
,,,,10000,"2,2","182,7",,"2,5","212,6",,,,,
 ,Шнурок для наушников,"Материал: силикон, полиэстер
Размер: длина 1 м, толщина шнурка 6 мм
Упаковка: OPP пакет
Примечание от фабрики: плетение шнурка из цветов на выбор
*силиконовые держатели из наличия, есть несколько цветов на выбор (в доп фото)"," Дизайн: плетение шнурка по макету, 2 цвета, макет необходимо согласовать с фабрикой",5000,"2,9","244,0",50-55,"3,2","275,8",40-45,4 500,7,17-19,
,,,,10000,"2,6","217,8",,"2,9","247,7",,,,,
 ,Коробочка для хранения наушников,"Материал: РР пластик
Размер: 75 х 75 х 35 мм
Упаковка: OPP пакет
", Дизайн: лого шелкографией по макету,1000 (мин),"1,3","114, 6",35-40,"1,6","141,7",25-30,14 650,12,22-24,
,,,,5000,"1,2","105, 2",,"1,5","131,3",,,,,
,,,,10000,"1, 1","97, 1",,"1,4","122,5",,,,,
 ,Наушники проводные ,"Материал: силикон, пластик
Размер: длина 1.2 м, толщина шнурка 3.5 мм
Упаковка: OPP пакет
Примечание от фабрики: Type-C или обычный порт, есть свой черный футляр для хранения наушников"," Дизайн: лого по макету, выкрас в пантон, нанесение бирки",2000 (мин),"10,7","913, 3",55-60,"10,8",925,45-50,8 550,7,17-19,
,,,,5000,"10,2","873, 9",,"10,4","885,2",,,,,
,,,,10000,"9,8","835, 5",,"9,9","846,5",,,,,
