,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Носки,"Материал: хлопок
Размер: женский (36-39), мужской (40-44)
Упаковка: OPP пакет
Примечание от фабрики: 

Окончательная стоимость после образца "," Дизайн: 
- нитки в цвет, максимально приближенный к пантону
- pvc нашивка по макету",500,"2,2","213,3",35-40,"2,37","231,08",25-30,"20 500,00",15-17,
,,,,1000,"2,17","211,63",,"2,35","229,38",,,,
,,," Дизайн: 
- нитки в цвет, максимально приближенный к пантону
- тканевая нашивка с вышивкой по макету",500,"2,6","255,6",35-40,"2,8","273,32",25-30,"20 500,00",15-17,
,,,,1000,"2,6","253,87",,"2,78","271,62",,,,
,,," Дизайн: 
- нитки в цвет, максимально приближенный к пантону
- жаккардовая нашивка по макету",500,"1,9","185,2",35-40,"2,08","202,92",25-30,"15 500,00",13-17,
,,,,1000,"1,88","183,47",,"2,06","201,22",,,,
 ,Сумка поясная / через плечо,"Материал: ПВХ
Размер: 35*20 см
Упаковка: индивидуальный пластиковый пакет
Примечание от фабрики: подбор материала и фурнитуры во время проработки образца. Цена примерная точная стоимость после изготовления образца"," Дизайн: открытие формы, индивидуальный размер, выбор цвета материала из раскладки, печать логотипа в 1 цвет, фурнитура, молнии, резиночки со стопперами как на референсе",1000,"11,5","1123,4",45-50,"11,78","1149,53",35-40,50500- вкл. открытие формы,19-22,
 ,Картхолдер,"Материал: ПВХ
Размер: 10,8*7,4 см
Цвет: из раскладки
Конструкция: картхолдер с 3 кармашками для карт, прямоугольная бирка из кожзама с тиснением логотипа, металлическая фурнитура с карабинчиком
Упаковка: индивидуальный пластиковый пакет
Примечание от фабрики: Цена примерная точная стоимость после изготовления образца"," Дизайн: нанесение логотипа шелкографией на картхолдер, тиснение логотипа на бирке",500,"5,2","509,7",55-60,"5,42",529,45-50,"11 000,00",19-22,
,,,,1000,"4,6","451,5",,"4,81","469,75",,,,
 ,Чехол для ноутбука ,"Материал: фетр+ PVC 
Размер:  13 дюймов-24,5*33,5
16 дюймов- 39x28см
Упаковка: индивидуальный пластиковый пакет
Примечание от фабрики: Цена примерная точная стоимость после изготовления образца", Дизайн: ,500,"14,9","1451,6",60-65,16,"1561,1",50-55,"15 000,00",17-19,
,,,,1000,"14,7","1435,8",,"15,8","1545,3",,,,
