,"Менеджер: Соколова Милана
Email: milanas@megamind.ru
Телефон: +8 (925) 621-75-43
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,косметичка,"Материал: полиэстер + PU
Размер: 17*25*5 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: ,200,"20,222","2082,87",60-65,"21,813","2246,71",50-55,9 000,12,22-24,
,,,,300,"17,337","1785,68",60-65,"18,942","1951,00",50-55,,,,
 ,Косметичка,"Материал: Полиэстер, внутри подкладочная ткань плотностью 210T
Размер: 14*16*24 см
Упаковка: ОПП-пакет                                                                                                     Цвета: чёрный, серый, синий
Примечание от фабрики: изменить ткань подклады или добавить логотип можно при тираже от 500 шт. "," Дизайн: сток, кастом возможен при тираже от 500 шт.",200,"4,470","460,73",32-37,"5,190","534,39",22-27,7 000,3-5,18-20,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: Полиэстер
Размер: 11,5*15,5 см
Упаковка: ОПП-пакет                                                                                                     Цвета: чёрный, песочный, розовый, хаки
Примечание от фабрики: добавить логотип можно при тираже от 500 шт. "," Дизайн: сток, кастом возможен при тираже от 500 шт.",200,"3,370","347,03",32-37,"4,230","436,02",22-27,2 300,3-5,18-20,
,,,,,,,,,,,,,,
 ,Мяч,"Материал: резина
Размер: 7 (мужской или взрослый)
Упаковка: нет. В коробку упаковываются в сдутом виде.
Примечание от фабрики: выкрас мяча полностью по макету клиента"," Дизайн: цвет по макету клиента, возможна печать одноцветного лого",150,"21,000","2163,00",35-40,"23,360","2405,95",25-30,6 100,10,20-22,
,,,,,,,,,,,,,,
 ,Сумка-шоппер,"Материал: плотный хлопок
Размер: А4, по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: доступен выкрас в пантон от большего количества, печать лого от большего количества
Цвет: черный, сток", Дизайн: нет,300,"8,570","883,11",35-40,"9,510","979,42",25-30,7 300,5,15-17,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: PU
Размер: 26*12,5*12
Упаковка: ОПП-пакет                                                                                                     Цвета: черный , караменьно-коричневый. серый с челеным оттенком ,молочный
", Дизайн: нанесение лого способом термотрансфер,200,"6,2","638,10",40-45,"6,85","705,90",30-35,9 500,10,20-22,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: PU
Размер: 16,5*11,5*7
Упаковка: ОПП-пакет                                                                                                     Цвета: розовый , голубой , синий , желтый , каралловый
", Дизайн: нанесение лого способом шелкография в один цвет,200,"2,77","285,64",35-40,"3,08","317,42",25-30,5 500,7,17-19,
,,,,,,,,,,,,,,
 ,Ракетка,"Материал: пластик, резина
Упаковка: ОПП-пакет
Примечание от фабрики: в комплекте идут две ракетки и три шарика, комплект упакован в специальную сумочку                                                                                              ", Дизайн: лого могут нанести методом нанесения наклейка на ручке ракетки ,150,"10,17","1047,48",35-40,"12,090","1245,23",25-30,32 400,7,19-20,
,,,,,,,,,,,,,,
 ,Биван,"Материал: Полиэстер
Размер: 190*70
Упаковка: ОПП-пакет                                                                                                     Цвета: розовый , голубой , синий , желтый , каралловый
", Дизайн: лого клиента могут нанести методом шелкографии на боковых сторонах в один цвет ,200,"10,36","1 066,76 ₽",32-37,"12,250","1261,68",22-27,8 300,5,17-18,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: PU
Размер: 26*12,5*12
Упаковка: ОПП-пакет                                                                                                     Цвета: молочный с караменьно-коричневым . черный с карамельно-коричневым
", Дизайн: нанесение лого способом тиснение,200,"8,9","918,31",35-40,"9,660","994,58",25-30,9 600,4,14-16,
,,,,,,,,,,,,,,
 ,Косметичка,"Материал: PU
Размер: 11*6*5,5
Упаковка: ОПП-пакет                                                                                                     Цвета: 
выкрас в нужный цвет пантона "," Дизайн:  нанесение лого при тираже от 500 шт., выкрас в пантон от 200 шт",200,"8,7","894,22",45-50,"9,34","962,02",35-40,9 500,5,15-17,
,,,,,,,,,,,,,,
 ,Скакалка,"Материал: ABS + TPR + PVC со стальными нитями
Размер: ручки 17*2,5 СМ
Упаковка: холщовая сумка, в комплекте мешочек для хранения и кабель для зарядки
Цвета: черный, розовый, голубой

Зарядка через USB C
Подключение по Bluetooth 5,1
Возможно переключение режимов дисплея - задать цель кол-ва прыжков / времени занятий / свободный режим", Дизайн:  сток,70,"17,1","1765,04",37-42,"19,31","1989,38",27-32,7 100,1,11-13,
,,,,,,,,,,,,,,
 ,Ракетка,"Материал: пластик, резина
Упаковка: ОПП-пакет
Примечание от фабрики: в комплекте идут две ракетки и три шарика, комплект упакован в специальную сумочку", Дизайн: лого могут нанести методом нанесения наклейки на ручке ракетки ,150,"6,3","664,26",32-37,"7,75","821,25",22-27,4 800,7,17-19,
