,"Менеджер: 
Email: 
Телефон: ",,"Казакова Екатерина
kate.k@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Жироль с ручкой ,"Материал: дерево, металл
Размер: 14,5*23см 
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: печать логотипа клиента, способ нанесения - лазерная гравировка ",200,"35,53","3112,92", 622 584,35-40,,,  ,,"11,300",5,15-17,
,,,,,,,,,,,  ,,,,,
 ,Жироль без ручки ,"Материал: дерево, металл
Размер: 14,3*22,2 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: печать логотипа клиента, способ нанесения - лазерная гравировка ",200,"27,96","2461,49", 492 298,35-40,,,  ,,"12,400",5,15-17,
 ,Икорница металлическая (1 вариант) ,"Материал: металл
Размер: 9,8*4,2 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: печать логотипа клиента, способ нанесения - лазерная гравировка ",200,"0,72","61,45", 12 290,35-40,,,  ,,"3,300",5,15-17,
 ,Икорница металлическая (2 вариант) ,"Материал: металл
Размер: 35*31*9,5 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Товар доступен в серебряном цвете. В случае смены цвета возможно отклонение от предоставленной цены

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: печать логотипа клиента, способ печати - лазерная гравировка (черный цвет, без цветной печати)  ",200,"67,53","5838,97",1 167 794,40-45,,,  ,,"9,500",15,25-27,
 ,Икорница стеклянная ,"Материал: стекло
Размер: см. доп. фото
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: печать логотипа клиента на верхней части изделия, способ нанесения - деколь",4000,"8,53","746,88",2 987 520,45-50,,,  ,,"13,000",20,30-32,
 ,Плед ,"Материал: 30% шерсть, 70% акрил
Размер: 120*150 см
Плотность: 450 гр
Упаковка: заводская упаковка 
Примечание от фабрики: 
"," Дизайн: по макету клиента, 2 цвета+бахрома",2000,"30,19",2592.4,5 184 800,65-70,,,  ,,"42,000",17,27-29,
 ,Жироль с ручкой ,"Материал: мрамор 
Размер: 16,3*21 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна ", Дизайн: сток Кастомизация невозможна  ,200,"40,11","3555,14", 711 028,35-40,,,  ,,"9,500",15,25-27,
 ,Жироль с ручкой ,"Материал: мрамор 
Размер: 14*22,5 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Выкрас невозможен

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: сток 
Кастомизация невозможна  ",200,"51,2","4552,93", 910 586,35-40,,,  ,,"9,500",10,20-22,
 ,Икорница металлическая (3 вариант) ,"Материал: металл
Размер: 12*12*5 см
Упаковка: заводская упаковка 
Примечание от фабрики: 

Товар доступен в серебряном цвете. 

Цена является ориентировочной, более точный цены могут быть предоставлены после утверждения макета дизайна "," Дизайн: сток 
Кастомизация невозможна  ",200,"39,28","3362,03", 672 406,40-45,,,  ,,"5,000",15,25-27,
