,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Пенал,"Материал: ЭВА
Размер: 22х10х4,5 см
Цвет: розовый, синий
Настройка цвета и печати по макету клиента, сублимация 
Упаковка в прозрачный пакет","15000

20000

25000","2,12

2,06

1,99","208

201

195",60-65 кд,16000 руб ,20-22 кд,
,Пенал,"Материал: ЭВА
Размер: 22х10х4,5 см
Цвет: фабричный рисунок
Добавление лого клиента, шелкография, сублимация на обратной стороне 
Упаковка в прозрачный пакет","15000

20000

25000","1,9

1,84

1,78","187

181

175",60-65 кд,16000 руб ,22-24 кд,
,Пенал,"Материал: Оксфорд
Размер: 22х10х5 см
Настройка цвета и рисунка по макету клиента, цифровая печать
Упаковка в прозрачный пакет","15000

20000

25000","2,62

2,52

2,43","255

246

237",60-65 кд,10500 руб,20-22 кд,
,Ручка,"Материал: пластик
Размер: 14,3 см
Настройка цвета и рисунка по макету клиента
Упаковка в прозрачный пакет","15000

20000

25000","0,42

0,40

0,39","40,53

39,31

38,11",60-65 кд,85300 руб,22-24 кд,
,Ручка,"Материал: пластик
Размер: 14,3 см
Фабричный рисунок, логотип шелкография в один цвет
Упаковка в прозрачный пакет","15000

20000

25000","0,37

0,36

0,35","36,37

35,28

34,19",60-65 кд,4900 руб,20-22 кд,
,Ручка,"Материал: пластик, ПВХ
Размер: 14 см
Настройка ПВХ фигурки и логотипа, шелкография
Упаковка в прозрачный пакет","15000

20000

25000","0,40

0,38

0,37","38,59

37,18

36,61",60-65 кд,57600 руб,20-22 кд,
,Ручка,"Материал: пластик, ПВХ
Размер: 18,4 см
Фабричная фигурка, настройка логотипа, шелкография
Упаковка в прозрачный пакет","15000

20000

25000","0,31

0,31

0,30","30,41

30,38

30,09",60-65 кд,7700 руб,20-22 кд,
,Стираемая ручка,"Материал: пластик
Размер: 14,5 см
Фабричная модель, настройка логотипа шелкография
Упаковка в прозрачный пакет","15000

20000

25000","0,39

0,37

0,36","37,76

36,35

35,26",60-65 кд,16000 руб,20-22 кд,
,Стирательная резинка,"Материал: ПВХ
Размер: 4,1х1,3х1,7 см
Цвет изделия фабричный
Настройка печати на шубере, цифровая печать","15000

20000

25000","0,33

0,32

0,31","32,89

31,89

30,91",60-65 кд,18800 руб,22-24 кд,
,Линейка,"Материал: пластик
Размер: 16х3 см
Полная запечатка по макету клиента, УФ-печать","15000

20000

25000","0,39

0,38

0,36","37,62

36,48

35,36",60-65 кд,10500 руб,22-24 кд,
,Линейка,"Материал: дерево
Размер: 16х3 см
Полная запечатка по макету клиента, УФ печать
Упаковка в прозрачный пакет","15000

20000

25000","0,47

0,46

0,46","45,38

44,52

43,95",60-65 кд,4900 руб,22-24 кд,
,Линейка,"Материал: дерево
Размер: 15х3 см
Настройка формы и цвета по макету клиента, УФ печать
Упаковка в прозрачный пакет","15000

20000

25000","0,54

0,57

0,60","51,49

54,23

56,99",60-65 кд,7700 руб,22-24 кд,
,"Цветные карандаши, упаковка 12 штук","Материал: дерево
Размер: 17 см
Настройка коробки по макету клиента, цифровая печать","15000

20000

25000","2,15

2,09

2,03","211,02

204,78

198,56",60-65 кд,21500 руб,22-24 кд,
,"Цветные карандаши, упаковка 12 штук","Материал: дерево
Размер карандаша: 17 см
Фабричная коробка","15000

20000

25000","1,52

1,47

1,43","151,38

146,90

142,43",60-65 кд,2500 руб,22-24 кд,
,"Цветные карандаши, упаковка 6 штук, 12 цветов","Материал: дерево
Размер карандаша: 17,8 см
Фабричная коробка
Размер коробки: 20,3х4,6х0,8 см","15000

20000

25000","1,11

1,11

1,10","108,89

108,23

107,46",60-65 кд,2300 руб,22-24 кд,
ИЗГОТОВЛЕНИЕ (цены и сроки примерные),,,,,,,,,
,Пенал 3D,"Материал: EVA, оксфорд
Размер: стандартный 22*4*10см или свой
Свой дизайн","15000

20000

25000","2,74

2,65

2,56","271,83 ₽

263,04 ₽

254,26 ₽","55-60кд

60-65кд

65-70кд","16 205,11 ₽",30-35кд,
,Линейка деревянная со своим персонажем и двухсторонней запечаткой,"Материал: дерево
Размер: 15см + 2см фигурка примерно
Нанесение: уф-печать","15000

20000

25000","0,80

0,77

0,74","77,93 ₽

75,39 ₽

72,87 ₽","55-60кд

60-65кд

65-70кд","4 643,43 ₽",22-24кд,
,Линейка деревянная,"Материал: дерево
Размер: 15см
Нанесение: уф-печать","15000

20000

25000","0,61

0,60

0,59","58,12 ₽

57,32 ₽

56,15 ₽","45-50кд

50-55кд

55-60кд",4 602 ₽,20-22кд,
,Ластик с шубером,"Материал: TPR-резина
Размер: 5*2,5*0,9см
Запечатка шубера","15000

20000

25000","0,36

0,35

0,34","35,26 ₽

34,28 ₽

33,56 ₽","55-60кд

60-65кд

65-70кд",35 070 ₽,30-32кд,
,Карандаши цветные в коробке,"Материал: гофрокартон, дерево
Количество цветов: 12
Запечатка коробки 18*9*0.8см","15000

20000

25000","1,09

1,03

0,97","107,54 ₽

101,60 ₽

95,83 ₽","60-65кд

70-75кд

75-80кд",10 446 ₽,30-35кд,
,Карандаши цветные в тубусе,"Материал: гофрокартон, дерево
Количество цветов: 12
Запечатка коробки 18*3см","15000

20000

25000","2,34

2,25

2,17","233,44 ₽

224,66 ₽

216,45 ₽","60-65кд

70-75кд

75-80кд",19 191 ₽,25-27кд,
НАЛИЧИЕ,,,,,,,,,
,Пенал,"Материал: EVA, оксфорд
Размер: стандартный 22*4*10см","15000

20000

25000","2,65

2,56

2,48","263,16 ₽

254,65 ₽

246,15 ₽","45-50кд

50-55кд

55-60кд","2 433,24 ₽",17-19кд,
,Карандаши цветные в фабричной коробке,"Материал: гофрокартон, дерево
Количество цветов: 12
Коробка 18*9*0.8см","15000

20000

25000","1,04

0,98

0,94","102,48 ₽

97,19 ₽

93,46 ₽","45-50кд

50-55кд

55-60кд",2 263 ₽,17-19кд,
,Ручка шариковая 10-ти цветная с фигуркой,"Материал: пластик
Шарик: 0,5мм
Цвета: желтый, синий, зеленый, фиолетовый, красный, оранжевый, черный, голубой, коричневый, розовый","15000

20000

25000","0,76

0,75

0,73","74,14 ₽

72,63 ₽

71,14 ₽","45-50кд

50-55кд

55-60кд",3 445 ₽,17-19кд,
,Ластик в шубере,"Материал: TPR-резина
Размер: 4*1,6*1,3см

ВНИМАНИЕ: на всех фабричных шуберах есть китайская маркировка с иероглифами, их нельзя убрать","15000

20000

25000","0,27

0,26

0,25","26,65 ₽

25,76 ₽

24,89 ₽","45-50кд

50-55кд

55-60кд","1 924,53 ₽",17-19кд,
,Линейка пластиковая,"Материал: пластик
Размер: 15см","15000

20000

25000","0,48

0,47

0,46","45,40 ₽

44,47 ₽

43,54 ₽","45-50кд

50-55кд

55-60кд",1 869 ₽,17-19кд,
