,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шарф ,"ширина 30 см, длина 220 см 
двухсторонний принт + бирка (если возможно) ","Материал: 100% шерсть
Размер: 30*220 см
Упаковка: индивидуальный пакет
Примечание от фабрики: двустороннюю вязку фабрика может сделать только из 100% шерсти, минимальный тираж 500 шт"," Дизайн: 
- индивидуальная вязка
- бирка пвх+жаккард",500,"24,6","2094,2",45-50,"26,1","2221,7",35-40,10 000,5,15-17,
,,,,,1000,"22,1","1881,3",50-55,"23,6","2008,8",40-45,,,,
,,,,,3000,"19,7","1677,7",60-65,"21,2","1801,2",50-55,,,,
,,,,,5000,"18,0","1529,6",65-70,"19,4","1649,2",55-60,,,,
 ,Поздравительная открытка с перфорацией ,"Дизайнерский картон soft-touch
220 мм *110 мм","Материал: дизайнерский картон, плотность 300г/м2
Размер: 220*110 мм
Упаковка: OPP пакет
Примечание от фабрики: нужен макет в формате ai для запуска образца и расчета точной стоимости "," Дизайн: перфорированный конверт + открытка, материал на выбор из раскладки фабрики, полная запечатка в цвет по макету с 2 сторон",300,"2,5","213,6",40-45,"2,9","245,3",30-35,15 000,7,17-19,
,,,,,1000,"1,8","154,9",40-45,"2,2","186,7",30-35,,,,
,,,,,3000,"1,1","91,1",45-50,"1,5","122,9",35-40,,,,
,,,,,5000,"1,0","85,4",45-50,"1,4","117,2",35-40,,,,
 ,Коробка с шуером из оргстекла ,"кашированный картон 
30*30*15 см
шубер по размеру подходящий к коробке ","Материал: картон, плотность 1200г/м2
Размер: 30*30*15 см
Упаковка: шубер, OPP пакет
Примечание от фабрики: 
*точная стоимость после образца 
*для запуска образца нужен ai макет "," Дизайн: 
- производство в точности по макету, цвета в пантнон, печать лого  с кьюар-кодом на внутренней части крышки
- шубер из TPU , печать рисунка и лого на шубере",300,"33,2","2821,5",45-50,"45,1","3833,0",35-40,33 500,7,17-19,
,,,,,1000,"29,6","2519,1",45-50,"41,5","3530,6",35-40,,,,
,,,,,3000,"25,4","2159,9",50-60,"37,3","3171,4",40-45,,,,
,,,,,5000,"24,6","2090,1",50-60,"36,5","3101,6",40-45,,,,
 ,Снежный шар,"диаметр шара 12 мм
внутри подснежники + подставка с логотипом (объемное нанесение)
коробка из кашированного картона с магнитами ","Материал: смола, стекло
Размер: диаметр шара 12 см, подставка 10*6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*минимальный тираж - 500 шт"," Дизайн: 
- производство внутренней композиции по макету 
- размер снежинок на выбор (также возможно добавить блестки)
- подставка в пантон, тампопечать лого на подставке в 1 цвет",500,"27,6","2447,5",70-75,"33,7","3015,7",60-65,65 500,15,25-27,
,,,,,1000,"27,0","2396,0",70-75,"33,1","2964,3",60-65,,,,
,,,,,3000,"25,9","2303,8",75-80,"31,9","2862,0",65-70,,,,
,,,,,5000,"25,1","2227,7",75-80,"31,0","2779,2",65-70,,,,
 ,Коробка для снежного шара,"диаметр шара 12 мм
внутри подснежники + подставка с логотипом (объемное нанесение)
коробка из кашированного картона с магнитами ","Материал: картон
Размер: примерно 18*18*20 см (точный размер на образце)
Упаковка: индивидуальный пакет
Примечание от фабрики: 
*точная стоимость после образца 
*для запуска образца нужен ai макет "," Дизайн: 
- производство в точности по макету, цвета в пантнон, печать рисунка
",500,"33,2","2078,1",50-55,"45,1","2289,1",40-45,50 000,7,17-19,
,,,,,1000,"29,6","1879,3",50-55,"41,5","2103,1",40-45,,,,
,,,,,3000,"25,4","1672,9",55-60,"37,3","1743,5",45-50,,,,
,,,,,5000,"24,6","1589,2",55-60,"36,5","1692,0",45-50,,,,
 ,Плед вязанный ,100*150 см,"Материал: 5% шерсть, 95% акрил, круговая жаккардовая вязка 3 цветов
Размер: 100*150 см
Упаковка: индивидуальный пакет"," Дизайн: 
- индивидуальная вязка
- текстильная бирка жаккард",300,"32,3","2748,2",45-50,"35,3","2996,3",35-40,10 300,5,15-17,
,,,,,1000,"29,4","2501,3",50-55,"32,3","2749,3",40-45,,,,
,,,,,3000,"27,3","2323,6",60-65,"30,2","2563,9",50-55,,,,
,,,,,5000,"25,4","2154,7",65-70,"28,1","2387,3",55-60,,,,
