,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Брелок,"Материал: металл
Размер: ~4*3см
Упаковка: OPP пакет
Примечание от фабрики: односторонний брелок
Срок открытия формы НЕ включен в срок тиража (10 дней)", Дизайн: индивидуальная форма,500,"3,3","289,0",45-50,"3,5","306,0",35-40,"24300
открытие формы",10,20-22,
,,,,1000,"2,9","252,0",45-50,"3,1","270,0",35-40,,,,
,,,,1500,"2,7","239,0",50-55,"2,9","257,0",40-45,,,,
 ,Значок на магните,"Материал: металл
Размер: ~4*3см
Упаковка: OPP пакет
Примечание от фабрики: Срок открытия формы НЕ включен в срок тиража (10 дней)", Дизайн: индивидуальная форма,500,"3,0","261,0",45-50,"3,2","279,0",35-40,"19300
открытие формы",10,20-22,
,,,,1000,"2,6","230,0",45-50,"2,8","247,0",35-40,,,,
,,,,1500,"2,5","219,0",50-55,"2,7","237,0",40-45,,,,
 ,Значок-пин,"Материал: металл
Размер: ~4*3см
Упаковка: OPP пакет
Примечание от фабрики: Срок открытия формы НЕ включен в срок тиража (10 дней)", Дизайн: индивидуальная форма,500,"2,8","242,0",45-50,"3,0","259,0",35-40,"19300
открытие формы",10,20-22,
,,,,1000,"2,4","210,0",45-50,"2,6","227,0",35-40,,,,
,,,,1500,"2,3","199,0",50-55,"2,5","217,0",40-45,,,,
 ,Набор наклеек,"Материал: ПВХ синтетическая бумага, самоклеящийся материал
Размер: А6
Упаковка: OPP пакет
Примечание от фабрики", Дизайн: индивидуальный дизайн,500,"1,94","166,22 ₽",35-40,"2,0","176,21 ₽",25-30,8 500,5,15-17,
,,,,1000,"1,59","136,97 ₽",35-40,"1,70","146,96 ₽",25-30,,,,
,,,,1500,"1,25","107,71 ₽",35-40,"1,36","117,70 ₽",25-30,,,,
 ,ПВХ брелок с джибитсами,"Материал: ПВХ
Размер: 10*4
Упаковка: OPP пакет
Примечание от фабрики"," Дизайн: индивидуальный дизайн, 7 форм джибитсов",500,"4,35","371,05 ₽",40-45,"4,44","379,46 ₽",30-35,96 100,8,18-20,
,,,,1000,"2,95","252,03 ₽",40-45,"3,04","260,45 ₽",30-35,,,,
,,,,1500,"2,25","192,86 ₽",40-45,"2,34","201,27 ₽",30-35,,,,
 ,Тату-пак,"Материал: бумага, PET
Размер: А5
Упаковка: OPP пакет
Примечание от фабрики: груз слишком легкий, нужно отрпавлять вместе с другими позициями, иначе стоимость доставки вырастет", Дизайн: индивидуальный дизайн,300,"0,98","85,00 ₽",40-45,"1,05","91,00 ₽",30-35,9 300,5,15-17,
,,,,500,"0,80","70,00 ₽",40-45,"0,87","77,00 ₽",30-35,,,,
,,,,1000,"0,64","56,00 ₽",45-50,"0,71","63,00 ₽",35-40,,,,
,,,,1500,"0,51","46,00 ₽",45-50,"0,58","52,00 ₽",35-40,,,,
 ,Плед,"Материал: полиэстер
Размер: 120*120см
Упаковка: OPP пакет 
Примечание от фабрики: односторонний принт, с другой стороны белый"," Дизайн: стоковый принт капусты, жаккардовая бирка с лого ~2*3cm",20,"18,72","1 592,00 ₽",40-45,"22,46","1 910,00 ₽",30-35,12 700,5,15-17,
,,,,50,"16,80","1 430,00 ₽",40-45,"20,54","1 747,00 ₽",30-35,,,,
,,,,100,"16,17","1 375,00 ₽",40-45,"19,91","1 692,00 ₽",30-35,,,,
,,,,500,"15,65","1 331,00 ₽",45-50,"19,39","1 649,00 ₽",35-40,,,,
,,,,1000,"15,31","1 302,00 ₽",45-50,"19,05","1 620,00 ₽",35-40,,,,
,Кружка,"Материал: Пищевой полипропилен, внутри нержавеющая сталь 304
Размер: 550мл, габариты указаны на фото
Упаковка: стандартная заводская цветная коробка
Примечание от фабрики:"," Дизайн: Удаление заводского принта, шеклография с двух сторон изделия по макету клиента один цвет",500,"8,59","760,00 ₽",45-50,"8,98","851,63 ₽",35-40,10 500,7,17-19,
,Кардхолдер,"Материал: PU
Упаковка: OPP пакет", Дизайн: печать лого 1 цвет,100,"5,01","434,00 ₽",40-45,"5,31","462,00 ₽",30-35,7 100,9,19-21,
,Шоппер,"Материал: Хлопок 450г/м3
Упаковка: ОРР пакет
Примечание от фабрики:  черные ручки, 40*27*12см ,ручки 64см", Дизайн: печать по макету клиента с двух сторон в один цвет методом шелкографии,300,"8,04","679,28 ₽",50-55,"8,79","720,95 ₽",40-45,10 500,7,10-12,
,,,,500,"6,63","588,85 ₽",50-55,"7,73","691,70 ₽",40-45,,,,
,Шоппер,"Материал: Хлопок 450г/м3
Упаковка: ОРР пакет
Примечание от фабрики:   зеленые ручки и ремень. 42*36см,короткие ручки-30см, ремень с регулировкой длинна 120см", Дизайн: печать по макету клиента с двух сторон в один цвет методом шелкографии,300,"7,69","708,53 ₽",50-55,"9,14","811,38 ₽",40-45,12 500,7,10-12,
,,,,500,"6,97","618,10 ₽",50-55,"8,07","782,13 ₽",40-45,,,,
,Кепка,"Материал: Хлопок
Упаковка: ОРР пакет
Примечание от фабрики:   Необходимо оформление ДС+ЧЗ (примерная стоимость 30 тыс. руб.), не входит в стоимость"," Дизайн: выбор цвета основного материала, нанесение многоцветного принта по макету клиента на шеврон. а также под него (см. доп фото)",300,"9,58","832,07 ₽",55-60,"10,52","919,49 ₽",45-50,14 000,12,22-24,
,Стакан,"Материал: алюминий
Размер: 84*128мм
Объем: 450мл
Упаковка: OPP пакет
Примечание от фабрики: меняет цвет от холодной воды", Дизайн: индивидуальный паттерн,500,"6,18","530,00 ₽",55-60,"6,39","550,00 ₽",45-50,22 000,14,24-26,
,,,,1000,"3,09","267,00 ₽",60-65,"3,29","287,00 ₽",50-55,,,,
