,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Поп-сокет,"Материал: 
Размер: 4 х 3.5 х 0.3 см
Упаковка: индивидуальный пакет", Дизайн: сток,800,слишком маленький вес,,,"0,6","51,3",15-20,1 520,2,12-14,
 ,Стакан,"Материал: пластик
Размер: 475 мл
Упаковка: сток пакет
", Дизайн: сток,500,слишком маленький вес,,,"2,6","239,5",15-20,2 200,2,12-14,
 ,Подставка для телефона,"Материал: пластик, металл
Размер: 52.5 х 14 х 3.5 мм
Упаковка: сток пакет
", Дизайн: сток,1600,слишком маленький вес,,,"1,2","111,0",15-20,2 000,2,12-14,
 ,Блокнот,"Материал: пластик, металл
Размер: 10.2 х 10.5 см
Упаковка: сток пакет
"," Дизайн: сток (выкрас в белый цвет, без нанесения)",1700,"1,3","112,1",37-42,"1,7","140,1",27-32,1 800,2,12-14,
,,," Дизайн: выкрас в белый цвет, печать лого 2х2 см",1700,"1,4","117,9",40-45,"1,7","146,7",30-35,11 950,7,17-19,
 ,Брелок-рулетка,"Материал: пластик
Размер: 5.3 х 4.9 х 1.3 см
Упаковка: сток пакет
", Дизайн: сток ,3000 (мин),"1,5","128,7",55-60,"1,7","140,4",45-50,1 800,2,12-14,
,,," Дизайн: стоковый красный, печать лого 2х2 см",5000 (мин),"1,8","154,1",55-60,"2,0","165,7",45-50,11 950,7,17-19,
 ,Брелок-рулетка,"Материал: пластик
Размер: 5.3 х 4.9 х 1.3 см
Упаковка: сток пакет
", Дизайн: сток ,1000,"0,7","62,8",35-40,"0,8","70,3",25-30,1650 (нет в красном цвете),2,12-14,
 ,Подставка для телефона,"Материал: пластик ABS
Размер: 8 x 6 cм
Упаковка: сток коробка
", Дизайн: сток,1600,"0,7","59,9",30-35,"0,8",67,20-25,2 490,2,12-14,
,,, Дизайн: лого УФ печать,,"0,8","64,9",35-40,"0,8",72,25-30,6 350,4,14-16,
 ,Подставка для телефона,"Материал: сплав
Размер: 55×10×3.5 мм
Упаковка: сток пакет
", Дизайн: сток,1600,слишком маленький вес,,,"1,2","102,1",13-15,2 420,2,12-14,
,,, Дизайн: лого УФ печать,,,,,"1,2","107,1",17-19,4 350,3,13-15,
