,"Менеджер: Магасумов Арсений
Email: arseny@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Навесной мобиль,"Материал: фетр (игрушки), бамбук (каркас)
Размер: диаметр каркаса - 22 см, длина игрушек - 10 см, длина нити для подвеса - 20 см
Упаковка: фабричная коробка
Примечание от фабрики: нанесение по макету клиента 



", Дизайн: вышивка логотипа на сток изделии,300,"17,0","1447,5",45-50,"18,3","1558,2",35-40,7 000,10,20-22,
,,,,500,"16,1","1370,6",55-60,"17,4","1481,3",45-50,,,,
,,,,1000,"15,2","1294,3",60-65,"16,5","1405,0",50-55,,,,
 ,Навесной мобиль,"Материал: текстиль (игрушки), бамбук (каркас)
Размер: диаметр каркаса - 22 см, длина игрушек ~ 10 см
Упаковка: фабричная коробка
Примечание от фабрики: 
Минимальные габариты игрушек - 5-6 см
Максимальные габариты игрушек - неограничено, по макету клиента

Габариты каркаса (диаметр) - 20/22/25 см 
Длина нити для подвеса - 20/25 см


Для точных цен и точного кастома обязательно нужен макет", Дизайн: вышивка фигурок по макету клиента,300,"18,3","1551,9",50-55,"19,6","1662,6",40-45,10 000,10,20-22,
,,,,500,"17,4","1482,5",55-60,"18,7","1593,2",45-50,,,,
,,,,1000,"16,5","1406,2",65-70,"17,9","1516,9",55-60,,,,
 ,Набор игрушек,"Материал: ХБ , фетр (сумка)
Размер: игрушки ~  5 см, сумка ~ 30х35 см
Упаковка: опп-пакет
Примечание от фабрики:  
5 дизайнов игрушек в наборе (груша,сыр,стакан,тарелка,клубника) + 1 подушка с пледом 
Максимальные габариты игрушек - 35/40 см
Минимальные габариты игрушек - 5/6 см

Максимальный размер пледа - 60х60 см
Минимальный размер пледа - 18х18 см

Цена за тираж указана без учёта стоимости формы (при условии, что сначала заказывается сигнальный образец и оплачивается форма, которую будут использовать в дальнейшем для производства тиража) 
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно"," Дизайн: по макету клиента, возможно нанесение лого на сумку (+7 руб)",300,"118,4","10062,1",70-75,"121,0","10284,9",60-65,115 000 (Запуск через сигнальник),17,27-29,
,,,,500,"73,3","6230,0",,"75,9","6452,7",,,,,
,,,,1000 (минимальный тираж),"37,6","3196,0",,"40,1","3408,2",,,,,
,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,
