,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Музыкальная карусель
Слайд 3","Материал: бук
Размер: 11х16 см
Упаковка: фабричная коробка
Примечание от фабрики: мин.тираж 312 шт", Дизайн: лазерная гравировка,312,"34,0","2965,4",80-85,"38,0","3336,3",70-75,23 700,30,40-42,
 ,"Музыкальная карусель
Слайд 5","Материал: бук
Размер: 11х16 см
Упаковка: фабричная коробка
", Дизайн: лазерная гравировка,100-300,"33,9","2952,1",60-65,"39,5","3472,1",50-55,13 300,10,20-22,
 ,"Снежный шар Карусель
Слайд 7","Материал: смола, стекло
Размер: 12 см
Упаковка: фабричная коробка
Примечание от фабрики: от 300 шт можно нанести логотип шелкографией на дно подставки", Дизайн: без кастома,100-300,"121,8","10348,9",90-95,"149,5","12704,2",80-85,19 700,5,15-17,
 ,"Снежный шар Глобус 
Слайд 10","Материал: смола, стекло
Размер: 12 см
Упаковка: фабричная коробка
Примечание от фабрики: от 300 шт можно нанести логотип шелкографией на дно подставки", Дизайн: без кастома,100-300,"122,4","10407,7",90-95,"149,6","12712,4",80-85,29 300,5,15-17,
 ,"Снежный шар со светящайся елкой 
Слайд 11","Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
Примечание от фабрики: от 300 шт можно нанести логотип шелкографией на дно подставки", Дизайн: без кастома,100-300,"74,7","6350,6",90-95,"91,5","7781,2",80-85,19 800,5,15-17,
 ,"Снежный шар Музыкальная снежинка 
Слайд 14","Материал: смола, стекло
Размер: 12 см
Упаковка: фабричная коробка
Примечание от фабрики: от 200 шт можно нанести логотип шелкографией", Дизайн: без кастома/с кастомом от 200 шт,100-300,"46,2","3925,7",90-95,"54,5","4633,0",80-85,12 000,5,15-17,
 ,"Снежный шар
индивидуальный","Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
Примечание от фабрики: мин.тираж 500 шт, на подставку из пластика мин.тираж 3000 шт

Стоимость ориентировочная, открытие форм на внутренние фигурки включено в стоимость"," Дизайн: индивидуальное изготовление, настройка форм",500,"59,9","5093,7",100-105,"76,8","6524,3",90-95,73 500,20,30-32,
 ,Снежный шар индивидуальный с музыкой и светом,"Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
Примечание от фабрики: мин.тираж 500 шт, на подставку из пластика мин.тираж 3000 шт

Стоимость ориентировочная, открытие форм на внутренние фигурки включено в стоимость"," Дизайн: индивидуальное изготовление, настройка форм",500,"65,8","5591,0",100-105,"82,6","7021,6",90-95,78 500,20,30-32,
 ,Снежный шар индивидуальный с обтяжкой искусственной кожей,"Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
Примечание от фабрики: мин.тираж 500 шт, на подставку из пластика мин.тираж 3000 шт

Стоимость ориентировочная, открытие форм на внутренние фигурки включено в стоимость"," Дизайн: индивидуальное изготовление, настройка форм",500,"62,9","5342,4",100-105,"79,7","6772,9",90-95,76 000,20,30-32,
 ,Шар с золотыми акцентами Слайд 13,"Материал: смола, стекло
Размер: 6,5 см
Упаковка: фабричная коробка
", Дизайн: без кастома,100-300,"20,8","1771,1",90-95,"24,2","2052,5",80-85,3 900,2,12-14,
 ,Музыкальный шар с елочной игрушкой Слайд 15,"Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
Примечание от фабрики: от 200 шт можно нанести логотип шелкографией", Дизайн: без кастома/с кастомом от 200 шт,100-300,"38,1","3240,5",90-95,"43,8","3726,1",80-85,11 700,2,12-14,
 ,Шар Вокруг света Слайд 8,"Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
", Дизайн: без кастома,100-300,"60,6","5146,4",90-95,"67,5","5735,3",80-85,13 700,2,12-14,
 ,Шар Прогулка Слайд 12,"Материал: смола, стекло
Размер: 10 см
Упаковка: фабричная коробка
", Дизайн: без кастома,100-300,"33,9","2879,5",90-95,"39,8","3380,5",80-85,9 200,2,12-14,
 ,Маяк под куполом Слайд 17,"Материал: смола, стекло
Размер: 9,1х9,1х10,3 см
Упаковка: фабричная коробка
", Дизайн: без кастома,100-300,"29,3","2493,3",90-95,"32,3","2746,2",80-85,6 300,2,12-14,
 ,Карусель Космос Слайд 4,"Материал: дерево
Размер: 11х16 см
Упаковка: фабричная коробка
Примечание от фабрики: мин.тираж 1000 шт", Дизайн: логотип гравировка/шелкография,1000,"29,0","2539,0",90-95,"33,0","2909,9",80-85,41 500,15,25-27,
