,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Менеджер,ТЗ ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Подсвечник в виде домика,Саша,,"Материал: металл
Размер: 22*13*10,5 cм
Упаковка: инд упаковка
Примечание от фабрики: ", Дизайн: сток,1000,"10,1","859,4", 45-50,"11,8","1002,5",35-40,3 151,2,12-14,
,,,,,,2000,"10,1","858,6", 45-50,"11,8","1001,6",35-40,,,,
,,,,"Материал: металл
Размер:  15*8*6 cм
Упаковка: инд упаковка
Примечание от фабрики: ", Дизайн: сток,1000,"6,0","511,3", 45-50,"7,7","654,4",35-40,2 864,2,12-14,
,,,,,,2000,"6,0","510,5", 45-50,"7,7","653,5",35-40,,,,
 ,Подсвечник в виде домика,Саша,,"Материал: железо
Размер: 8,5*8,5 см
Упаковка: инд упаковка
Примечание от фабрики: ", Дизайн: сток,1000,"10,0","883,3",55-60,"12,0","1072,8",45-50,2 819,2,12-14,
,,,,,,2000,"10,0","882,5",55-60,"12,0","1071,9",45-50,,,,
 ,Подсвечник в виде домика,Саша,,"Материал: керамика
Размер: 7,1*6,2*14,1 cм
Упаковка: инд упаковка
Примечание от фабрики: ", Дизайн: сток,1000,"7,8","665,2",75-80,"9,7","824,1",65-70,2 627,2,12-14,
,,,,,,2000,"7,8","664,3",75-80,"9,7","823,3",65-70,,,,
 ,Подсвечник в виде домика,Саша,,"Материал: керамика
Размер: 7,3*6*12
Упаковка: инд упаковка
Примечание от фабрики: ", Дизайн: сток,1000,"6,9","585,6",75-80,"8,8","744,6",65-70,2 627,2,12-14,
,,,,,,2000,"6,9","584,8",75-80,"8,8","743,7",65-70,,,,
,"Светильник ""Домик""",Аня,,"Материал: дерево, бумага
Размер: 192 х 172 х 150 мм
Упаковка: сток патетик 
Примечание: необходимо уточнять наличие на складе",Дизайн: сток,1000,"34,4","2924,4",50-55,"37,5","3183,5",40-45,7 400,10,20-22,
,,,,,,2000,"34,3","2916,9",,"37,4","3176,1",,,,,
,Ключница 1,Арина,,"Материал: кожзам
Размер: 9,5*6 см
Упаковка: OPP пакет
Примечание: точная цена после макета","Дизайн: индивидуальное производство по макету, тиснение лого, кожа на выбор из раскладки фабрики (текстура и цвет)",1000,"2,4","202,1",40-45,"2,5","208,4",30-35,8 500,5,20-22,
,,,,,,2000,"2,3","191,3",,"2,3","197,6",,,,,
,Ключница 2,Арина,,"Материал: кожзам
Размер: 9,5*6 см
Упаковка: OPP пакет
Примечание: точная цена после макета","Дизайн: индивидуальное производство по макету, тиснение лого, кожа на выбор из раскладки фабрики (текстура и цвет)",1000,"2,8","241,5",40-45,"3,0","257,4",30-35,8 500,5,20-22,
,,,,,,2000,"2,7","233,2",,"2,9","249,1",,,,,
,Дорожка для сервировки,Лена,"
Состав: смесь – хлопок/лён.Размер 45 см х 140 см. 
Брендирование: нанесение принта на дорожку, вышивка лого на натуральном цвете. 
10*10 см","Материал: хлопок+лен
Размер:  45х145
Упаковка: пакет 
Примечание: ","Дизайн: принт/вышивка 10х10см, выкрас по карте цветов от фабрики ",1000,"8,6","729,4",40-45,"9,6","816,3",30-35,6 073,5,10-12,
,,,,,,2000,"8,6","728,5",,"9,6","815,4",,,,,
,Альтернативный вариант скатерти,Лена, Размер 40 см х 140 см.  https://kunjut.com/catalog/stolovyy-tekstil/tekstilnaya-dorozhka/,"Материал: хлопок+лен
Размер: 40х140см
Упаковка: пакет 
Примечание: ","Дизайн: принт, запечатка ",1000,"9,0","766,7",40-45 ,"9,9","841,1",30-35,8 121,5,10-12,
,,,,,,2000,"9,0","765,8",,"9,9","840,3",,,,,
,Лото 2.0,Арина,"
Каждый элемент, от боченков и фишек до мешочка и упаковки можно персонализировать. Боченки могут стать шариками или любой чудной формы: не только из дерева, но и из акрила. Мешочек может быть исполнен из любого материала.


","Материал: дерево
Размер: 24*13.5*8.5 см
Упаковка: индивидуальная коробка деревянная
",Дизайн: можно настроить цвет и логотип на коробке,1000,"29,6","2511,9",55-60,"41,1","3493,7",45-50,25 000,15,25-27,
,,,,,,2000,"28,7","2439,3",,"39,9","3393,0",,,,,
,Керамическая посуда,Арина,"
Диаметр блюда: 100 мм.
+ Нанесение Индивидуальный дизайн.


","Материал: керамика
Размер: 10 см
Упаковка: индивидуальный пакет
",Дизайн: индивидуальный дизайн,1000,"2,1","179,1",40-45,"2,5","211,8",30-35,13 500,15,20-22,
,,,,,,2000,"2,0","173,1",,"2,4","204,9",,,,,
,Свеча,Лена,"
 Свеча в бетоне – многоэтажка. Материал кашпо-бетон. Свеча изготовлена из соевого воска.

Травяной чай. Состав: розмарин, мята перечная лист, тимьян, почки сосны, цветы василька, хвоя пихты. Вес чая: 110 гр.

посчитали только свечу, чай не возим","Материал: свеча - воск, кашпо - бетон 
Размер: 7,5х6,5х5,5
Упаковка:  коробка белая 
Примечание: ",Дизайн: по индивидуальному дизайну ,1000,"9,6","814,0",,"11,4","970,6",,22 745,10-12,22-25,
,,,,,,2000,"8,7","735,4",,"10,,8","907,6",,,,,
,Набор «Всё под рукой»,Саша,"
Кружка. Материал: боросиликатное стекло и Объем: 400 мл. Ситечко - сталь. В комплекте крышка, которая может использоваться как подставка для ситечка, сохраняя поверхность чистой. Цвет стекла и крышки из ассортимента по каталогу.

","Материал: высокое боросиликатное стекло
Размер: вес около 470 грамм, 11,7*12,5 cм, 500 мл
Упаковка: инд пакет
Примечание: ",Дизайн: сток,1000,"11,4","968,6",40-45,"13,4","1139,8",30-35,2 286,2,12-15,
,,,,,,2000,"11,4","967,7",,"13,4","1138,9",,,,,
,Набор «Всё под рукой»,Саша,"


Сумка складная. Удобно складывается до компактного размера, что позволяет убратьеё в карман или рюкзак. Прочный материал выдерживает нагрузку до 30кг, вместительность 15 литров.
","Материал: нейлон
Размер: 40*40 см, если сложить то 8*8,5 cм, вес около 90 грамм
Упаковка: инд пакет
Примечание: ",Дизайн: сток,1000,"2,5","211,3",30-35,"2,8","241,2",20-25,1 794,1,11-13,
,,,,,,2000,"2,5","210,5",,"2,8","240,3",,,,,
," 
 	
Набор «Доброе утро»",Света Ч,"Набор из 2 салфеток для сервировки. Материал: искусственная кожа. Размер, форма – опционально.

Капучинатор. Венчик для вспенивания молока аккумуляторный. Материал: корпус – пластик, венчик – металл.

Распылитель для масла и уксуса. Материал: стекло. Объём: 100 мл. Возможности персонализации: гравировка.","Набор салфеток для сервировки 2 шт./набор

Материал: искуственная кожа
Размер: 45*30 см, толщина 1,8 мм
Упаковка: индивидуальный пакет
Примечание: салфетки двусторонние, с двух сторон разный цвет","Дизайн: выбор цвета из наличия, нанесение логотипа шелкография 1 цвет",1000,"4,4","373,7",35-40,"5,3","453,1",25-30,4 200,3,15-18,
,,,,,,2000,"4,3","361,8",,"5,2","439,0",,,,,
,,,,"Капучинатор

Материал: корпус - пластик, начадка - нержавеющая сталь
Размер: 23,6*3*3,2 см
Упаковка: фабричная коробка
Примечание: работает от батареек, в комплект не входят",Дизайн: нанесение логотипа 1 цвет шелкография,1000,"4,8","404,6",45-50,"5,1","436,4",35-40,12 000,7,19-22,
,,,,,,2000,"3,6","308,7",,"4,0","339,6",,,,,
,,,,"Распылитель масла

Материал: корпус - стекло, крышка - нержавеющая сталь
Размер: 4*18 см, 100 мл
Упаковка: фабричная коробка
",Дизайн: гравировка логотипа,1000,"3,0","256,7",30-35,"3,9","328,2",20-25,6 100,3,20-22,
,,,,,,2000,"3,2","270,4",,"4,0","339,8",,,,,
