,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Песочные часы
20 минут","Материал: цветное стекло
Размер: 8х8х20 см
Упаковка: пенопласт+коробка
Примечание от фабрики: настройка формы более округлой или треугольной не меняет стоимости
"," Дизайн: зеленый песок, длготип деколь на колбе часов, в один цвет",100-250,"13,4","1139,9",75-80,"19,1","1625,2",65-70,9 900,10,20-22,
 ,"Песочные часы
20 минут","Материал: прозрачное стекло, деревянная подставка
Размер: 6х6х16,5 см
Упаковка: пенопласт+коробка
Примечание от фабрики: магнитный песок по той же стоимости, что и обычный, магнитный песок не определяет время, только декоративная функция"," Дизайн: зеленый песок, длготип деколь на колбе часов, в один цвет",100-250,"11,8","1004,5",50-55,"13,6","1154,7",40-45,10 600,7,17-19,
 ,Косметичка с ремувкой из искусственной кожи,"Материал: ПВХ, 0,4 мм
Размер: 10х15х5 см
Упаковка: без индивидуальной упаковки
Примечание: минимальный тираж 10000 шт"," Дизайн: шелкография логотипа в один цвет, тиснение на ремувке",10000,"0,9","80,4",70-75,,,,12 000,10,20-22,
,,,,15000,"0,9","77,5",75-80,,,,,,,
 ,Косметичка с ремувкой из искусственной кожи,"Материал: ПВХ, 0,4 мм
Размер: 15х20х5 см
Упаковка: без индивидуальной упаковки
Примечание: минимальный тираж 10000 шт"," Дизайн: шелкография логотипа в один цвет, тиснение на ремувке",10000,"1,0","92,1",70-75,,,,12 000,10,20-22,
,,,,15000,"1,0","88,8",75-80,,,,,,,
 ,Косметичка без ремувки,"Материал: ПВХ, 0,4 мм
Размер: 10х15х5 см
Упаковка: без индивидуальной упаковки
Примечание: минимальный тираж 10000 шт", Дизайн: шелкография логотипа в один цвет,10000,"0,9","77,7",70-75,,,,12 000,10,20-22,
,,,,15000,"0,8","74,9",75-80,,,,,,,
 ,Косметичка без ремувки,"Материал: ПВХ, 0,4 мм
Размер: 15х20х5 см
Упаковка: без индивидуальной упаковки
Примечание: минимальный тираж 10000 шт", Дизайн: шелкография логотипа в один цвет,10000,"1,0","89,3",70-75,,,,12 000,10,20-22,
,,,,15000,"1,0","86,2",75-80,,,,,,,
