,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Менеджер,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Полотенце уголок,Аня,"""Категория детей 0+
Материал: 100% хлопок. Возможен многослойный муслин, вафельная ткань, махровая ткань. 
Внешняя упаковка – картонная коробка с нанесением бренда Контур. Вышивка на полотенце.
Особенности товара: Размер 100 см*100 см. Гендерно нейтральные цвета/расцветки. Петелька на капюшоне. 
Брендирование: вышивка на полотенц""","Материал: полиэстер
Размер: 80 х 80 см 
Упаковка: сток пакетик 
Примечание:  необходимо уточнять наличие и может потребоваться подтверждение стоимости", Дизайн: сток,500-600,"10,4","880,6",50-55,"11,7","994,2",40-45,13 000,15,25-27,
,,,,,,,"10,4","880,0",,"11,7","993,6",,,,,
 ,Набор игрушек для купания,Аня,"""Категория детей 0+
Материал: ПВХ, силикон Внешняя упаковка – картонная коробка с нанесением бренда Контур. 
Особенности товара: 
1) Игрушки для купания малышей 8 штук (4 кораблика и 4 брызгалки в форме животных). Выполнены из пищевого силикона, полностью разборные, чтобы не образовывалась плесень. Без запаха. 
2) Водяная мельничка. Выполнена из качественного пластика. 
Цвета и оттенки в обоих игрушках должны быть схожими, чтобы было похоже на набор""","Материал: силикон 
Размер: 9.2 × 5.4 см
Упаковка: сток пакетик
Примечание от фабрики: необходимо подтвердить стоимость и наличие перед заказом", Дизайн: сток,500-600,"7,0","595,4",40-45,"8,2","697,2",30-35,6 700,5,15-17,
,,,,,,,"7,0","594,8",,"8,2","696,6",,,,,
 ,Фетровая книга,Аня,"""Категория детей 0+
Материал: фетр
Особенности товара: книжка из фетра, минимум 4 разворота. На каждой странице задания с различными двигающимися, отделяющимися элементами.""","Материал: фетр 
Размер: 20х20 см
Упаковка: сток пакетик
Примечание от фабрики: необходимо подтвердить стоимость и наличие перед заказом", Дизайн: сток,500-600,"20,9","1774,6",40-45,"23,4","1990,0",30-35,6 700,5,15-17,
,,,,,,,"20,9","1774,0",,"23,4","1989,4",,,,,
 ,Интерактивная игрушка на развитие памяти,Саша,"""Категория детей 6+, 9+
Особенности товара: состоит из светового модуля и боковых модулей. Задача игрока подобрать цвета на боковых модулях в соответствии со световым модулем. Добавить в комплект инструкцию на русском языке.
Брендирование на упаковочной коробке и самой игрушке""","Материал: пластик/пластик
Размер: 15,5*7,5*5 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: инструкция на русском языке.
Брендирование на упаковочной коробке - при помощи наклейки и самой игрушке - печать УФ-краской",600-700,"13,2","1121,1",40-45,"14,5","1228,3",30-35,3 080,7,17-19,
,,,,,,,"13,0","1107,7",,"14,3","1213,7",,,,,
 ,Мемо - головоломка,Саша,"""Категория детей 3+
Материал: дерево
Особенности товара: Игровое поле, фишки мин 24 шт, кубик. Брендирование на самой упаковочной коробке, фирменный трафарет""","Материал: дерево
Размер: 16*1.4 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн:  Брендирование на самой упаковочной коробке - при помощи наклейке,400-500,"4,1","351,7",35-40,"5,3","448,1",25-30,4 315,3,13-15,
,,,,,,,"4,1","346,7",,"5,2","442,1",,,,,
 ,Интерактивные пятнашки,Света Ч,"Категория детей 6+, 9+
Материал: пластик
Особенности товара: Слайдер является электронной версией популярной игры «пятнашки». Задача разместить фигуры, как указано на электронном экране и перенести красную фишку на базу, двигая остальные фишки.
Брендирование на самой упаковочной коробке, тампомечать на игр","Материал: пластик
Размер: 18*13*2,5 см
Упаковка: индивидуальная коробка
Примечание от фабрики: минимальный тираж 700 шт."," Дизайн: тампопечать логотипа на игре, изменение дизайна коробки",700,"19,9","1691,7",35-40,"20,8","1771,5",25-30,"3600 - игра, 10000 - коробка",7,17-19,
,Блочный 3Д конструктор,Саша,"""Категория детей 6+, 9+
Материал: пластик
Особенности товара: Количество деталей не менее 7000 шт. Высота готового изделия более 45 см.  Персонаж – кот или лошадь


реф: https://www.wildberries.ru/catalog/288870934/detail.aspx","Материал: пластик
Размер: 38*30*25 cм 
Упаковка: инд пакет
Примечание от фабрики: вес около 500 грамм, 7000  деталей", Дизайн: сток,500-600,"19,7","1674,0",30-35,"26,0","2210,0",20-25,6 829,1,11-13,
,,,,,,,"19,5","1653,9",,"25,7","2183,8",,,,,
,Наушники,Саша,"""Категория детей 6+, 9+
Материал: пластик
Особенности товара: беспроводные наушники, не подделки под бренды. С хорошим качеством звучания.
Брендирование на упаковочной коробке, тампопечать на наушниках.""","Материал: PC+ABS
Размер: 13x8.5x18.9
Упаковка: инд пакет
Примечание от фабрики: 18 часов долговечной музыки в течение длительного времени, Время зарядки
Около 2,5 часов, Диапазон частот 20 Гц-20 кГц,, Цвет продукта - Черный, белый, оранжевый"," Дизайн: Брендирование на упаковочной коробке -  при помощи наклейки с лого, тампопечать на наушниках, способ нанесения - лазерная гравировка ",700-800,"8,0","675,3",45-50,"9,2","779,7",35-40,4 026,10,20-22,
,,,,,,,"7,9","667,2",,"9,1","770,4",,,,,
,Наушники,Саша,"""Категория детей 6+, 9+
Материал: пластик
Особенности товара: беспроводные наушники, не подделки под бренды. С хорошим качеством звучания.
Брендирование на упаковочной коробке, тампопечать на наушниках.""","Материал: PC+ABS
Размер: 18.5*16.5*8.5
Упаковка: инд пакет
Примечание от фабрики: Bluetooth 5.3, поддерживает функции вызовов и воспроизведения музыки, имеет срок службы батареи 4–8 часов, водонепроницаема для ежедневного использования, имеет конструкцию с креплением на голове, выполнена в мультяшном стиле и имеет дальность передачи сигнала 10 метров"," Дизайн: Брендирование на упаковочной коробке - при помощи наклейки с лого, тампопечать на наушниках, способ нанесения - лазерная гравировка ",700-800,"8,1","687,2",45-50,"9,7","820,6",35-40,4 026,10,20-22,
,,,,,,,"8,0","678,9",,"9,5","810,7",,,,,
,Наушники,Саша,"""Категория детей 6+, 9+
Материал: пластик
Особенности товара: беспроводные наушники, не подделки под бренды. С хорошим качеством звучания.
Брендирование на упаковочной коробке, тампопечать на наушниках.""","Материал: PC+ABS
Размер: 12.5x8.3x18.8
Упаковка: инд пакет
Примечание от фабрики: Bluetooth 5.3, поддерживает функции вызовов и воспроизведения музыки, имеет срок службы батареи 4–8 часов, водонепроницаема для ежедневного использования, имеет конструкцию с креплением на голове, выполнена в мультяшном стиле и имеет дальность передачи сигнала 10 метров"," Дизайн: Брендирование на упаковочной коробке - при помощи наклейки с лого, тампопечать на наушниках, способ нанесения - лазерная гравировка ",700-800,"6,5","550,2",45-50,"7,6","645,8",35-40,4 026,10,20-22,
,,,,,,,"6,4","543,5",,"7,5","638,0",,,,,
,Румбокс,Света Ч,"""Категория детей 9+
Материал: 
Дерево, Картон, Бумага, Ткань
Особенности товара: защитный купол, набор инструментов для сборки, предметы интерьера, клей. 
Брендирование на упаковочной коробке, фирменный элемент в комнате.""","Материал: дерево
Размер: 24,5*18*6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: минимальный тираж 600 шт."," Дизайн: изменение дизайна коробки, фирменный элемент в комнате",600,"18,3","1558,4",35-40,"19,3","1638,2",25-30,"6700 - игра, 10000 - коробка",7,17-19,
,Неоновая лента для украшения комнаты,Саша,"""Категория детей 9+
Материал: пластик
Особенности товара: длина лента минимум 5 м, управляется с пульта, встроенный микрофон синхронизирует ленту с музыкой и окружающими звуками, работает от порта USB. В комплекте лента, пульт управления, крепления для ленты для стены. 

","Материал: гибкий силикон
Размер: 5 метров
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: сток,500-600,"23,2","1973,4",35-40,"25,4","2158,4",25-30,4 351,2,12-14,
,,,,,,,"22,9","1949,9",,"25,1","2132,7",,,,,
,Настольная игра Коридор для малышей,,"""Категория детей 3+, 6+
Материалы: картон.
Комплектация: 4 деревянных фишки зверят, 16 деревянных кустов, игровое поле, правила игры.

Брендирование на упаковочной коробке

реф: https://hobbygames.ru/koridor-dlja-malishej?utm_source=yandex_direct&utm_medium=sem&utm_campaign=desire-sem-dsa-consumers-ru&utm_term=x-x_x-all_sessions&utm_content=dsa-030624&yclid=7040413812910194687","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,500-600,,,,,,,,,10-12,
,,,,,,,,,,,,,,,,
,Шар с предсказаниями,Катя," Шар с предсказанием
Пример:  https://www.ozon.ru/product/magicheski...pKYmiOY...
Можем рассмотреть ещё дургие предложения
Материал: пластик
Без нанесения
ВАЖНО: пришлите фото коробки для шара
Тираж 163 шт. (или минимальный)","Материал: пластик
Размер: 10 х 10 см
Цвет: черный
Упаковка: белая коробка 

Примечание: с жидкостью не можем провезти обычными жд и авиа, только долгими жд и авиа                                        ", Дизайн: без брендирования,163,"3,8","335,6",35-40 (долгое),"4,7","418,5",25-30 (долгое),3 300,2,12-14,
,дженга акрил,Саша," Цвет: Несколько цветов в игре: белый, черный, прозрачный, серый.
Пример -  https://illan-gifts.ru/product/dzhenga...iz-akrila/
Нанесение: уф-печать лого КОНТУР в 1 цвет на 10 брусьях
Тираж 132 шт. (или минимальный)","Материал: акрил
Размер: 85*85*250mm
Цвет: по запросу
Упаковка: акриловая/обычная бумажная

Примечание: состоит из 48 элементов, вес около 2 кг   "," Дизайн: по макету, c лого и под цвета",132,"119,8","10184,1",50-55,"127,3","10819,9",40-45,23 560,7,17-19,
