,"Менеджер: 
Email: 
Телефон: ",,"Котелевская Анна
annakot@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,"Картхолдер
(из кожзама)","Материал: PU
Размер: 65 х 95 мм
Упаковка: сток пакетик
Примечание от фабрики: выкрас в пантон на количество менее 1000 штук невозможен, необходимо подтверждение стокового цвета.
Потребуется подтверждение по макету и по образцу",Дизайн: тиснение логотипа,100,"3,7","376,9", 37 690,60-65,"3,8","395,3", 39 530,55-60,9 800,20,30-32,
,,,,150,"3,6","370,9", 55 635,,"3,8","389,3", 58 395,,,,,
,,,,200,"3,6","367,9", 73 580,,"3,8","386,3", 77 260,,,,,
,,,Дизайн: без лого,100,"4,15","348,82", 34 882,60-65,"4,35","365,45", 36 545,,,,,
,,,,150,"4,07","342,15", 51 323,,"4,27","358,78", 53 817,,,,,
,,,,200,"4,03","338,82", 67 764,,"4,23","355,45", 71 090,,,,,
,"Картхолдер
(из натуральной кожи)","Материал: натуральная кожа
Размер: 65 х 95 мм
Упаковка: сток пакетик
Примечание от фабрики: выкрас в пантон на количество менее 1000 штук невозможен, необходимо подтверждение стокового цвета.
Потребуется подтверждение по макету и по образцу",Дизайн: тиснение логотипа,100,"9,0","929,3", 92 930,65-70,"9,2","948,7", 94 870,60-65,9 800,20,30-32,
,,,,150,"9,0","923,0", 138 450,,"9,2","942,3", 141 345,,,,,
,,,,200,"8,9","919,8", 183 960,,"9,1","939,2", 187 840,,,,,
,,,Дизайн: без лого,100,"10,63","892,52", 89 252,,"10,84","910,81", 91 081,,,,,
,,,,150,"10,54","885,18", 132 777,,"10,76","903,48", 135 522,,,,,
,,,,200,"10,49","881,52", 176 304,,"10,71","899,81", 179 962,,,,,
