,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка ЖД долгое,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
Металл,,,,,,,,,,,,,,
 ,Металлический брелок составной,"Материал: цинковый сплав
Упаковка: картонная подложка с печатью с двух сторон + ОРР пакет
Примечание: стоимость ориентировочная, окончательная после изготовления образца

Открытие форм включено в стоимость"," Дизайн: индивидуальная форма, цветная эмаль",500,"8,5","762,6",55-60,"7,4","655,6",65-70,53 800,10,20-22,
,,,,1000,"7,1","643,4",55-60,"6,1","542,7",65-70,,,,
 ,"Бумажная карточка
Подложка для брелока","Материал: картон 250-300 гр
Размер: согласно макету
", Дизайн: цифровая печать с двух сторон,500,"0,8","74,8",40-45,,,,--,--,--,
,,,,1000,"0,5","44,6",,,,,,,,
 ,Фурнитура,"Материал: сплав металла
", Дизайн: без кастома,500-1000,"2,6","239,0",40-45,,,,--,--,--,
 ,Шайба,"Материал: цинковый сплав
Размер: 3 см

Примечание от фабрики: Открытие форм включено в стоимость"," Дизайн: индивидуальная форма, цветная эмаль",500,"2,0","186,2",45-50,,,,14 800,8,18-20,
,,,,1000,"1,8","161,5",,,,,,,,
 ,Звезда,"Материал: цинковый сплав
Размер: 3 см

Примечание от фабрики: Открытие форм включено в стоимость"," Дизайн: индивидуальная форма, цветная эмаль",500,"2,0","181,1",45-50,,,,14 800,8,18-20,
,,,,1000,"1,7","156,7",,,,,,,,
 ,Брелок с лого,"Материал: цинковый сплав
Размер: 8 см

Примечание от фабрики: Открытие форм включено в стоимость"," Дизайн: индивидуальная форма, цветная эмаль",500,"2,7","249,3",50-55,,,,14 800,8,18-20,
,,,,1000,"1,7","151,2",,,,,,,,
 ,Лепесток,"Материал: цинковый сплав
Размер: 5 см

Примечание от фабрики: Открытие форм включено в стоимость"," Дизайн: индивидуальная форма, цветная эмаль",500,"2,6","241,6",50-55,,,,14 800,8,18-20,
,,,,1000,"1,6","143,9",,,,,,,,
Акрил,,,,,,,,,,,,,,
 ,Брелок акриловый составной,"Материал: акрил 0,2 мм
Упаковка: картонная подложка с печатью с двух сторон + ОРР пакет
Примечание: стоимость ориентировочная, окончательная после изготовления образца"," Дизайн: индивидуальная форма, УФ-печать",500,"5,1","462,0",55-60,"4,3","379,7",65-70,"22900

из полупрозрачного 
35800",10,20-22,
,,,,1000,"4,5","409,0",55-60,"3,7","331,6",65-70,,,,
 ,Шайба,"Материал: акрил 0,2 мм
Размер: 3 см
"," Дизайн: индивидуальная форма, УФ-печать",500-1000,"0,8","74,7",45-50,,,,"7100

из полупрозрачного
14800",7,17-19,
 ,Звезда,"Материал: акрил 0,2 мм
Размер: 3 см
"," Дизайн: индивидуальная форма, УФ-печать",500-1000,"0,8","77,1",45-50,,,,"7100

из полупрозрачного
14800",7,17-19,
 ,Лепесток,"Материал: акрил 0,2 мм
Размер: 5 см
"," Дизайн: индивидуальная форма, УФ-печать",500-1000,"1,4","126,8",45-50,,,,"7100

из полупрозрачного
14800",7,17-19,
 ,Брелок с лого,"Материал: акрил 0,2 мм
Размер: 8 см
"," Дизайн: индивидуальная форма, УФ-печать",500-1000,"1,5","138,9",45-50,,,,"7100

из полупрозрачного
14800",7,17-19,
