,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка МОРЕ/ЖД,,,,,,Доставка EXW,,,,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,,,,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,,,,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Дождевик,"Материал: мембранная ткань lokkertwil
Размер: S-XXL
Упаковка: OPP пакет
Примечание от 1 фабрики: фурнитура в пантон, SBS молния, нанесения: шелкография. После получения образцов материалов на фабрике цена может быть скорректирована", Дизайн: по макету,41000,"27,1","97,6","22,0","2205,0","2646,0",125-130 ,,,,,,,"67 400,00","Фото/видео: 22-24 к.д.
Доставка: 12-14 к.д.",
 ,Дождевик,"Материал: мембранная ткань lokker twil максимально близкая к образцу
Размер: S-XXL
Упаковка: OPP пакет
Примечание от 2 фабрики: фурнитура в пантон, молния, нанесения: шелкография. Послеизготовления образцов материалов на фабрике цена может быть скорректирована", Дизайн: по макету,41000,"30,9","100,2","25,7","2575,8","3091,0",130-135,,,,,,,"45 900,00","Фото/видео: 22-24 к.д.
Доставка: 12-14 к.д.",
,,,,,,,,,,,,,,,,,,,
 ,Дождевик в Казахстан,"Материал: мембранная ткань lokkertwil
Размер: S-XXL
Упаковка: OPP пакет
Примечание от 1 фабрики: фурнитура в пантон, SBS молния, нанесения: шелкография. После получения образцов материалов на фабрике цена может быть скорректирована", Дизайн: по макету,1000,"46,4","100,2","38,7","3876,7","4652,0",80-85,"36,52","100,22","30,43","3050,00",3660,60-65,"67 400,00","Фото/видео: 22-24 к.д.
Доставка: 12-14 к.д.",
,,,,2000,"45,7","100,2","38,1","3816,7","4580,0",80-85,"35,9","100,22","29,92","2998,33",3598,60-65,,,
,,,,3000,"45,1","100,2","37,5","3762,5","4515,0",80-85,"35,34","100,23","29,45","2951,67",3542,60-65,,,
,,,,4000,"44,4","100,2","37,0","3710,0","4452,0",80-85,"34,8","100,20","29,00","2905,83",3487,60-65,,,
 ,Дождевик в Узбекистан,"Материал: мембранная ткань lokkertwil
Размер: S-XXL
Упаковка: OPP пакет
Примечание от 1 фабрики: фурнитура в пантон, SBS молния, нанесения: шелкография. После получения образцов материалов на фабрике цена может быть скорректирована", Дизайн: по макету,1000,"54,3","100,2","45,3","4537,5","5445,0",90-95,"36,79","100,22","30,66","3072,50",3687,60-65,"67 400,00","Фото/видео: 22-24 к.д.
Доставка: 12-14 к.д.",
,,,,2000,"53,7","100,2","44,8","4485,0","5382,0",90-95,"36,16","100,22","30,13","3020,00",3624,60-65,,,
,,,,3000,"53,2","100,2","44,3","4438,3","5326,0",90-95,"35,6","100,22","29,67","2973,33",3568,60-65,,,
,,,,4000,"52,6","100,2","43,8","4393,3","5272,0",90-95,"35,06","100,23","29,22","2928,33",3514,60-65,,,
 ,Дождевик в РФ,"Материал: мембранная ткань lokkertwil
Размер: S-XXL
Упаковка: OPP пакет
Примечание от 1 фабрики: фурнитура в пантон, SBS молния, нанесения: шелкография. После получения образцов материалов на фабрике цена может быть скорректирована
Необходимо оформление ДС+ЧЗ (около 30тыс.руб.)", Дизайн: по макету,300,"48,4","100,2","40,3","4041,7","4850,0",80-85,"37,77","100,21","31,48","3154,17",3785,55-60,"67 400,00","Фото/видео: 22-24 к.д.
Доставка: 12-14 к.д.",
,,,,1000,"47,2","100,2","39,3","3937,5","4725,0",85-90,"36,52","100,22","30,43","3050,00",3660,60-65,,,
